Date,addresses/new_non_zero_count
2015-07-30,9203.0
2015-07-31,156.0
2015-08-01,115.0
2015-08-02,87.0
2015-08-03,76.0
2015-08-04,57.0
2015-08-05,53.0
2015-08-06,41.0
2015-08-07,500.0
2015-08-08,353.0
2015-08-09,253.0
2015-08-10,649.0
2015-08-11,1889.0
2015-08-12,312.0
2015-08-13,530.0
2015-08-14,536.0
2015-08-15,365.0
2015-08-16,275.0
2015-08-17,279.0
2015-08-18,276.0
2015-08-19,264.0
2015-08-20,190.0
2015-08-21,273.0
2015-08-22,228.0
2015-08-23,307.0
2015-08-24,170.0
2015-08-25,212.0
2015-08-26,168.0
2015-08-27,193.0
2015-08-28,144.0
2015-08-29,100.0
2015-08-30,177.0
2015-08-31,124.0
2015-09-01,151.0
2015-09-02,138.0
2015-09-03,121.0
2015-09-04,114.0
2015-09-05,123.0
2015-09-06,110.0
2015-09-07,173.0
2015-09-08,111.0
2015-09-09,163.0
2015-09-10,98.0
2015-09-11,175.0
2015-09-12,118.0
2015-09-13,185.0
2015-09-14,148.0
2015-09-15,159.0
2015-09-16,118.0
2015-09-17,97.0
2015-09-18,123.0
2015-09-19,75.0
2015-09-20,96.0
2015-09-21,78.0
2015-09-22,90.0
2015-09-23,121.0
2015-09-24,91.0
2015-09-25,73.0
2015-09-26,60.0
2015-09-27,59.0
2015-09-28,100.0
2015-09-29,106.0
2015-09-30,73.0
2015-10-01,83.0
2015-10-02,72.0
2015-10-03,117.0
2015-10-04,83.0
2015-10-05,80.0
2015-10-06,83.0
2015-10-07,85.0
2015-10-08,60.0
2015-10-09,64.0
2015-10-10,50.0
2015-10-11,44.0
2015-10-12,54.0
2015-10-13,153.0
2015-10-14,185.0
2015-10-15,180.0
2015-10-16,75.0
2015-10-17,50.0
2015-10-18,103.0
2015-10-19,194.0
2015-10-20,59.0
2015-10-21,247.0
2015-10-22,87.0
2015-10-23,91.0
2015-10-24,357.0
2015-10-25,185.0
2015-10-26,276.0
2015-10-27,122.0
2015-10-28,128.0
2015-10-29,243.0
2015-10-30,488.0
2015-10-31,348.0
2015-11-01,497.0
2015-11-02,267.0
2015-11-03,314.0
2015-11-04,253.0
2015-11-05,158.0
2015-11-06,128.0
2015-11-07,410.0
2015-11-08,573.0
2015-11-09,273.0
2015-11-10,102.0
2015-11-11,135.0
2015-11-12,89.0
2015-11-13,107.0
2015-11-14,83.0
2015-11-15,82.0
2015-11-16,86.0
2015-11-17,115.0
2015-11-18,81.0
2015-11-19,94.0
2015-11-20,99.0
2015-11-21,77.0
2015-11-22,422.0
2015-11-23,101.0
2015-11-24,178.0
2015-11-25,82.0
2015-11-26,152.0
2015-11-27,57.0
2015-11-28,58.0
2015-11-29,63.0
2015-11-30,97.0
2015-12-01,73.0
2015-12-02,73.0
2015-12-03,75.0
2015-12-04,112.0
2015-12-05,95.0
2015-12-06,121.0
2015-12-07,108.0
2015-12-08,86.0
2015-12-09,87.0
2015-12-10,103.0
2015-12-11,84.0
2015-12-12,394.0
2015-12-13,113.0
2015-12-14,103.0
2015-12-15,94.0
2015-12-16,115.0
2015-12-17,273.0
2015-12-18,173.0
2015-12-19,115.0
2015-12-20,133.0
2015-12-21,124.0
2015-12-22,107.0
