Date,addresses/receiving_count
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,606.0
2015-08-08,439.0
2015-08-09,489.0
2015-08-10,749.0
2015-08-11,2106.0
2015-08-12,673.0
2015-08-13,989.0
2015-08-14,1172.0
2015-08-15,1050.0
2015-08-16,976.0
2015-08-17,989.0
2015-08-18,1046.0
2015-08-19,1140.0
2015-08-20,975.0
2015-08-21,1225.0
2015-08-22,1233.0
2015-08-23,1402.0
2015-08-24,1284.0
2015-08-25,1389.0
2015-08-26,1376.0
2015-08-27,1420.0
2015-08-28,1367.0
2015-08-29,1234.0
2015-08-30,1479.0
2015-08-31,1374.0
2015-09-01,1411.0
2015-09-02,1385.0
2015-09-03,1321.0
2015-09-04,1330.0
2015-09-05,1354.0
2015-09-06,1397.0
2015-09-07,1476.0
2015-09-08,1400.0
2015-09-09,1420.0
2015-09-10,1400.0
2015-09-11,1571.0
2015-09-12,1425.0
2015-09-13,1471.0
2015-09-14,1511.0
2015-09-15,1364.0
2015-09-16,1369.0
2015-09-17,1373.0
2015-09-18,1326.0
2015-09-19,1248.0
2015-09-20,1349.0
2015-09-21,1380.0
2015-09-22,1389.0
2015-09-23,1632.0
2015-09-24,1459.0
2015-09-25,1409.0
2015-09-26,1336.0
2015-09-27,1320.0
2015-09-28,1426.0
2015-09-29,1370.0
2015-09-30,1352.0
2015-10-01,1316.0
2015-10-02,1279.0
2015-10-03,1283.0
2015-10-04,1286.0
2015-10-05,1304.0
2015-10-06,1308.0
2015-10-07,1288.0
2015-10-08,1235.0
2015-10-09,1275.0
2015-10-10,1200.0
2015-10-11,1206.0
2015-10-12,1218.0
2015-10-13,1360.0
2015-10-14,1429.0
2015-10-15,1365.0
2015-10-16,1258.0
2015-10-17,1210.0
2015-10-18,1221.0
2015-10-19,1326.0
2015-10-20,1199.0
2015-10-21,1411.0
2015-10-22,1233.0
2015-10-23,1318.0
2015-10-24,1520.0
2015-10-25,1367.0
2015-10-26,1540.0
2015-10-27,1493.0
2015-10-28,1536.0
2015-10-29,1780.0
2015-10-30,2052.0
2015-10-31,1854.0
2015-11-01,2027.0
2015-11-02,1869.0
2015-11-03,1935.0
2015-11-04,1889.0
2015-11-05,1736.0
2015-11-06,1654.0
2015-11-07,1913.0
2015-11-08,2143.0
2015-11-09,1880.0
2015-11-10,1686.0
2015-11-11,1905.0
2015-11-12,1689.0
2015-11-13,1692.0
2015-11-14,1683.0
2015-11-15,1672.0
2015-11-16,1743.0
2015-11-17,1786.0
2015-11-18,1744.0
2015-11-19,1742.0
2015-11-20,1674.0
2015-11-21,1585.0
2015-11-22,1909.0
2015-11-23,1615.0
2015-11-24,1707.0
2015-11-25,1608.0
2015-11-26,1718.0
