Date,blockchain/block_height
2015-07-30,6911.0
2015-07-31,13774.0
2015-08-01,19067.0
2015-08-02,24425.0
2015-08-03,29705.0
2015-08-04,35073.0
2015-08-05,40308.0
2015-08-06,45424.0
2015-08-07,50613.0
2015-08-08,55869.0
2015-08-09,60992.0
2015-08-10,66247.0
2015-08-11,71527.0
2015-08-12,76651.0
2015-08-13,81937.0
2015-08-14,87746.0
2015-08-15,93128.0
2015-08-16,98260.0
2015-08-17,103607.0
2015-08-18,108555.0
2015-08-19,113747.0
2015-08-20,117771.0
2015-08-21,122859.0
2015-08-22,128130.0
2015-08-23,133143.0
2015-08-24,138327.0
2015-08-25,143424.0
2015-08-26,148427.0
2015-08-27,153135.0
2015-08-28,157788.0
2015-08-29,162117.0
2015-08-30,166272.0
2015-08-31,170394.0
2015-09-01,174332.0
2015-09-02,177909.0
2015-09-03,181292.0
2015-09-04,185735.0
2015-09-05,190656.0
2015-09-06,195634.0
2015-09-07,200468.0
2015-09-08,205391.0
2015-09-09,210426.0
2015-09-10,215429.0
2015-09-11,220570.0
2015-09-12,225596.0
2015-09-13,230567.0
2015-09-14,235418.0
2015-09-15,240260.0
2015-09-16,245216.0
2015-09-17,250024.0
2015-09-18,254913.0
2015-09-19,259991.0
2015-09-20,265296.0
2015-09-21,270371.0
2015-09-22,275422.0
2015-09-23,280587.0
2015-09-24,285608.0
2015-09-25,290734.0
2015-09-26,295664.0
2015-09-27,300437.0
2015-09-28,305175.0
2015-09-29,309815.0
2015-09-30,314572.0
2015-10-01,319782.0
2015-10-02,324925.0
2015-10-03,330002.0
2015-10-04,334888.0
2015-10-05,339897.0
2015-10-06,344703.0
2015-10-07,349707.0
2015-10-08,354859.0
2015-10-09,359764.0
2015-10-10,364660.0
2015-10-11,369733.0
2015-10-12,374881.0
2015-10-13,379989.0
2015-10-14,384923.0
2015-10-15,389849.0
2015-10-16,394732.0
2015-10-17,399788.0
2015-10-18,404733.0
2015-10-19,409708.0
2015-10-20,414698.0
2015-10-21,419688.0
2015-10-22,424523.0
2015-10-23,429786.0
2015-10-24,434957.0
2015-10-25,440053.0
2015-10-26,444961.0
2015-10-27,450181.0
2015-10-28,455148.0
2015-10-29,460306.0
2015-10-30,465538.0
2015-10-31,470667.0
2015-11-01,475825.0
2015-11-02,480849.0
2015-11-03,485934.0
2015-11-04,491059.0
2015-11-05,496162.0
2015-11-06,501304.0
2015-11-07,506226.0
2015-11-08,511247.0
2015-11-09,516271.0
2015-11-10,521324.0
2015-11-11,526352.0
2015-11-12,531431.0
2015-11-13,536550.0
2015-11-14,541677.0
2015-11-15,546872.0
2015-11-16,551911.0
2015-11-17,557074.0
2015-11-18,562149.0
2015-11-19,567126.0
2015-11-20,571847.0
2015-11-21,576882.0
2015-11-22,581931.0
2015-11-23,587020.0
2015-11-24,592021.0
2015-11-25,596961.0
2015-11-26,601901.0
2015-11-27,607075.0
2015-11-28,612083.0
2015-11-29,617133.0
2015-11-30,622213.0
2015-12-01,627291.0
2015-12-02,632115.0
2015-12-03,637320.0
2015-12-04,642328.0
2015-12-05,647334.0
2015-12-06,652247.0
2015-12-07,657218.0
2015-12-08,662129.0
2015-12-09,667337.0
2015-12-10,672481.0
2015-12-11,677543.0
2015-12-12,682619.0
2015-12-13,687899.0
2015-12-14,692898.0
2015-12-15,697968.0
2015-12-16,702950.0
2015-12-17,708010.0
2015-12-18,713030.0
2015-12-19,718068.0
2015-12-20,723015.0
2015-12-21,727991.0
2015-12-22,733120.0
2015-12-23,738232.0
2015-12-24,743250.0
2015-12-25,748330.0
2015-12-26,753334.0
2015-12-27,758352.0
