Date,fees/gas_price_median
2015-08-07,60280086179.99999
2015-08-08,59199734746.0
2015-08-09,58003730392.0
2015-08-10,55701790215.0
2015-08-11,50000000000.0
2015-08-12,57949429013.0
2015-08-13,57407543882.0
2015-08-14,57413399396.0
2015-08-15,57510202945.0
2015-08-16,57375395027.0
2015-08-17,57548718219.0
2015-08-18,57305139601.0
2015-08-19,57781597816.0
2015-08-20,56191553473.0
2015-08-21,50000000000.0
2015-08-22,54525232367.0
2015-08-23,50000000000.0
2015-08-24,50000000000.0
2015-08-25,50000000000.0
2015-08-26,50000000000.0
2015-08-27,50000000000.0
2015-08-28,50000000000.0
2015-08-29,50000000000.0
2015-08-30,50000000000.0
2015-08-31,50000000000.0
2015-09-01,50000000000.0
2015-09-02,50000000000.0
2015-09-03,50000000000.0
2015-09-04,50000000000.0
2015-09-05,50000000000.0
2015-09-06,50000000000.0
2015-09-07,50000000000.0
2015-09-08,50000000000.0
2015-09-09,50000000000.0
2015-09-10,50000000000.0
2015-09-11,50000000000.0
2015-09-12,50000000000.0
2015-09-13,50000000000.0
2015-09-14,50000000000.0
2015-09-15,50000000000.0
2015-09-16,50000000000.0
2015-09-17,50000000000.0
2015-09-18,50000000000.0
2015-09-19,50000000000.0
2015-09-20,50000000000.0
2015-09-21,50000000000.0
2015-09-22,50000000000.0
2015-09-23,50000000000.0
2015-09-24,50000000000.0
2015-09-25,50000000000.0
2015-09-26,50000000000.0
2015-09-27,50000000000.0
2015-09-28,50000000000.0
2015-09-29,50000000000.0
2015-09-30,50000000000.0
2015-10-01,50000000000.0
2015-10-02,50000000000.0
2015-10-03,50000000000.0
2015-10-04,50000000000.0
2015-10-05,50000000000.0
2015-10-06,50000000000.0
2015-10-07,50000000000.0
2015-10-08,50000000000.0
2015-10-09,50000000000.0
2015-10-10,50000000000.0
2015-10-11,50000000000.0
2015-10-12,50000000000.0
2015-10-13,50000000000.0
2015-10-14,50000000000.0
2015-10-15,50000000000.0
2015-10-16,50000000000.0
2015-10-17,50000000000.0
2015-10-18,50000000000.0
2015-10-19,50000000000.0
2015-10-20,50000000000.0
2015-10-21,50000000000.0
