Date,transactions/transfers_volume_sum
2015-08-07,2008618.53043197
2015-08-08,13582968.5363749
2015-08-09,1165448.07459555
2015-08-10,1670883.90856051
2015-08-11,1485696.53360261
2015-08-12,747447.449022974
2015-08-13,1787810.85400364
2015-08-14,2295429.08010175
2015-08-15,4631228.96095204
2015-08-16,1708588.89573193
2015-08-17,2244762.51476953
2015-08-18,1548718.91502124
2015-08-19,1149581.75229901
2015-08-20,417343.963907318
2015-08-21,586787.59628786
2015-08-22,494463.255099498
2015-08-23,497834.958767709
2015-08-24,462290.663275759
2015-08-25,406454.710412514
2015-08-26,439388.496462969
2015-08-27,272771.779912736
2015-08-28,300452.128644657
2015-08-29,430445.055780882
2015-08-30,415917.099489805
2015-08-31,384849.223365449
2015-09-01,1419828.97398114
2015-09-02,277552.50871102
2015-09-03,556782.655758651
2015-09-04,176548.334082386
2015-09-05,167475.873020682
2015-09-06,296234.500918829
2015-09-07,202522.395873371
2015-09-08,263681.393707187
2015-09-09,1145836.0424846
2015-09-10,206003.560851402
2015-09-11,726440.909953091
2015-09-12,217733.169845804
2015-09-13,224183.039759655
2015-09-14,267426.239886722
2015-09-15,603437.362543656
2015-09-16,555273.844013404
2015-09-17,295735.656262093
2015-09-18,407806.41537774
2015-09-19,390741.950061539
2015-09-20,131571.483323998
2015-09-21,157710.517787625
2015-09-22,194628.994386529
2015-09-23,131108.217443618
2015-09-24,306723.19862198
2015-09-25,661615.555251748
2015-09-26,251343.411819128
2015-09-27,382901.418119428
2015-09-28,713753.821530772
2015-09-29,404216.747342163
2015-09-30,509759.659572365
2015-10-01,538499.154235002
2015-10-02,148845.522559232
2015-10-03,122973.554002219
2015-10-04,277539.340823682
2015-10-05,163914.617753147
2015-10-06,506641.16352543
2015-10-07,310195.809018142
2015-10-08,313426.608440727
2015-10-09,224249.051217243
2015-10-10,128489.080823954
2015-10-11,152908.978504288
2015-10-12,270873.926099278
2015-10-13,411204.332056852
2015-10-14,992501.85601963
2015-10-15,799838.402143342
2015-10-16,360118.5809828
2015-10-17,243852.97010094
2015-10-18,181316.17194571
2015-10-19,514713.463805207
2015-10-20,501597.25891814
2015-10-21,697034.053117222
2015-10-22,619252.906185133
2015-10-23,772941.378004918
2015-10-24,99853.5886267465
2015-10-25,261608.545774202
2015-10-26,715460.972496484
2015-10-27,1893393.19441964
2015-10-28,976137.761683128
2015-10-29,517732.066061671
2015-10-30,1209372.46419774
2015-10-31,276417.565732628
2015-11-01,145524.373663244
2015-11-02,351730.655255812
2015-11-03,594722.046575306
2015-11-04,805279.280973941
2015-11-05,344177.214608943
2015-11-06,938176.632527115
2015-11-07,425968.41911174
2015-11-08,896689.215294887
2015-11-09,946972.71867527
2015-11-10,891132.500979902
2015-11-11,301403.980114451
2015-11-12,280928.179735407
2015-11-13,466110.030537512
2015-11-14,283612.91365512
2015-11-15,175558.320997261
2015-11-16,435418.166968016
2015-11-17,1157255.45040565
2015-11-18,199011.474775913
2015-11-19,274429.080972597
2015-11-20,194574.871310497
2015-11-21,134094.469887511
2015-11-22,256032.711626261
2015-11-23,684591.954121512
2015-11-24,393637.373376515
2015-11-25,188350.230413913
2015-11-26,970682.711394449
2015-11-27,679065.032408979
2015-11-28,120693.887101131
2015-11-29,190336.976667643
2015-11-30,235620.560090737
2015-12-01,223148.369114905
2015-12-02,294731.526395479
2015-12-03,221298.544527577
2015-12-04,167907.655393457
2015-12-05,143940.210610472
2015-12-06,239342.898590542
2015-12-07,451666.833938128
2015-12-08,177343.55918142
2015-12-09,245115.583052415
2015-12-10,216567.822794706
2015-12-11,319138.868639405
2015-12-12,484608.036134611
2015-12-13,323458.149910188
2015-12-14,308723.049453244
2015-12-15,535185.626197708
2015-12-16,1458676.34332943
2015-12-17,439455.245376793
2015-12-18,237303.591429362
2015-12-19,227869.063826137
2015-12-20,205492.248482464
2015-12-21,234198.553986808
2015-12-22,237640.766144545
2015-12-23,143436.890017948
2015-12-24,125579.854961545
2015-12-25,68607.3693289296
2015-12-26,145239.877462704
2015-12-27,79394.4092179251
2015-12-28,441950.57705337
2015-12-29,286251.401708103
2015-12-30,215186.658638634
2015-12-31,389547.036171491
2016-01-01,344547.756629631
2016-01-02,259240.009990057
2016-01-03,370819.993497967
2016-01-04,154125.471932754
2016-01-05,1036290.68490783
2016-01-06,261874.023822953
2016-01-07,350229.829059073
2016-01-08,196293.490596427
2016-01-09,210778.67218016
2016-01-10,140901.897458439
2016-01-11,504557.522698113
2016-01-12,990456.554165314
2016-01-13,423225.742643984
2016-01-14,332499.048194957
2016-01-15,945377.774737417
2016-01-16,571216.783425056
2016-01-17,370955.278528445
2016-01-18,2265938.49687015
2016-01-19,1240725.36949413
2016-01-20,600167.315802932
2016-01-21,495019.11781695
2016-01-22,919024.766130984
2016-01-23,1143830.4459195
2016-01-24,1920494.2835564
2016-01-25,2139382.51947006
2016-01-26,1445111.57180414
2016-01-27,1177769.5759312
2016-01-28,921917.806347817
2016-01-29,863480.324027793
2016-01-30,989806.247163256
2016-01-31,1095129.17356854
2016-02-01,599918.875844868
2016-02-02,619265.284535179
2016-02-03,620366.828983076
2016-02-04,329929.934715513
2016-02-05,576483.883219161
2016-02-06,234011.787559432
2016-02-07,895491.165989449
2016-02-08,1473217.95517742
2016-02-09,1566585.02585502
2016-02-10,1936727.20745362
2016-02-11,1796883.53377045
2016-02-12,2102345.48983024
2016-02-13,1291917.90481579
2016-02-14,919515.554737719
2016-02-15,732564.138840854
2016-02-16,1299443.63373374
2016-02-17,753903.653071369
2016-02-18,1126592.88377248
2016-02-19,493953.6708928
2016-02-20,1191850.82016518
2016-02-21,477024.075266539
2016-02-22,804402.036597139
2016-02-23,1550271.22273024
2016-02-24,2094707.21063173
2016-02-25,922738.80380258
2016-02-26,4011413.2978515
2016-02-27,2172697.75259135
2016-02-28,779337.20689333
2016-02-29,711509.027309589
2016-03-01,1303681.89689413
2016-03-02,3558448.02711397
2016-03-03,2098523.74422511
2016-03-04,1511178.89097257
2016-03-05,2863736.15834055
2016-03-06,1613121.15084471
2016-03-07,1478973.61378029
2016-03-08,2147032.06515773
2016-03-09,1124790.09819576
2016-03-10,857303.9261851
2016-03-11,939795.296922899
2016-03-12,1522137.69706151
2016-03-13,1982222.78389868
2016-03-14,1632659.07649065
2016-03-15,1289685.15417005
2016-03-16,1106208.25983322
2016-03-17,1743810.10381993
2016-03-18,2355440.72233582
2016-03-19,791521.633384523
2016-03-20,555659.290967952
2016-03-21,890482.75618292
2016-03-22,684565.118399032
2016-03-23,573248.421243602
2016-03-24,954146.795132877
2016-03-25,554239.373962704
2016-03-26,333250.948544008
2016-03-27,1173322.19838972
2016-03-28,793228.061495678
2016-03-29,1289780.41739182
2016-03-30,1347516.21291459
2016-03-31,895858.733276516
2016-04-01,382112.249867813
2016-04-02,375127.453739466
2016-04-03,218394.68827072
2016-04-04,439243.149483239
2016-04-05,689118.435220225
2016-04-06,588846.278492913
2016-04-07,724040.920238819
2016-04-08,549941.815865059
2016-04-09,1306913.53564441
2016-04-10,1178278.0978236
2016-04-11,623473.355288461
2016-04-12,1090432.4885183
2016-04-13,1137998.57658515
2016-04-14,943902.22131624
2016-04-15,591119.841806136
2016-04-16,433476.052597516
2016-04-17,824811.575719974
2016-04-18,638535.012606962
2016-04-19,408614.408159272
2016-04-20,674655.266284686
2016-04-21,473331.090831658
2016-04-22,754227.658123052
2016-04-23,1014162.21945035
2016-04-24,375207.187093082
2016-04-25,712819.254764313
2016-04-26,1163229.49653588
2016-04-27,778571.564073103
2016-04-28,767210.6353172
2016-04-29,585245.235879373
2016-04-30,2643633.62828491
2016-05-01,1699764.9713221
2016-05-02,1859319.27051226
2016-05-03,1335178.05101318
2016-05-04,1084648.36546642
2016-05-05,1089443.08332918
2016-05-06,2019536.27121394
2016-05-07,1507103.18260869
2016-05-08,1399447.70715861
2016-05-09,1962511.57577002
2016-05-10,2014554.53572374
2016-05-11,2985497.30589725
2016-05-12,3178747.75299649
2016-05-13,7932834.42345378
2016-05-14,5844972.95531297
2016-05-15,1469667.28725907
2016-05-16,1474198.20677345
2016-05-17,1309439.29838798
2016-05-18,1811512.51796766
2016-05-19,2654202.42401273
2016-05-20,2251156.87051979
