Date,fees/gas_used_mean
2015-08-07 01:00:00,21074.8
2015-08-07 02:00:00,21092.615384615
2015-08-07 03:00:00,21074.8
2015-08-07 04:00:00,21092.615384615
2015-08-07 05:00:00,21035.428571429
2015-08-07 06:00:00,21000.0
2015-08-07 07:00:00,21044.584269663
2015-08-07 08:00:00,21000.0
2015-08-07 09:00:00,21015.049180328
2015-08-07 10:00:00,21124.566371681
2015-08-07 11:00:00,21285.944954128
2015-08-07 12:00:00,21402.427350427
2015-08-07 13:00:00,21314.742857143
2015-08-07 14:00:00,22300.222222222
2015-08-07 15:00:00,24947.25974026
2015-08-07 16:00:00,23051.603773585
2015-08-07 17:00:00,23187.201550388
2015-08-07 18:00:00,23781.762376238
2015-08-07 19:00:00,21353.948717949
2015-08-07 20:00:00,31798.037037037
2015-08-07 21:00:00,41064.534482759
2015-08-07 22:00:00,32923.159090909
2015-08-07 23:00:00,45098.901639344
2015-08-08 00:00:00,38269.6875
2015-08-08 01:00:00,33115.967213115
2015-08-08 02:00:00,60587.811764706
2015-08-08 03:00:00,97737.651785714
2015-08-08 04:00:00,295892.428571429
2015-08-08 05:00:00,74105.810344828
2015-08-08 06:00:00,45967.415384615
2015-08-08 07:00:00,175971.515625
2015-08-08 08:00:00,95618.987119438
2015-08-08 09:00:00,379770.0
2015-08-08 10:00:00,43145.671641791
2015-08-08 11:00:00,110750.534482759
2015-08-08 12:00:00,79281.446808511
2015-08-08 13:00:00,24654.145454545
2015-08-08 14:00:00,23025.315789474
2015-08-08 15:00:00,71161.633802817
2015-08-08 16:00:00,107727.582278481
2015-08-08 17:00:00,39385.255555556
2015-08-08 18:00:00,68033.791666667
2015-08-08 19:00:00,217554.382022472
2015-08-08 20:00:00,265358.098591549
2015-08-08 21:00:00,226763.796178344
2015-08-08 22:00:00,96953.473684211
2015-08-08 23:00:00,25892.074468085
2015-08-09 00:00:00,22828.551020408
2015-08-09 01:00:00,56235.621212121
2015-08-09 02:00:00,41924.253968254
2015-08-09 03:00:00,42696.136363636
2015-08-09 04:00:00,21102.0
2015-08-09 05:00:00,21061.2
2015-08-09 06:00:00,21107.333333333
2015-08-09 07:00:00,21159.666666667
2015-08-09 08:00:00,24618.689655172
2015-08-09 09:00:00,22684.227272727
2015-08-09 10:00:00,22133.756756757
2015-08-09 11:00:00,21136.0
2015-08-09 12:00:00,22039.5
2015-08-09 13:00:00,21059.225806452
2015-08-09 14:00:00,21183.222222222
2015-08-09 15:00:00,21030.6
2015-08-09 16:00:00,35933.049180328
2015-08-09 17:00:00,44079.422222222
2015-08-09 18:00:00,32586.85
2015-08-09 19:00:00,31181.814814815
2015-08-09 20:00:00,21066.0
2015-08-09 21:00:00,53654.333333333
2015-08-09 22:00:00,21515.276315789
2015-08-09 23:00:00,27667.977272727
2015-08-10 00:00:00,47099.289473684
2015-08-10 01:00:00,26371.759259259
2015-08-10 02:00:00,27851.434782609
2015-08-10 03:00:00,40098.333333333
2015-08-10 04:00:00,31022.684210526
2015-08-10 05:00:00,45861.037037037
2015-08-10 06:00:00,45021.956521739
2015-08-10 07:00:00,42262.411764706
2015-08-10 08:00:00,33490.0
2015-08-10 09:00:00,28777.162162162
2015-08-10 10:00:00,34941.772151899
2015-08-10 11:00:00,31135.481481481
2015-08-10 12:00:00,24430.379310345
2015-08-10 13:00:00,38787.692307692
2015-08-10 14:00:00,78785.295081967
2015-08-10 15:00:00,30718.775510204
2015-08-10 16:00:00,31806.569732938
2015-08-10 17:00:00,33594.736842105
2015-08-10 18:00:00,36785.338521401
2015-08-10 19:00:00,33972.829268293
2015-08-10 20:00:00,41198.0
2015-08-10 21:00:00,25399.927710843
2015-08-10 22:00:00,50771.807017544
2015-08-10 23:00:00,75077.695652174
2015-08-11 00:00:00,59852.935483871
2015-08-11 01:00:00,39297.178571429
2015-08-11 02:00:00,22554.291666667
2015-08-11 03:00:00,22401.833333333
2015-08-11 04:00:00,28313.355555556
2015-08-11 05:00:00,23080.555555556
2015-08-11 06:00:00,22085.80952381
2015-08-11 07:00:00,21877.0
2015-08-11 08:00:00,25781.102564103
2015-08-11 09:00:00,36309.390756303
2015-08-11 10:00:00,34534.43902439
2015-08-11 11:00:00,35402.913580247
2015-08-11 12:00:00,34223.280309544
2015-08-11 13:00:00,27263.10877193
2015-08-11 14:00:00,25044.344827586
2015-08-11 15:00:00,21896.957446809
2015-08-11 16:00:00,24822.260273973
2015-08-11 17:00:00,22102.396551724
2015-08-11 18:00:00,21530.016129032
2015-08-11 19:00:00,22183.188405797
2015-08-11 20:00:00,21056.930232558
2015-08-11 21:00:00,33952.537572254
2015-08-11 22:00:00,42491.617391304
2015-08-11 23:00:00,33418.887850467
2015-08-12 00:00:00,33538.25
2015-08-12 01:00:00,34160.231578947
2015-08-12 02:00:00,52300.052631579
2015-08-12 03:00:00,35539.5
2015-08-12 04:00:00,44058.170731707
2015-08-12 05:00:00,60882.888888889
2015-08-12 06:00:00,47901.0
2015-08-12 07:00:00,44127.450980392
2015-08-12 08:00:00,46369.379310345
2015-08-12 09:00:00,33190.166666667
2015-08-12 10:00:00,24633.157894737
2015-08-12 11:00:00,21343.705882353
2015-08-12 12:00:00,22283.858252427
2015-08-12 13:00:00,27170.629213483
2015-08-12 14:00:00,21435.543859649
2015-08-12 15:00:00,57820.735294118
2015-08-12 16:00:00,32699.862745098
2015-08-12 17:00:00,29919.487179487
2015-08-12 18:00:00,52080.184615385
2015-08-12 19:00:00,34560.76056338
2015-08-12 20:00:00,43620.948275862
2015-08-12 21:00:00,76360.510204082
2015-08-12 22:00:00,36616.851851852
2015-08-12 23:00:00,34757.923076923
2015-08-13 00:00:00,32761.72
2015-08-13 01:00:00,127477.5
2015-08-13 02:00:00,28195.65625
2015-08-13 03:00:00,21377.0
2015-08-13 04:00:00,21120.090909091
2015-08-13 05:00:00,28557.534883721
2015-08-13 06:00:00,33041.195652174
2015-08-13 07:00:00,32814.38
2015-08-13 08:00:00,36153.532258065
2015-08-13 09:00:00,30374.666666667
2015-08-13 10:00:00,33488.75
2015-08-13 11:00:00,23109.210784314
2015-08-13 12:00:00,33417.073684211
2015-08-13 13:00:00,35446.256198347
2015-08-13 14:00:00,28717.010416667
2015-08-13 15:00:00,34118.095890411
2015-08-13 16:00:00,33700.72815534
2015-08-13 17:00:00,37744.637755102
2015-08-13 18:00:00,22753.170068027
2015-08-13 19:00:00,31641.636363636
2015-08-13 20:00:00,27257.194736842
2015-08-13 21:00:00,33599.158273381
2015-08-13 22:00:00,56650.962962963
2015-08-13 23:00:00,22315.805194805
2015-08-14 00:00:00,30997.795454545
2015-08-14 01:00:00,20924.0
2015-08-14 02:00:00,21329.336448598
2015-08-14 03:00:00,29193.106060606
2015-08-14 04:00:00,32673.438596491
2015-08-14 05:00:00,30217.771929825
2015-08-14 06:00:00,27791.148148148
2015-08-14 07:00:00,25769.985915493
2015-08-14 08:00:00,22258.150442478
2015-08-14 09:00:00,21232.142857143
2015-08-14 10:00:00,21019.179458239
2015-08-14 11:00:00,23706.645962733
2015-08-14 12:00:00,25689.917808219
2015-08-14 13:00:00,22458.252873563
2015-08-14 14:00:00,21507.655844156
2015-08-14 15:00:00,47019.080536913
2015-08-14 16:00:00,27833.604651163
2015-08-14 17:00:00,22820.5
2015-08-14 18:00:00,24958.581395349
2015-08-14 19:00:00,21512.805755396
2015-08-14 20:00:00,37749.325581395
2015-08-14 21:00:00,23865.391304348
2015-08-14 22:00:00,22162.941176471
2015-08-14 23:00:00,22023.36
2015-08-15 00:00:00,25382.8
2015-08-15 01:00:00,39608.975
2015-08-15 02:00:00,36883.128571429
2015-08-15 03:00:00,28721.795918367
2015-08-15 04:00:00,23249.294117647
2015-08-15 05:00:00,21131.142857143
2015-08-15 06:00:00,22489.689189189
2015-08-15 07:00:00,20969.166666667
2015-08-15 08:00:00,21008.07032967
2015-08-15 09:00:00,21734.202352941
2015-08-15 10:00:00,22928.508196721
2015-08-15 11:00:00,21068.704918033
2015-08-15 12:00:00,21206.791666667
2015-08-15 13:00:00,21127.673076923
2015-08-15 14:00:00,24446.714285714
2015-08-15 15:00:00,21237.287671233
2015-08-15 16:00:00,24100.985074627
2015-08-15 17:00:00,59385.076923077
2015-08-15 18:00:00,26196.483870968
2015-08-15 19:00:00,34537.285714286
2015-08-15 20:00:00,37452.62
2015-08-15 21:00:00,44991.029411765
2015-08-15 22:00:00,22302.516666667
2015-08-15 23:00:00,29760.818181818
2015-08-16 00:00:00,27225.023255814
2015-08-16 01:00:00,22110.666666667
2015-08-16 02:00:00,21735.349206349
2015-08-16 03:00:00,21088.629032258
2015-08-16 04:00:00,21463.388888889
2015-08-16 05:00:00,21103.7
2015-08-16 06:00:00,24760.757142857
2015-08-16 07:00:00,21094.340186916
2015-08-16 08:00:00,21097.140740741
2015-08-16 09:00:00,21155.210526316
2015-08-16 10:00:00,21616.896907216
2015-08-16 11:00:00,28790.653333333
2015-08-16 12:00:00,21210.420454545
2015-08-16 13:00:00,30409.166666667
2015-08-16 14:00:00,43066.713043478
2015-08-16 15:00:00,25395.402597403
2015-08-16 16:00:00,21028.523809524
2015-08-16 17:00:00,23628.943181818
2015-08-16 18:00:00,28197.234375
2015-08-16 19:00:00,46202.351851852
2015-08-16 20:00:00,24707.073170732
2015-08-16 21:00:00,21203.333333333
2015-08-16 22:00:00,21037.212121212
2015-08-16 23:00:00,21142.12244898
2015-08-17 00:00:00,22063.063829787
2015-08-17 01:00:00,21040.8
2015-08-17 02:00:00,21016.105263158
2015-08-17 03:00:00,21556.0
2015-08-17 04:00:00,21000.0
2015-08-17 05:00:00,21000.0
2015-08-17 06:00:00,21077.804347826
2015-08-17 07:00:00,22035.652406417
2015-08-17 08:00:00,20982.537815126
2015-08-17 09:00:00,22043.362637363
2015-08-17 10:00:00,24486.2
2015-08-17 11:00:00,21097.954545455
2015-08-17 12:00:00,27340.927835052
2015-08-17 13:00:00,24258.760869565
2015-08-17 14:00:00,26989.548387097
2015-08-17 15:00:00,22716.552
2015-08-17 16:00:00,31393.035294118
2015-08-17 17:00:00,28632.88976378
2015-08-17 18:00:00,25176.0
2015-08-17 19:00:00,26925.235294118
2015-08-17 20:00:00,30726.333333333
2015-08-17 21:00:00,26540.896551724
2015-08-17 22:00:00,25580.597014925
2015-08-17 23:00:00,21058.846153846
2015-08-18 00:00:00,27200.794520548
2015-08-18 01:00:00,77933.244897959
2015-08-18 02:00:00,33215.666666667
2015-08-18 03:00:00,21000.153846154
2015-08-18 04:00:00,25933.954545455
2015-08-18 05:00:00,23472.87012987
2015-08-18 06:00:00,22930.879310345
2015-08-18 07:00:00,37125.31147541
2015-08-18 08:00:00,21320.753026634
2015-08-18 09:00:00,25667.950819672
2015-08-18 10:00:00,44446.76344086
2015-08-18 11:00:00,31753.8125
2015-08-18 12:00:00,22964.458333333
2015-08-18 13:00:00,32163.8
2015-08-18 14:00:00,27182.913043478
2015-08-18 15:00:00,26143.245614035
2015-08-18 16:00:00,34463.544303797
2015-08-18 17:00:00,30366.119402985
2015-08-18 18:00:00,27308.975609756
2015-08-18 19:00:00,23778.610169492
2015-08-18 20:00:00,23689.923076923
2015-08-18 21:00:00,22989.149425287
2015-08-18 22:00:00,25480.828947368
2015-08-18 23:00:00,21006.252873563
2015-08-19 00:00:00,21019.741935484
2015-08-19 01:00:00,21095.288888889
2015-08-19 02:00:00,26328.275862069
2015-08-19 03:00:00,22715.163636364
2015-08-19 04:00:00,28577.765957447
2015-08-19 05:00:00,21747.56097561
2015-08-19 06:00:00,21505.255319149
2015-08-19 07:00:00,35553.474576271
2015-08-19 08:00:00,21156.242532855
2015-08-19 09:00:00,22732.892561983
2015-08-19 10:00:00,153298.523364486
2015-08-19 11:00:00,21048.96
2015-08-19 12:00:00,40659.430769231
2015-08-19 13:00:00,21029.733333333
2015-08-19 14:00:00,27233.0
2015-08-19 15:00:00,25013.773584906
2015-08-19 16:00:00,27075.066666667
2015-08-19 17:00:00,26615.461538462
2015-08-19 18:00:00,24105.769230769
2015-08-19 19:00:00,21370.783941606
2015-08-19 20:00:00,85458.153846154
2015-08-19 21:00:00,25252.685714286
2015-08-19 22:00:00,22139.555214724
2015-08-19 23:00:00,24695.31372549
2015-08-20 00:00:00,22279.928571429
2015-08-20 01:00:00,47998.243902439
2015-08-20 02:00:00,25126.451612903
2015-08-20 03:00:00,40937.666666667
2015-08-20 04:00:00,30220.538461538
2015-08-20 05:00:00,32550.064516129
2015-08-20 06:00:00,27220.454545455
2015-08-20 07:00:00,22756.356756757
2015-08-20 08:00:00,27790.701492537
2015-08-20 09:00:00,35684.257142857
2015-08-20 10:00:00,25178.213114754
2015-08-20 11:00:00,38195.18
2015-08-20 12:00:00,25837.905660377
2015-08-20 16:00:00,41125.659663866
2015-08-20 17:00:00,23066.266666667
2015-08-20 18:00:00,64327.4
2015-08-20 19:00:00,22831.904205607
2015-08-20 20:00:00,37693.555555556
2015-08-20 21:00:00,22305.636363636
2015-08-20 22:00:00,23154.017045455
2015-08-20 23:00:00,24865.238095238
2015-08-21 00:00:00,21783.023255814
2015-08-21 01:00:00,21000.0
2015-08-21 02:00:00,21213.5
2015-08-21 03:00:00,34851.666666667
2015-08-21 04:00:00,24003.548387097
2015-08-21 05:00:00,29176.670886076
2015-08-21 06:00:00,21011.547169811
2015-08-21 07:00:00,23600.103921569
2015-08-21 08:00:00,23995.51754386
2015-08-21 09:00:00,23246.047619048
2015-08-21 10:00:00,45530.708333333
2015-08-21 11:00:00,27650.714285714
2015-08-21 12:00:00,21022.95
2015-08-21 13:00:00,40477.289473684
2015-08-21 14:00:00,22493.09375
2015-08-21 15:00:00,22499.452991453
2015-08-21 16:00:00,25508.987951807
2015-08-21 17:00:00,22626.62195122
