Date,supply/current
2015-07-30 15:00:00,72015627.37448
2015-07-30 16:00:00,72023874.87448
2015-07-30 17:00:00,72029906.74948
2015-07-30 18:00:00,72034835.49948
2015-07-30 19:00:00,72038518.93698
2015-07-30 20:00:00,72041668.46823
2015-07-30 21:00:00,72044334.56198
2015-07-30 22:00:00,72046962.37448
2015-07-30 23:00:00,72049301.59323
2015-07-31 00:00:00,72051503.31198
2015-07-31 01:00:00,72053411.43698
2015-07-31 02:00:00,72055256.59323
2015-07-31 03:00:00,72057050.65573
2015-07-31 04:00:00,72058856.28073
2015-07-31 05:00:00,72060494.40573
2015-07-31 06:00:00,72062175.65573
2015-07-31 07:00:00,72063643.93698
2015-07-31 08:00:00,72065036.59323
2015-07-31 09:00:00,72066490.65573
2015-07-31 10:00:00,72067879.09323
2015-07-31 11:00:00,72069163.15573
2015-07-31 12:00:00,72070497.53073
2015-07-31 13:00:00,72071908.15573
2015-07-31 14:00:00,72073354.40573
2015-07-31 15:00:00,72074707.37448
2015-07-31 16:00:00,72076102.99948
2015-07-31 17:00:00,72077465.03073
2015-07-31 18:00:00,72078744.40573
2015-07-31 19:00:00,72080112.99948
2015-07-31 20:00:00,72081571.12448
2015-07-31 21:00:00,72082915.49948
2015-07-31 22:00:00,72084258.31198
2015-07-31 23:00:00,72085493.31198
2015-08-01 00:00:00,72086776.28073
2015-08-01 01:00:00,72087961.74948
2015-08-01 02:00:00,72089267.06198
2015-08-01 03:00:00,72090386.90573
2015-08-01 04:00:00,72091433.46823
2015-08-01 05:00:00,72092584.71823
2015-08-01 06:00:00,72093722.99948
2015-08-01 07:00:00,72094886.28073
2015-08-01 08:00:00,72096030.34323
2015-08-01 09:00:00,72097190.34323
2015-08-01 10:00:00,72098434.09323
2015-08-01 11:00:00,72099486.90573
2015-08-01 12:00:00,72100511.28073
2015-08-01 13:00:00,72101438.62448
2015-08-01 14:00:00,72102424.24948
2015-08-01 15:00:00,72103470.65573
2015-08-01 16:00:00,72104767.99948
2015-08-01 17:00:00,72105965.81198
2015-08-01 18:00:00,72107340.34323
2015-08-01 19:00:00,72108674.87448
2015-08-01 20:00:00,72110014.09323
2015-08-01 21:00:00,72111032.99948
2015-08-01 22:00:00,72112172.06198
2015-08-01 23:00:00,72113195.49948
2015-08-02 00:00:00,72114344.71823
2015-08-02 01:00:00,72115464.71823
2015-08-02 02:00:00,72116666.74948
2015-08-02 03:00:00,72117891.12448
2015-08-02 04:00:00,72119070.65573
2015-08-02 05:00:00,72120254.09323
2015-08-02 06:00:00,72121209.40573
2015-08-02 07:00:00,72122472.06198
2015-08-02 08:00:00,72123636.74948
2015-08-02 09:00:00,72124733.15573
2015-08-02 10:00:00,72126050.96823
2015-08-02 11:00:00,72127196.12448
2015-08-02 12:00:00,72128268.93698
2015-08-02 13:00:00,72129557.06198
2015-08-02 14:00:00,72130776.90573
2015-08-02 15:00:00,72131832.99948
2015-08-02 16:00:00,72133046.28073
2015-08-02 17:00:00,72134249.24948
2015-08-02 18:00:00,72135408.46823
2015-08-02 19:00:00,72136517.53073
2015-08-02 20:00:00,72137737.06198
2015-08-02 21:00:00,72138981.59323
2015-08-02 22:00:00,72140206.43698
2015-08-02 23:00:00,72141422.68698
2015-08-03 00:00:00,72142555.03073
2015-08-03 01:00:00,72143728.93698
2015-08-03 02:00:00,72144912.37448
2015-08-03 03:00:00,72146222.53073
2015-08-03 04:00:00,72147468.62448
2015-08-03 05:00:00,72148684.40573
2015-08-03 06:00:00,72149845.81198
2015-08-03 07:00:00,72150837.53073
2015-08-03 08:00:00,72152011.43698
2015-08-03 09:00:00,72153057.06198
2015-08-03 10:00:00,72154207.37448
2015-08-03 11:00:00,72155269.40573
2015-08-03 12:00:00,72156483.78073
2015-08-03 13:00:00,72157637.21823
2015-08-03 14:00:00,72158750.81198
2015-08-03 15:00:00,72159804.40573
2015-08-03 16:00:00,72160981.59323
2015-08-03 17:00:00,72162205.03073
2015-08-03 18:00:00,72163497.37448
2015-08-03 19:00:00,72164616.74948
2015-08-03 20:00:00,72165895.18698
2015-08-03 21:00:00,72167180.03073
2015-08-03 22:00:00,72168299.87448
2015-08-03 23:00:00,72169399.40573
2015-08-04 00:00:00,72170653.78073
2015-08-04 01:00:00,72171719.87448
