Date,addresses/count
2009-01-03,1.0
2009-01-04,1.0
2009-01-05,1.0
2009-01-06,1.0
2009-01-07,1.0
2009-01-08,1.0
2009-01-09,15.0
2009-01-10,76.0
2009-01-11,169.0
2009-01-12,270.0
2009-01-13,393.0
2009-01-14,523.0
2009-01-15,655.0
2009-01-16,765.0
2009-01-17,874.0
2009-01-18,982.0
2009-01-19,1098.0
2009-01-20,1213.0
2009-01-21,1316.0
2009-01-22,1407.0
2009-01-23,1492.0
2009-01-24,1694.0
2009-01-25,1886.0
2009-01-26,1982.0
2009-01-27,2080.0
2009-01-28,2192.0
2009-01-29,2313.0
2009-01-30,2430.0
2009-01-31,2569.0
2009-02-01,2683.0
2009-02-02,2812.0
2009-02-03,2961.0
2009-02-04,3080.0
2009-02-05,3206.0
2009-02-06,3328.0
2009-02-07,3461.0
2009-02-08,3594.0
2009-02-09,3728.0
2009-02-10,3848.0
2009-02-11,3983.0
2009-02-12,4102.0
2009-02-13,4226.0
2009-02-14,4362.0
2009-02-15,4493.0
2009-02-16,4615.0
2009-02-17,4732.0
2009-02-18,4850.0
2009-02-19,4974.0
2009-02-20,5096.0
2009-02-21,5210.0
2009-02-22,5335.0
2009-02-23,5443.0
2009-02-24,5549.0
2009-02-25,5654.0
2009-02-26,5761.0
2009-02-27,5876.0
2009-02-28,5975.0
2009-03-01,6080.0
2009-03-02,6188.0
2009-03-03,6293.0
2009-03-04,6397.0
2009-03-05,6509.0
2009-03-06,6626.0
2009-03-07,6735.0
2009-03-08,6852.0
2009-03-09,6960.0
2009-03-10,7067.0
2009-03-11,7181.0
2009-03-12,7300.0
2009-03-13,7413.0
2009-03-14,7523.0
2009-03-15,7646.0
2009-03-16,7767.0
2009-03-17,7881.0
2009-03-18,7995.0
2009-03-19,8117.0
2009-03-20,8235.0
2009-03-21,8285.0
2009-03-22,8404.0
2009-03-23,8534.0
2009-03-24,8639.0
2009-03-25,8756.0
2009-03-26,8873.0
2009-03-27,8979.0
2009-03-28,9098.0
2009-03-29,9214.0
2009-03-30,9334.0
2009-03-31,9444.0
2009-04-01,9558.0
2009-04-02,9673.0
2009-04-03,9789.0
2009-04-04,9902.0
2009-04-05,10032.0
2009-04-06,10141.0
2009-04-07,10241.0
2009-04-08,10346.0
2009-04-09,10445.0
2009-04-10,10553.0
2009-04-11,10674.0
2009-04-12,10793.0
2009-04-13,10909.0
2009-04-14,11033.0
2009-04-15,11146.0
2009-04-16,11269.0
2009-04-17,11381.0
2009-04-18,11509.0
2009-04-19,11628.0
2009-04-20,11748.0
2009-04-21,11872.0
2009-04-22,11993.0
2009-04-23,12068.0
2009-04-24,12183.0
2009-04-25,12301.0
2009-04-26,12413.0
2009-04-27,12517.0
2009-04-28,12634.0
2009-04-29,12762.0
2009-04-30,12893.0
2009-05-01,13014.0
2009-05-02,13142.0
2009-05-03,13251.0
2009-05-04,13379.0
2009-05-05,13514.0
