Date,blockchain/block_height
2009-01-09,14.0
2009-01-10,75.0
2009-01-11,168.0
2009-01-12,262.0
2009-01-13,385.0
2009-01-14,514.0
2009-01-15,640.0
2009-01-16,748.0
2009-01-17,857.0
2009-01-18,964.0
2009-01-19,1079.0
2009-01-20,1193.0
2009-01-21,1295.0
2009-01-22,1386.0
2009-01-23,1470.0
2009-01-24,1671.0
2009-01-25,1862.0
2009-01-26,1958.0
2009-01-27,2055.0
2009-01-28,2167.0
2009-01-29,2288.0
2009-01-30,2405.0
2009-01-31,2543.0
2009-02-01,2656.0
2009-02-02,2784.0
2009-02-03,2923.0
2009-02-04,3042.0
2009-02-05,3168.0
2009-02-06,3290.0
2009-02-07,3419.0
2009-02-08,3551.0
2009-02-09,3685.0
2009-02-10,3805.0
2009-02-11,3938.0
2009-02-12,4057.0
2009-02-13,4181.0
2009-02-14,4317.0
2009-02-15,4445.0
2009-02-16,4567.0
2009-02-17,4684.0
2009-02-18,4802.0
2009-02-19,4926.0
2009-02-20,5048.0
2009-02-21,5162.0
2009-02-22,5283.0
2009-02-23,5391.0
2009-02-24,5497.0
2009-02-25,5602.0
2009-02-26,5709.0
2009-02-27,5824.0
2009-02-28,5923.0
2009-03-01,6028.0
2009-03-02,6136.0
2009-03-03,6241.0
2009-03-04,6345.0
2009-03-05,6457.0
2009-03-06,6574.0
2009-03-07,6683.0
2009-03-08,6798.0
2009-03-09,6906.0
2009-03-10,7013.0
2009-03-11,7127.0
2009-03-12,7245.0
2009-03-13,7358.0
2009-03-14,7468.0
2009-03-15,7591.0
2009-03-16,7712.0
2009-03-17,7826.0
2009-03-18,7940.0
2009-03-19,8062.0
2009-03-20,8180.0
2009-03-21,8230.0
2009-03-22,8349.0
2009-03-23,8479.0
2009-03-24,8584.0
2009-03-25,8701.0
2009-03-26,8818.0
2009-03-27,8924.0
2009-03-28,9043.0
2009-03-29,9159.0
2009-03-30,9279.0
2009-03-31,9389.0
2009-04-01,9503.0
2009-04-02,9618.0
2009-04-03,9734.0
2009-04-04,9847.0
2009-04-05,9977.0
2009-04-06,10086.0
2009-04-07,10186.0
2009-04-08,10291.0
2009-04-09,10390.0
2009-04-10,10498.0
2009-04-11,10618.0
2009-04-12,10736.0
2009-04-13,10851.0
2009-04-14,10975.0
2009-04-15,11088.0
2009-04-16,11211.0
2009-04-17,11323.0
2009-04-18,11449.0
2009-04-19,11568.0
2009-04-20,11687.0
2009-04-21,11810.0
2009-04-22,11931.0
2009-04-23,12006.0
2009-04-24,12121.0
2009-04-25,12239.0
2009-04-26,12351.0
2009-04-27,12455.0
2009-04-28,12572.0
2009-04-29,12700.0
2009-04-30,12831.0
2009-05-01,12952.0
2009-05-02,13078.0
2009-05-03,13184.0
2009-05-04,13312.0
