Date,blockchain/block_interval_median
2009-01-09,440.0
2009-01-10,667.0
2009-01-11,677.0
2009-01-12,707.0
2009-01-13,725.0
2009-01-14,689.0
2009-01-15,699.0
2009-01-16,805.0
2009-01-17,798.0
2009-01-18,785.0
2009-01-19,738.0
2009-01-20,768.0
2009-01-21,739.0
2009-01-22,900.0
2009-01-23,403.0
2009-01-24,391.0
2009-01-25,409.0
2009-01-26,554.0
2009-01-27,836.0
2009-01-28,729.0
2009-01-29,655.0
2009-01-30,660.0
2009-01-31,594.0
2009-02-01,686.0
2009-02-02,597.0
2009-02-03,579.0
2009-02-04,693.0
2009-02-05,610.0
2009-02-06,695.0
2009-02-07,579.0
2009-02-08,588.0
2009-02-09,601.0
2009-02-10,630.0
2009-02-11,594.0
2009-02-12,674.0
2009-02-13,613.0
2009-02-14,547.0
2009-02-15,647.0
2009-02-16,671.0
2009-02-17,687.0
2009-02-18,676.0
2009-02-19,621.0
2009-02-20,667.0
2009-02-21,738.0
2009-02-22,646.0
2009-02-23,764.0
2009-02-24,763.0
2009-02-25,758.0
2009-02-26,789.0
2009-02-27,699.0
2009-02-28,832.0
2009-03-01,810.0
2009-03-02,764.0
2009-03-03,836.0
2009-03-04,796.0
2009-03-05,758.0
2009-03-06,755.0
2009-03-07,762.0
2009-03-08,805.0
2009-03-09,758.0
2009-03-10,749.0
2009-03-11,747.0
2009-03-12,663.0
2009-03-13,738.0
2009-03-14,707.0
2009-03-15,606.0
2009-03-16,674.0
2009-03-17,669.0
2009-03-18,661.0
2009-03-19,626.0
2009-03-20,649.0
2009-03-21,754.0
2009-03-22,706.0
2009-03-23,596.0
2009-03-24,789.0
2009-03-25,661.0
2009-03-26,690.0
2009-03-27,731.0
2009-03-28,715.0
2009-03-29,655.0
2009-03-30,667.0
2009-03-31,787.0
2009-04-01,701.0
2009-04-02,773.0
2009-04-03,749.0
2009-04-04,739.0
2009-04-05,622.0
2009-04-06,725.0
2009-04-07,845.0
2009-04-08,883.0
2009-04-09,853.0
2009-04-10,761.0
2009-04-11,629.0
2009-04-12,698.0
2009-04-13,733.0
2009-04-14,638.0
2009-04-15,701.0
2009-04-16,682.0
2009-04-17,729.0
2009-04-18,630.0
2009-04-19,666.0
2009-04-20,685.0
2009-04-21,678.0
2009-04-22,637.0
2009-04-23,793.0
2009-04-24,702.0
2009-04-25,684.0
2009-04-26,698.0
2009-04-27,835.0
2009-04-28,673.0
2009-04-29,655.0
2009-04-30,606.0
2009-05-01,641.0
2009-05-02,624.0
2009-05-03,595.0
2009-05-04,616.0
2009-05-05,599.0
2009-05-06,637.0
2009-05-07,675.0
2009-05-08,772.0
2009-05-09,842.0
2009-05-10,736.0
2009-05-11,725.0
2009-05-12,662.0
2009-05-13,781.0
2009-05-14,548.0
2009-05-15,594.0
2009-05-16,710.0
2009-05-17,665.0
2009-05-18,716.0
2009-05-19,705.0
2009-05-20,688.0
2009-05-21,674.0
2009-05-22,818.0
2009-05-23,815.0
2009-05-24,707.0
2009-05-25,722.0
2009-05-26,683.0
2009-05-27,656.0
2009-05-28,808.0
2009-05-29,767.0
2009-05-30,755.0
2009-05-31,675.0
2009-06-01,799.0
2009-06-02,700.0
2009-06-03,952.0
2009-06-04,797.0
2009-06-05,915.0
2009-06-06,1486.0
2009-06-07,918.0
2009-06-08,922.0
2009-06-09,810.0
2009-06-10,953.0
2009-06-11,841.0
2009-06-12,826.0
2009-06-13,814.0
2009-06-14,927.0
2009-06-15,1008.0
2009-06-16,1071.0
2009-06-17,877.0
2009-06-18,1013.0
2009-06-19,851.0
2009-06-20,985.0
