Date,blockchain/utxo_count
2009-01-03,1.0
2009-01-04,1.0
2009-01-05,1.0
2009-01-06,1.0
2009-01-07,1.0
2009-01-08,1.0
2009-01-09,15.0
2009-01-10,76.0
2009-01-11,169.0
2009-01-12,268.0
2009-01-13,391.0
2009-01-14,518.0
2009-01-15,643.0
2009-01-16,749.0
2009-01-17,858.0
2009-01-18,963.0
2009-01-19,1064.0
2009-01-20,1171.0
2009-01-21,1272.0
2009-01-22,1354.0
2009-01-23,1431.0
2009-01-24,1623.0
2009-01-25,1814.0
2009-01-26,1891.0
2009-01-27,1986.0
2009-01-28,2098.0
2009-01-29,2208.0
2009-01-30,2325.0
2009-01-31,2444.0
2009-02-01,2556.0
2009-02-02,2684.0
2009-02-03,2835.0
2009-02-04,2954.0
2009-02-05,3080.0
2009-02-06,3202.0
2009-02-07,3312.0
2009-02-08,3444.0
2009-02-09,3535.0
2009-02-10,3655.0
2009-02-11,3776.0
2009-02-12,3895.0
2009-02-13,4019.0
2009-02-14,4155.0
2009-02-15,4273.0
2009-02-16,4366.0
2009-02-17,4483.0
2009-02-18,4601.0
2009-02-19,4710.0
2009-02-20,4832.0
2009-02-21,4946.0
2009-02-22,5060.0
2009-02-23,5168.0
2009-02-24,5274.0
2009-02-25,5379.0
2009-02-26,5486.0
2009-02-27,5566.0
2009-02-28,5659.0
2009-03-01,5764.0
2009-03-02,5872.0
2009-03-03,5971.0
2009-03-04,6053.0
2009-03-05,6158.0
2009-03-06,6275.0
2009-03-07,6384.0
2009-03-08,6476.0
2009-03-09,6584.0
2009-03-10,6691.0
2009-03-11,6805.0
2009-03-12,6921.0
2009-03-13,7022.0
2009-03-14,7132.0
2009-03-15,7255.0
2009-03-16,7329.0
2009-03-17,7443.0
2009-03-18,7545.0
2009-03-19,7667.0
2009-03-20,7774.0
2009-03-21,7824.0
2009-03-22,7934.0
2009-03-23,8064.0
2009-03-24,8169.0
2009-03-25,8286.0
2009-03-26,8376.0
2009-03-27,8482.0
2009-03-28,8584.0
2009-03-29,8700.0
2009-03-30,8820.0
2009-03-31,8899.0
2009-04-01,9013.0
2009-04-02,9128.0
2009-04-03,9244.0
2009-04-04,9357.0
2009-04-05,9472.0
2009-04-06,9581.0
2009-04-07,9681.0
2009-04-08,9786.0
2009-04-09,9885.0
2009-04-10,9993.0
2009-04-11,10107.0
2009-04-12,10219.0
2009-04-13,10335.0
2009-04-14,10459.0
2009-04-15,10572.0
2009-04-16,10695.0
2009-04-17,10807.0
2009-04-18,10934.0
2009-04-19,11046.0
2009-04-20,11052.0
2009-04-21,11176.0
2009-04-22,11297.0
2009-04-23,11372.0
2009-04-24,11487.0
2009-04-25,11605.0
2009-04-26,11704.0
2009-04-27,11808.0
2009-04-28,11925.0
2009-04-29,12034.0
2009-04-30,12165.0
2009-05-01,12286.0
2009-05-02,12401.0
2009-05-03,12508.0
2009-05-04,12607.0
2009-05-05,12733.0
