Date,blockchain/utxo_created_value_mean
2009-01-03,50.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,50.0
2009-01-10,50.0
2009-01-11,50.0
2009-01-12,46.0283018867924
2009-01-13,50.0
2009-01-14,50.0846153846154
2009-01-15,48.5714285714286
2009-01-16,50.9090909090909
2009-01-17,50.0
2009-01-18,50.9259259259259
2009-01-19,55.7692307692308
2009-01-20,53.0434782608695
2009-01-21,50.4854368932039
2009-01-22,54.8913043478261
2009-01-23,54.0697674418605
2009-01-24,52.2277227722773
2009-01-25,50.0
2009-01-26,59.7938144329897
2009-01-27,51.0204081632653
2009-01-28,50.0
2009-01-29,54.5081967213115
2009-01-30,50.0
2009-01-31,56.8345323741007
2009-02-01,50.4385964912281
2009-02-02,50.0
2009-02-03,45.4823668639053
2009-02-04,50.0
2009-02-05,50.0
2009-02-06,50.0
2009-02-07,57.0746268656717
2009-02-08,57.1428571428571
2009-02-09,65.9259259259259
2009-02-10,50.0
2009-02-11,53.3336296296296
2009-02-12,50.0
2009-02-13,50.0
2009-02-14,50.0
2009-02-15,55.7251908396947
2009-02-16,61.7886178861789
2009-02-17,50.0
2009-02-18,50.0
2009-02-19,56.0
2009-02-20,50.0
2009-02-21,50.0
2009-02-22,56.8
2009-02-23,50.0
2009-02-24,50.0
2009-02-25,50.0
2009-02-26,50.0
2009-02-27,65.0862068965517
2009-02-28,53.0
2009-03-01,50.0
2009-03-02,50.0
2009-03-03,52.803738317757
2009-03-04,60.2803738317757
2009-03-05,53.0973451327433
2009-03-06,50.0
2009-03-07,50.0
2009-03-08,61.864406779661
2009-03-09,50.0
2009-03-10,50.0
2009-03-11,50.0
2009-03-12,50.8403361344538
2009-03-13,56.140350877193
2009-03-14,50.0
2009-03-15,50.0
2009-03-16,69.2622950819672
2009-03-17,50.0
2009-03-18,55.1724137931035
2009-03-19,50.0
2009-03-20,54.6218487394958
2009-03-21,50.0
2009-03-22,53.7190082644628
2009-03-23,50.0
2009-03-24,50.0
2009-03-25,50.0
2009-03-26,61.4406779661017
2009-03-27,50.0
2009-03-28,56.9672131147541
2009-03-29,50.0
2009-03-30,50.0
2009-03-31,63.963963963964
2009-04-01,50.0
2009-04-02,50.0
2009-04-03,50.0
2009-04-04,50.0
2009-04-05,55.6818181818182
2009-04-06,50.0
2009-04-07,50.0
2009-04-08,50.0
2009-04-09,50.0
2009-04-10,50.0
2009-04-11,52.4793388429752
2009-04-12,57.0833333333333
2009-04-13,49.5726495726496
2009-04-14,50.0
2009-04-15,50.0
2009-04-16,50.0
2009-04-17,50.0
2009-04-18,49.4848091603053
2009-04-19,52.9166666666667
2009-04-20,96.694214876033
2009-04-21,49.6
2009-04-22,50.0
2009-04-23,50.0
2009-04-24,50.0
2009-04-25,50.0
2009-04-26,55.7017543859649
2009-04-27,50.0
2009-04-28,50.0
2009-04-29,57.3643410852713
2009-04-30,50.0
2009-05-01,50.0
2009-05-02,54.2303076923077
2009-05-03,48.7387387387387
2009-05-04,61.2403100775194
2009-05-05,53.3088235294118
2009-05-06,50.0
2009-05-07,50.0
2009-05-08,50.0
2009-05-09,50.0
2009-05-10,50.0
2009-05-11,50.0
2009-05-12,50.0
2009-05-13,48.3051694915254
2009-05-14,49.9999300699301
2009-05-15,53.2846715328467
