Date,blockchain/block_height
2009-01-09 02:00:00,2.0
2009-01-09 03:00:00,9.0
2009-01-09 04:00:00,14.0
2009-01-10 04:00:00,16.0
2009-01-10 05:00:00,21.0
2009-01-10 06:00:00,27.0
2009-01-10 15:00:00,32.0
2009-01-10 16:00:00,37.0
2009-01-10 17:00:00,44.0
2009-01-10 18:00:00,49.0
2009-01-10 19:00:00,54.0
2009-01-10 20:00:00,59.0
2009-01-10 21:00:00,65.0
2009-01-10 22:00:00,70.0
2009-01-10 23:00:00,75.0
2009-01-11 00:00:00,77.0
2009-01-11 01:00:00,78.0
2009-01-11 03:00:00,80.0
2009-01-11 04:00:00,84.0
2009-01-11 05:00:00,90.0
2009-01-11 06:00:00,96.0
2009-01-11 07:00:00,99.0
2009-01-11 08:00:00,104.0
2009-01-11 09:00:00,109.0
2009-01-11 10:00:00,113.0
2009-01-11 11:00:00,119.0
2009-01-11 12:00:00,124.0
2009-01-11 13:00:00,128.0
2009-01-11 14:00:00,133.0
2009-01-11 15:00:00,140.0
2009-01-11 16:00:00,144.0
2009-01-11 17:00:00,149.0
2009-01-11 18:00:00,154.0
2009-01-11 19:00:00,160.0
2009-01-11 20:00:00,162.0
2009-01-11 23:00:00,168.0
2009-01-12 03:00:00,173.0
2009-01-12 04:00:00,176.0
2009-01-12 05:00:00,180.0
2009-01-12 06:00:00,185.0
2009-01-12 07:00:00,192.0
2009-01-12 08:00:00,196.0
2009-01-12 09:00:00,201.0
2009-01-12 10:00:00,207.0
2009-01-12 11:00:00,212.0
2009-01-12 12:00:00,216.0
2009-01-12 13:00:00,220.0
2009-01-12 14:00:00,224.0
2009-01-12 15:00:00,229.0
2009-01-12 16:00:00,233.0
2009-01-12 17:00:00,239.0
2009-01-12 18:00:00,242.0
2009-01-12 19:00:00,247.0
2009-01-12 20:00:00,251.0
2009-01-12 21:00:00,255.0
2009-01-12 22:00:00,258.0
2009-01-12 23:00:00,262.0
2009-01-13 00:00:00,269.0
2009-01-13 01:00:00,274.0
2009-01-13 02:00:00,277.0
2009-01-13 03:00:00,283.0
2009-01-13 04:00:00,286.0
2009-01-13 05:00:00,291.0
2009-01-13 06:00:00,297.0
2009-01-13 07:00:00,301.0
2009-01-13 08:00:00,305.0
2009-01-13 09:00:00,311.0
2009-01-13 10:00:00,316.0
2009-01-13 11:00:00,322.0
2009-01-13 12:00:00,327.0
2009-01-13 13:00:00,333.0
2009-01-13 14:00:00,340.0
2009-01-13 15:00:00,346.0
2009-01-13 16:00:00,350.0
2009-01-13 17:00:00,355.0
2009-01-13 18:00:00,361.0
2009-01-13 19:00:00,366.0
2009-01-13 20:00:00,370.0
2009-01-13 21:00:00,376.0
2009-01-13 22:00:00,380.0
2009-01-13 23:00:00,385.0
2009-01-14 00:00:00,389.0
2009-01-14 01:00:00,395.0
2009-01-14 02:00:00,399.0
2009-01-14 03:00:00,404.0
2009-01-14 04:00:00,409.0
2009-01-14 05:00:00,415.0
2009-01-14 06:00:00,422.0
2009-01-14 07:00:00,426.0
2009-01-14 08:00:00,432.0
2009-01-14 09:00:00,436.0
2009-01-14 10:00:00,442.0
2009-01-14 11:00:00,447.0
2009-01-14 12:00:00,452.0
2009-01-14 13:00:00,456.0
2009-01-14 14:00:00,465.0
2009-01-14 15:00:00,470.0
2009-01-14 16:00:00,476.0
2009-01-14 17:00:00,480.0
2009-01-14 18:00:00,486.0
2009-01-14 19:00:00,493.0
