Date,addresses/sending_count
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,778.0
2015-08-08,582.0
2015-08-09,457.0
2015-08-10,804.0
2015-08-11,2119.0
2015-08-12,565.0
2015-08-13,858.0
2015-08-14,1098.0
2015-08-15,845.0
2015-08-16,748.0
2015-08-17,800.0
2015-08-18,824.0
2015-08-19,815.0
2015-08-20,643.0
2015-08-21,910.0
2015-08-22,833.0
2015-08-23,877.0
2015-08-24,868.0
2015-08-25,928.0
2015-08-26,872.0
2015-08-27,922.0
2015-08-28,906.0
2015-08-29,832.0
2015-08-30,919.0
2015-08-31,937.0
2015-09-01,908.0
2015-09-02,868.0
2015-09-03,771.0
2015-09-04,752.0
2015-09-05,824.0
2015-09-06,961.0
2015-09-07,959.0
2015-09-08,987.0
2015-09-09,973.0
2015-09-10,981.0
2015-09-11,1076.0
2015-09-12,932.0
2015-09-13,946.0
2015-09-14,1006.0
2015-09-15,892.0
2015-09-16,909.0
2015-09-17,967.0
2015-09-18,883.0
2015-09-19,824.0
2015-09-20,891.0
2015-09-21,983.0
2015-09-22,992.0
2015-09-23,961.0
2015-09-24,991.0
2015-09-25,959.0
2015-09-26,885.0
2015-09-27,903.0
2015-09-28,991.0
2015-09-29,926.0
2015-09-30,912.0
2015-10-01,931.0
2015-10-02,835.0
2015-10-03,874.0
2015-10-04,862.0
2015-10-05,854.0
2015-10-06,885.0
2015-10-07,874.0
2015-10-08,853.0
2015-10-09,854.0
2015-10-10,785.0
2015-10-11,832.0
2015-10-12,824.0
2015-10-13,823.0
2015-10-14,938.0
2015-10-15,862.0
2015-10-16,865.0
2015-10-17,855.0
2015-10-18,805.0
2015-10-19,831.0
2015-10-20,819.0
2015-10-21,855.0
2015-10-22,829.0
2015-10-23,933.0
2015-10-24,856.0
2015-10-25,891.0
2015-10-26,971.0
2015-10-27,1132.0
2015-10-28,1139.0
2015-10-29,1239.0
2015-10-30,1285.0
2015-10-31,1204.0
2015-11-01,1139.0
2015-11-02,1306.0
2015-11-03,1221.0
2015-11-04,1214.0
2015-11-05,1247.0
2015-11-06,1221.0
2015-11-07,1146.0
2015-11-08,1165.0
2015-11-09,1309.0
2015-11-10,1251.0
2015-11-11,1226.0
2015-11-12,1192.0
2015-11-13,1164.0
2015-11-14,1224.0
2015-11-15,1204.0
2015-11-16,1243.0
2015-11-17,1286.0
2015-11-18,1281.0
2015-11-19,1263.0
2015-11-20,1053.0
2015-11-21,1082.0
2015-11-22,1012.0
2015-11-23,1118.0
2015-11-24,1110.0
2015-11-25,1109.0
2015-11-26,1128.0
2015-11-27,1016.0
2015-11-28,1032.0
2015-11-29,1064.0
2015-11-30,987.0
2015-12-01,959.0
2015-12-02,916.0
