Date,fees/fee_ratio_multiple
2009-02-03,3458.71144278607
2009-05-02,210001.0
2009-05-11,60001.0
2009-07-20,25000.999999999996
2009-08-07,30770.23076923077
2009-09-17,35001.0
2009-10-20,39584.333333333336
2009-12-01,16591.90909090909
2010-01-12,30577.923076923078
2010-02-09,23523.727272727272
2010-04-04,32885.61538461538
2010-05-14,917.5424739195231
2010-05-15,1724.4848484848485
2010-05-22,9849.484848484848
2010-06-30,6643.335766423358
2010-07-14,2890001.0
2010-07-15,47273.72727272727
2010-07-16,93519.51851851851
2010-07-17,173000.99999999997
2010-07-18,10362.44578313253
2010-07-19,96667.66666666667
2010-07-23,970001.0
2010-07-25,3983.7586206896553
2010-07-26,8047.35761589404
2010-07-27,12389.059701492537
2010-07-28,7572.428571428572
2010-07-29,10113.359550561798
2010-07-30,31380.31034482759
2010-07-31,33834.333333333336
2010-08-01,38549.38709677419
2010-08-02,57620.04761904762
2010-08-07,3355.978354978355
2010-08-09,2200.074074074074
2010-08-16,10971.149253731342
2010-08-18,4263.820512820513
2010-08-24,13438.499999999998
2010-08-28,7727272728.272726
2010-08-29,35218.391304347824
2010-08-30,20695.444444444445
2010-08-31,46000.9310001035
2010-09-01,98125.75468811329
2010-09-05,825001.0
2010-09-06,79000000001.0
2010-09-08,41250000001.0
2010-09-09,61364.58057856311
2010-09-10,88500000001.00002
2010-09-12,59001.0
2010-09-13,85500000001.00002
2010-09-14,1056905.1351504447
2010-09-18,65834.33333333334
2010-09-21,86000000001.00002
2010-09-27,572501.0
2010-09-28,7362.111111111111
2010-10-01,13751.0
2010-10-02,643656.5515934981
2010-10-03,785450.8631900853
2010-10-04,7727272728.272727
2010-10-06,7844036698.247707
2010-10-11,7293577982.651377
2010-10-13,25143.857142857145
2010-10-18,622501.0
2010-10-21,1197505.5550240467
2010-10-23,175000.99999999997
2010-11-08,16567.265060240963
2010-11-15,20834.333333333332
2010-11-19,93751.0
2010-11-20,5801.0
2010-11-21,6731.7692307692305
2010-11-22,14554.571428571428
2010-11-23,14584.333333333332
2010-11-24,46579.94736842105
2010-11-26,26217.21621621622
2010-11-27,450001.0
2010-11-29,348334.3333333334
2010-11-30,1010001.0
2010-12-01,235001.00000000003
2010-12-02,156667.66666666666
2010-12-03,945001.0
2010-12-04,1049759.5555322275
2010-12-05,398334.3333333334
2010-12-06,266669.8501792435
2010-12-07,145473.03972616198
2010-12-08,297501.0
2010-12-09,299148.2826829138
2010-12-10,105000.99999999999
2010-12-11,74629.151376254
2010-12-12,57548.03443641463
2010-12-13,22635.132760200708
2010-12-14,174764.03256990167
2010-12-15,145335.78312194537
