Date,fees/gas_limit_tx_mean
2015-08-07,45679.056097561
2015-08-08,245515.518917043
2015-08-09,80584.452219714
2015-08-10,82231.792341679
2015-08-11,74161.196050776
2015-08-12,153478.538310413
2015-08-13,88564.72765658
2015-08-14,66965.374606175
2015-08-15,58293.196584939
2015-08-16,63010.490163934
2015-08-17,61840.339570064
2015-08-18,73680.886126704
2015-08-19,51089.043746149
2015-08-20,65845.219279201
2015-08-21,54417.139321255
2015-08-22,73465.920368818
2015-08-23,61235.877326969
2015-08-24,48145.647337545
2015-08-25,63231.53420994
2015-08-26,66946.756015399
2015-08-27,57761.677996422
2015-08-28,78960.095628415
2015-08-29,67969.137714424
2015-08-30,59008.083552056
2015-08-31,62107.144919169
2015-09-01,65036.490005822
2015-09-02,94610.502791145
2015-09-03,75695.700858279
2015-09-04,74817.92786246
2015-09-05,80608.589237181
2015-09-06,61029.529976454
2015-09-07,98839.23570677
2015-09-08,76870.874421914
2015-09-09,88612.07780157
2015-09-10,88256.762216813
2015-09-11,80771.18498452
2015-09-12,104200.185668335
2015-09-13,101494.908205382
2015-09-14,92805.725233309
2015-09-15,86522.458495101
2015-09-16,224764.566757493
2015-09-17,239496.295827124
2015-09-18,157851.639089969
2015-09-19,126168.79807877
2015-09-20,103959.501874414
2015-09-21,107658.300079302
2015-09-22,93245.445620223
2015-09-23,82955.49621826
2015-09-24,81244.901510283
2015-09-25,114924.17176551
2015-09-26,77699.262739123
2015-09-27,74118.211979167
2015-09-28,85223.617834395
2015-09-29,80239.021087487
2015-09-30,86659.262691652
2015-10-01,77383.228936303
2015-10-02,108273.791357414
2015-10-03,114280.45091623
2015-10-04,105402.246980676
2015-10-05,125814.799012582
2015-10-06,115973.145401053
2015-10-07,144777.839348406
2015-10-08,133567.027144095
2015-10-09,97631.72393908
2015-10-10,88173.863072446
2015-10-11,77185.866345675
2015-10-12,97827.523433945
2015-10-13,109555.248019947
2015-10-14,117939.687262079
2015-10-15,165702.121095553
2015-10-16,169513.092568065
2015-10-17,113810.139637582
2015-10-18,132286.151982719
2015-10-19,117475.842822532
2015-10-20,119991.108360183
2015-10-21,118361.455839534
2015-10-22,229393.556782071
2015-10-23,185026.289343786
2015-10-24,175946.548655872
2015-10-25,110228.615437393
2015-10-26,113125.288312563
2015-10-27,154257.335642689
2015-10-28,116645.14116526
2015-10-29,122381.489663093
2015-10-30,100319.565042186
2015-10-31,117327.823210269
2015-11-01,121539.953145336
2015-11-02,94831.907288808
2015-11-03,98042.660900122
2015-11-04,86266.653403439
2015-11-05,87917.396105628
2015-11-06,336370.233443289
2015-11-07,389291.5168243
2015-11-08,741865.858777089
2015-11-09,131838.526076213
2015-11-10,329854.838424733
2015-11-11,503144.06655574
2015-11-12,528050.98070065
2015-11-13,343655.563173235
2015-11-14,124566.327416447
2015-11-15,95675.590237099
2015-11-16,84210.264848159
2015-11-17,88798.511406578
2015-11-18,83557.144852841
2015-11-19,135758.378210906
2015-11-20,119260.492438563
2015-11-21,108388.757549106
2015-11-22,110846.167301991
2015-11-23,111269.3562954
2015-11-24,104753.282158837
2015-11-25,102262.04649197
2015-11-26,86269.252267106
2015-11-27,95031.817442386
2015-11-28,99741.885580167
2015-11-29,89233.314898585
2015-11-30,122979.059091921
2015-12-01,120399.855019135
2015-12-02,134075.326207321
2015-12-03,111797.194520155
2015-12-04,145795.59466512
2015-12-05,121211.325176887
2015-12-06,97471.086345161
2015-12-07,100973.321103487
2015-12-08,92057.264894729
2015-12-09,115202.417226111
2015-12-10,190826.164159054
2015-12-11,426080.286119679
2015-12-12,709792.554052407
2015-12-13,249384.498114732
2015-12-14,890603.044115756
2015-12-15,163444.570812399
2015-12-16,144544.456812888
2015-12-17,145506.772367873
2015-12-18,223987.454827281
2015-12-19,126996.122074297
2015-12-20,153016.300030367
2015-12-21,143705.666003482
2015-12-22,217244.660436582
2015-12-23,149884.261433597
2015-12-24,151770.873351119
2015-12-25,132657.948639849
2015-12-26,147835.035800858
2015-12-27,147600.746192893
2015-12-28,162455.024417853
2015-12-29,147594.259464694
2015-12-30,133762.689575964
2015-12-31,117169.793418115
2016-01-01,98612.449410907
2016-01-02,125529.573985159
2016-01-03,118816.733095701
2016-01-04,130629.372176483
2016-01-05,148403.234570907
2016-01-06,157540.32259576
2016-01-07,164344.396783692
2016-01-08,147642.543822694
2016-01-09,242111.001865513
2016-01-10,169081.837887597
2016-01-11,123371.858716607
2016-01-12,130972.737249125
2016-01-13,143991.703085197
2016-01-14,168197.663944429
2016-01-15,145862.635240506
2016-01-16,142107.504782446
2016-01-17,121357.474299785
2016-01-18,134115.860250852
2016-01-19,150147.725707899
2016-01-20,115038.456173421
2016-01-21,101536.66051798
2016-01-22,120750.572284806
2016-01-23,100331.156190476
2016-01-24,120728.835989998
2016-01-25,142708.655160329
2016-01-26,134375.222094361
2016-01-27,155397.458900091
2016-01-28,143369.661735759
2016-01-29,138266.478682525
2016-01-30,125748.266557534
2016-01-31,132917.981646195
2016-02-01,113647.738080146
2016-02-02,125419.630466727
2016-02-03,116093.369132689
2016-02-04,141501.979055041
2016-02-05,145996.924257328
2016-02-06,126662.257081928
2016-02-07,134715.609366237
2016-02-08,117056.419661662
2016-02-09,114101.603144938
2016-02-10,114406.057522898
2016-02-11,128640.508768657
2016-02-12,115093.424871611
2016-02-13,126174.523619806
2016-02-14,109986.218058229
2016-02-15,128337.438953319
2016-02-16,148101.327881931
2016-02-17,139649.546473237
2016-02-18,139903.965702163
2016-02-19,162470.325711493
2016-02-20,134035.931015915
2016-02-21,117155.655937847
2016-02-22,131662.012424409
2016-02-23,194310.699870144
2016-02-24,139643.804554759
2016-02-25,134961.117725478
2016-02-26,148846.159056389
2016-02-27,116231.439808229
2016-02-28,107607.065939254
2016-02-29,96483.943953237
2016-03-01,97102.16062081
2016-03-02,99774.944444444
2016-03-03,98077.581350405
2016-03-04,97830.098118335
2016-03-05,104968.746302784
2016-03-06,96065.368569466
2016-03-07,96222.386231791
2016-03-08,95479.207259905
2016-03-09,103303.123549293
2016-03-10,96107.162287418
2016-03-11,89001.784898806
2016-03-12,93187.083551476
2016-03-13,94819.507199488
2016-03-14,106446.706604038
2016-03-15,99718.030437605
2016-03-16,98162.65574721
2016-03-17,93159.435447795
2016-03-18,93947.53040445
2016-03-19,107910.729405676
2016-03-20,101644.413844115
2016-03-21,101682.218110793
2016-03-22,110965.331924597
2016-03-23,110062.70817341
2016-03-24,126873.133244918
2016-03-25,113905.407567597
2016-03-26,102081.568411286
2016-03-27,84963.990658571
2016-03-28,108340.446434415
2016-03-29,103482.341088014
2016-03-30,144131.54247015
2016-03-31,109757.757959019
2016-04-01,101516.253571429
2016-04-02,86858.38469923
2016-04-03,85521.735805056
2016-04-04,101651.655484573
2016-04-05,94332.229469277
2016-04-06,89485.584793316
2016-04-07,102623.045245038
2016-04-08,105155.066245222
2016-04-09,90986.848667105
2016-04-10,85672.893538481
2016-04-11,84317.352095492
2016-04-12,101072.410059701
2016-04-13,103521.657540706
2016-04-14,97557.685661712
2016-04-15,92831.641437112
2016-04-16,80635.504871568
2016-04-17,80606.924284257
2016-04-18,88268.836600722
2016-04-19,83372.713475569
2016-04-20,96759.274162215
2016-04-21,112063.648341895
2016-04-22,99155.960572006
2016-04-23,89859.14865756
2016-04-24,99309.187511015
2016-04-25,93930.800536269
2016-04-26,99722.611810202
2016-04-27,93807.858510355
2016-04-28,100668.731590135
2016-04-29,105007.52059895
2016-04-30,98839.967095632
2016-05-01,127213.825989186
2016-05-02,97389.301810865
