Date,indicators/average_dormancy_supply_adjusted
2009-01-12,8.253578100019057e-05
2009-01-14,4.881378175087391e-05
2009-01-15,5.0885903393328065e-05
2009-01-16,5.456364659051575e-05
2009-01-18,4.643598477579482e-05
2009-01-19,7.359872118235316e-05
2009-01-20,6.311260682269389e-05
2009-01-21,5.439662994398719e-05
2009-01-22,5.67406339288098e-05
2009-01-23,4.9401669590127956e-05
2009-01-24,5.658712951887297e-05
2009-01-25,1.9075913003717614e-05
2009-01-26,3.12270586372488e-05
2009-01-27,1.8237873492818354e-05
2009-01-29,2.1822143881904325e-05
2009-01-31,9.678222087555345e-05
2009-02-01,8.663654009673994e-06
2009-02-02,0.00012468365582818012
2009-02-03,2.1611497823746483e-05
2009-02-07,5.3319218672015766e-05
2009-02-08,4.427526484818153e-05
2009-02-09,3.3599220752469535e-05
2009-02-11,1.1062591830240175e-05
2009-02-15,1.8493035539413054e-05
2009-02-16,1.8459751208081987e-05
2009-02-19,1.3013612750791202e-05
2009-02-22,7.1499394364805525e-06
2009-02-27,1.896806615270493e-05
2009-02-28,1.2896183447120286e-05
2009-03-03,1.2904985974640099e-05
2009-03-04,1.1911801342778993e-05
2009-03-05,7.217343834233742e-06
2009-03-08,1.0580483671521732e-05
2009-03-12,1.0075450312305124e-05
2009-03-13,1.0011785350599483e-05
2009-03-16,2.0770766732012512e-05
2009-03-18,9.992440112229801e-06
2009-03-20,6.2144048767016665e-06
2009-03-22,1.758489334462389e-05
2009-03-26,9.402472325564512e-06
2009-03-28,1.0497495781938503e-05
2009-03-31,7.167759979095181e-06
2009-04-05,8.015327074684142e-06
2009-04-11,5.151533439860967e-06
2009-04-12,7.488260203508262e-06
2009-04-13,1.9765515146550863e-06
2009-04-18,3.056193036668562e-05
2009-04-19,1.1759745472415118e-05
2009-04-20,3.0459807242739634e-05
2009-04-21,5.908490829326153e-06
2009-04-26,6.830623970527095e-06
2009-04-29,8.346403717117644e-06
2009-05-02,9.64604594890306e-06
2009-05-03,7.693752721246083e-07
2009-05-04,5.53261895687219e-06
2009-05-05,3.768090945645241e-06
2009-05-11,2.7777853980266194e-06
2009-05-13,6.491414784336092e-06
2009-05-14,3.4976746231262913e-06
2009-05-15,1.1037463529507193e-05
2009-05-29,1.1069484446449344e-05
2009-06-01,5.1615765187994835e-05
2009-06-22,1.7100748990125674e-05
2009-06-24,4.863885441091639e-05
2009-06-25,7.700328300536598e-06
2009-06-28,1.838418506566511e-06
2009-06-29,2.145835602018222e-06
2009-06-30,1.6693786598569983e-06
2009-07-01,1.727295446593695e-06
2009-07-02,2.360469212763929e-06
2009-07-20,1.65112932056041e-05
2009-07-29,3.06956459999126e-06
2009-07-30,5.854847614941422e-06
2009-08-07,1.1839409014784057e-05
2009-08-26,1.5542512313286122e-05
2009-08-30,1.3446983177924882e-06
2009-08-31,2.0753095563658464e-06
2009-09-03,3.1813916454918943e-06
2009-09-07,2.2529957650438298e-06
2009-09-16,1.8131318432932064e-05
2009-09-17,1.0533088210934477e-05
2009-09-21,8.110801298788636e-06
2009-09-22,8.345090922922493e-06
2009-09-25,2.47637993381314e-06
2009-09-27,1.572498847495837e-06
2009-09-29,2.6170145813592656e-06
2009-10-02,3.4310112074718507e-06
2009-10-06,1.2727622983645082e-05
2009-10-12,5.204652684922814e-05
2009-10-16,4.649405944238267e-06
2009-10-18,2.178409356460646e-06
2009-10-20,1.0179463675208086e-05
2009-10-21,8.750135502847108e-06
2009-10-22,4.633550250431475e-06
2009-10-24,1.7119633470451992e-06
2009-10-27,2.0478861802712112e-06
2009-10-29,4.064414866458078e-06
2009-11-04,6.118755999050141e-06
2009-11-11,7.888845104794708e-07
2009-11-13,2.25746717942603e-06
2009-11-19,2.9355636528023284e-06
