Date,market/marketcap_realized_usd
2009-01-03,2.4755
2009-01-09,37.1325
2009-01-10,188.138
2009-01-11,418.359500000001
2009-01-12,651.056500000002
2009-01-13,955.543000000004
2009-01-14,1274.8825
2009-01-15,1586.79550000001
2009-01-16,1854.14950000001
2009-01-17,2123.97900000001
2009-01-18,2388.85750000001
2009-01-19,2673.54000000001
2009-01-20,2955.74700000001
2009-01-21,3208.24800000001
2009-01-22,3433.51850000001
2009-01-23,3641.46050000002
2009-01-24,4139.03600000001
2009-01-25,4611.85649999992
2009-01-26,4849.50449999988
2009-01-27,5089.62799999984
2009-01-28,5366.88399999979
2009-01-29,5666.41949999974
2009-01-30,5956.05299999968
2009-01-31,6297.67199999962
2009-02-01,6577.40349999957
2009-02-02,6894.26749999952
2009-02-03,7238.36199999946
2009-02-04,7532.9464999994
2009-02-05,7844.85949999935
2009-02-06,8146.87049999929
2009-02-07,8466.20999999934
2009-02-08,8792.9759999994
2009-02-09,9124.69299999946
2009-02-10,9421.75299999952
2009-02-11,9750.99449999958
2009-02-12,10045.5789999996
2009-02-13,10352.5409999997
2009-02-14,10689.2089999998
2009-02-15,11006.0729999998
2009-02-16,11308.0839999999
2009-02-17,11597.7174999999
2009-02-18,11889.8265
2009-02-19,12196.7885
2009-02-20,12498.7995000001
2009-02-21,12781.0065000001
2009-02-22,13080.5420000002
2009-02-23,13347.8960000003
2009-02-24,13610.2990000003
2009-02-25,13870.2265000004
2009-02-26,14135.1050000004
2009-02-27,14419.7875000005
2009-02-28,14664.8620000005
2009-03-01,14924.7895000006
2009-03-02,15192.1435000006
2009-03-03,15452.0710000007
2009-03-04,15709.5230000007
2009-03-05,15986.7790000008
2009-03-06,16276.4125000008
2009-03-07,16546.2420000009
2009-03-08,16830.9245000009
2009-03-09,17098.278500001
2009-03-10,17363.157000001
2009-03-11,17645.3640000011
2009-03-12,17937.4730000011
2009-03-13,18217.2045000012
2009-03-14,18489.5095000012
2009-03-15,18793.9960000013
2009-03-16,19093.5315000013
2009-03-17,19375.7385000014
2009-03-18,19657.9455000014
2009-03-19,19959.9565000015
2009-03-20,20252.0655000016
2009-03-21,20375.8405000016
2009-03-22,20670.4250000016
2009-03-23,20992.2400000017
2009-03-24,21252.1675000017
2009-03-25,21541.8010000018
2009-03-26,21831.4345000019
2009-03-27,22093.8375000019
2009-03-28,22388.422000002
2009-03-29,22675.580000002
2009-03-30,22972.6400000021
2009-03-31,23244.9450000021
2009-04-01,23527.1520000022
2009-04-02,23811.8345000022
2009-04-03,24098.9925000023
2009-04-04,24378.7240000023
2009-04-05,24700.5390000024
2009-04-06,24970.3685000024
2009-04-07,25217.9185000025
2009-04-08,25477.8460000025
2009-04-09,25722.9205000026
2009-04-10,25990.2745000026
2009-04-11,26287.3345000027
2009-04-12,26579.4435000027
2009-04-13,26864.1260000028
2009-04-14,27171.0880000029
2009-04-15,27450.8195000029
2009-04-16,27755.306000003
2009-04-17,28032.562000003
2009-04-18,28344.4750000031
2009-04-19,28639.0595000031
2009-04-20,28933.6440000032
2009-04-21,29238.1305000032
2009-04-22,29537.6660000033
2009-04-23,29723.3285000033
2009-04-24,30008.0110000034
2009-04-25,30300.1200000034
2009-04-26,30577.3760000035
2009-04-27,30834.8280000035
2009-04-28,31124.4615000036
2009-04-29,31441.3255000037
2009-04-30,31765.6160000037
2009-05-01,32065.1515000038
2009-05-02,32377.0645000038
2009-05-03,32639.4675000039
2009-05-04,32956.3315000039
2009-05-05,33290.524000004
2009-05-06,33624.7165000041
2009-05-07,33924.2520000041
2009-05-08,34191.6060000042
2009-05-09,34384.6950000042
2009-05-10,34595.1125000043
2009-05-11,34892.1725000043
2009-05-12,35213.9875000044
2009-05-13,35488.7680000044
2009-05-14,35832.8625000045
2009-05-15,36169.5305000045
2009-05-16,36464.1150000046
2009-05-17,36778.5035000047
2009-05-18,37070.6125000047
2009-05-19,37283.5055000048
2009-05-20,37580.5655000048
2009-05-21,37783.5565000049
2009-05-22,37934.5620000049
2009-05-23,38013.7780000049
2009-05-24,38261.3280000049
2009-05-25,38531.157500005
2009-05-26,38840.5950000051
2009-05-27,39135.1795000051
2009-05-28,39370.3520000052
2009-05-29,39632.7550000052
2009-05-30,39902.5845000053
2009-05-31,40140.2325000053
2009-06-01,40315.9930000053
2009-06-02,40590.7735000054
2009-06-03,40766.5340000054
2009-06-04,40929.9170000054
2009-06-05,41004.1820000055
2009-06-06,41073.4960000055
2009-06-07,41113.1040000055
2009-06-08,41316.0950000055
2009-06-09,41541.3655000056
2009-06-10,41744.3565000056
2009-06-11,41964.6760000056
2009-06-12,42177.5690000057
2009-06-13,42370.6580000057
2009-06-14,42548.8940000057
2009-06-15,42756.8360000058
2009-06-16,42932.5965000058
2009-06-17,43128.1610000059
2009-06-18,43326.2010000059
2009-06-19,43541.5695000059
2009-06-20,43734.658500006
2009-06-21,43935.174000006
2009-06-22,44123.312000006
2009-06-23,44311.4500000061
