Date,mining/hash_rate_mean
2015-07-30,19107582359.6007
2015-07-31,46799991645.4346
2015-08-01,54214323540.1988
2015-08-02,63155175045.3328
2015-08-03,68760578661.1602
2015-08-04,75456246198.9683
2015-08-05,80361131461.383
2015-08-06,81664303806.8326
2015-08-07,88270488838.6036
2015-08-08,96449849792.7479
2015-08-09,101396920722.077
2015-08-10,111643071601.253
2015-08-11,124075704134.252
2015-08-12,130892997332.715
2015-08-13,142846542586.419
2015-08-14,177180146081.296
2015-08-15,210273663901.635
2015-08-16,214978134556.6
2015-08-17,241380632162.915
2015-08-18,250647826221.543
2015-08-19,265479542999.799
2015-08-20,208573382733.736
2015-08-21,260002308095.795
2015-08-22,294127490360.094
2015-08-23,297962937481.056
2015-08-24,310719456072.154
2015-08-25,304941030619.328
2015-08-26,323405173074.526
2015-08-27,322865699790.857
2015-08-28,336600560840.108
2015-08-29,333683219981.344
2015-08-30,325988972620.197
2015-08-31,343940678922.416
2015-09-01,348221383736.916
2015-09-02,342955046043.434
2015-09-03,325737135325.491
2015-09-04,332985537862.227
2015-09-05,354872629722.631
2015-09-06,363256531258.943
2015-09-07,354549244570.555
2015-09-08,346233102384.159
2015-09-09,361416162850.036
2015-09-10,364173374024.847
2015-09-11,390448600509.169
2015-09-12,397079110994.839
2015-09-13,404027987626.15
2015-09-14,371887518180.468
2015-09-15,359733463886.929
2015-09-16,354412670056.102
2015-09-17,335711481733.079
2015-09-18,319866968379.81
2015-09-19,325800606677.176
2015-09-20,380624612191.786
2015-09-21,384180681679.458
2015-09-22,387123780748.238
2015-09-23,412109046719.915
2015-09-24,408438815507.653
2015-09-25,413679736106.594
2015-09-26,412404556877.68
2015-09-27,400597913043.024
2015-09-28,369654848004.298
2015-09-29,324978993332.389
2015-09-30,309540652844.151
2015-10-01,340489973619.636
2015-10-02,355844626363.941
2015-10-03,369577408369.808
2015-10-04,350945872152.694
2015-10-05,364272534122.82
2015-10-06,348909348855.123
2015-10-07,346520471658.751
2015-10-08,356370131812.326
2015-10-09,347475085739.297
2015-10-10,341889928978.859
2015-10-11,360444554729.875
2015-10-12,366132726170.546
2015-10-13,375741659870.74
2015-10-14,370055355383.595
2015-10-15,353881909529.648
2015-10-16,328810866398.081
2015-10-17,351361089121.509
2015-10-18,341853814178.031
2015-10-19,340958781576.628
2015-10-20,336974457676.335
2015-10-21,339309075117.105
2015-10-22,320892344436.404
2015-10-23,357731417618.451
2015-10-24,376232538750.55
2015-10-25,388634160050.171
2015-10-26,371467745619.802
2015-10-27,394753698464.326
2015-10-28,393363859347.273
2015-10-29,420144612318.767
2015-10-30,449644121306.679
2015-10-31,462390375678.877
2015-11-01,464372588459.855
2015-11-02,446880995024.904
2015-11-03,431335333652.44
2015-11-04,459253661322.561
2015-11-05,447759424560.094
2015-11-06,451655488115.17
2015-11-07,430137113949.846
2015-11-08,447797932551.71
2015-11-09,450878525534.431
2015-11-10,453764414101.155
2015-11-11,446469499914.739
2015-11-12,455167950152.425
2015-11-13,466083861197.431
2015-11-14,469489457759.978
2015-11-15,496516711496.94
2015-11-16,485350413785.741
2015-11-17,487004938873.468
2015-11-18,501916514725.147
2015-11-19,507258049551.239
2015-11-20,435273646545.898
2015-11-21,442803104517.93
2015-11-22,440241076305.023
2015-11-23,445647654113.841
2015-11-24,443563495586.866
2015-11-25,429662935488.236
2015-11-26,428481846144.268
2015-11-27,447187939032.675
2015-11-28,447539756341.36
2015-11-29,451171938513.572
2015-11-30,457568169864.743
2015-12-01,462784726705.663
2015-12-02,436033830531.007
2015-12-03,456886925657.693
2015-12-04,453901263953.873
2015-12-05,473034947942.571
2015-12-06,446408747951.662
2015-12-07,439992011786.097
2015-12-08,428636955142.14
2015-12-09,442705077303.937
2015-12-10,462821178526.538
2015-12-11,471987005288.134
2015-12-12,472492826792.84
2015-12-13,517663747655.847
2015-12-14,496272808413.52
2015-12-15,514248800515.948
2015-12-16,493823295935.535
2015-12-17,511450561029.958
2015-12-18,510045257308.005
2015-12-19,508206214024.377
2015-12-20,488933255497.539
2015-12-21,490352726259.798
2015-12-22,518581309816.655
2015-12-23,504720541520.468
2015-12-24,497409736991.628
2015-12-25,502504742553.491
2015-12-26,489393674489.842
2015-12-27,498813183791.087
2015-12-28,501391041188.974
2015-12-29,495915294555.074
2015-12-30,493085040973.387
2015-12-31,498185059158.719
2016-01-01,483146737803.456
2016-01-02,480570757251.188
2016-01-03,493841843786.117
2016-01-04,491178701739.228
2016-01-05,492699537663.071
2016-01-06,495954801382.63
2016-01-07,473114572208.916
2016-01-08,497219883977.125
2016-01-09,497444348472.355
2016-01-10,491487344559.202
2016-01-11,521244492061.218
2016-01-12,507062463477.728
2016-01-13,491192812089.854
2016-01-14,514373324045.329
2016-01-15,529144998023.854
2016-01-16,537270349044.268
2016-01-17,528315777888.758
2016-01-18,555119989665.917
2016-01-19,548764650768.01
2016-01-20,548847439780.703
2016-01-21,551234113320.587
2016-01-22,573292978976.024
2016-01-23,573454941556.911
2016-01-24,605351827249.734
2016-01-25,583651395499.166
2016-01-26,632657694606.807
2016-01-27,623953319360.021
2016-01-28,611672644920.882
2016-01-29,627275937328.687
2016-01-30,631328870296.118
2016-01-31,603213673889.342
2016-02-01,633701606958.144
2016-02-02,611654698495.618
2016-02-03,652814909716.255
2016-02-04,650820913525.013
2016-02-05,652668929515.163
2016-02-06,627249509998.634
2016-02-07,650154771195.644
2016-02-08,677146155598.835
2016-02-09,658040084314.776
2016-02-10,668735727240.027
2016-02-11,696786399096.858
2016-02-12,672574478346.124
2016-02-13,712689177617.338
2016-02-14,721498640763.999
2016-02-15,741058722988.967
2016-02-16,738332185091.311
2016-02-17,714848930939.545
2016-02-18,704824841219.741
2016-02-19,736779414800.902
2016-02-20,748841498916.51
2016-02-21,758044434793.575
2016-02-22,793015312798.94
2016-02-23,792457058660.897
2016-02-24,792648621325.361
2016-02-25,805314992344.29
