Date,mining/thermocap
2010-07-18,170820.08148416306
2010-07-19,171609.96583198916
2010-07-20,172330.08303646787
2010-07-21,173058.04787949112
2010-07-22,173656.53933341094
2010-07-23,174271.4226316889
2010-07-24,174812.22836029853
2010-07-25,175476.95557427232
2010-07-26,176087.52043913718
2010-07-27,176578.12804868334
2010-07-28,177036.90153967432
2010-07-29,177575.10456141346
2010-07-30,178163.21805335893
2010-07-31,178815.59859178105
2010-08-01,179546.1280074437
2010-08-02,180290.21858780086
2010-08-03,180990.0262218722
2010-08-04,181721.94771684706
2010-08-05,182376.2214068034
2010-08-06,182832.16745830554
2010-08-07,183303.51643832063
2010-08-08,183896.26938204357
2010-08-09,184504.260279222
2010-08-10,185159.37955412435
2010-08-11,185971.23992854275
2010-08-12,186679.10716025007
2010-08-13,187392.80400895557
2010-08-14,188330.51174301884
2010-08-15,189020.4062357461
2010-08-16,189502.9892591201
2010-08-17,189926.5357760425
2010-08-18,190396.68791900546
2010-08-19,190852.5041207222
2010-08-20,191488.4675501828
2010-08-21,192053.58266170695
2010-08-22,192722.94572317268
2010-08-23,193418.06621847342
2010-08-24,194123.6779928987
2010-08-25,194824.09706606943
2010-08-26,195500.5303419315
2010-08-27,196049.07211367064
2010-08-28,196599.2756171362
2010-08-29,197119.4527501834
2010-08-30,197587.23027785867
2010-08-31,198170.20923023962
2010-09-01,198648.71417136086
2010-09-02,199122.60246226995
2010-09-03,199633.99341226995
2010-09-04,200188.8805556266
2010-09-05,200701.88085804594
2010-09-06,201189.66276713685
2010-09-07,201680.8740218897
2010-09-08,202184.14337615512
2010-09-09,202599.0056603278
2010-09-10,203133.43366383656
2010-09-11,203631.59933050323
2010-09-12,204178.14701050322
2010-09-13,204705.7966345908
2010-09-14,205347.32280751533
2010-09-15,205865.58064862643
2010-09-16,206542.29064862643
2010-09-17,207172.54618389613
2010-09-18,207884.51509566084
2010-09-19,208527.47747066084
2010-09-20,209162.08990816085
2010-09-21,209704.02846371641
2010-09-22,210244.78433079715
2010-09-23,210972.24161786938
2010-09-24,211682.01598150574
2010-09-25,212323.3393969987
2010-09-26,212959.57398033203
2010-09-27,213670.62646023152
2010-09-28,214327.0507329588
2010-09-29,214834.37780130413
2010-09-30,215285.5039904933
2010-10-01,215762.4539682711
2010-10-02,216069.97126899572
2010-10-03,216443.9218314063
2010-10-04,216911.73684433734
2010-10-05,217298.96739906174
2010-10-06,217832.93802264254
2010-10-07,218341.0085559759
2010-10-08,218926.0282259759
2010-10-09,219592.80509308985
2010-10-10,220423.82107957004
