Date,transactions/transfers_from_exchanges_count
2011-08-17,0.0
2011-08-18,1.0
2011-08-19,0.0
2011-08-20,2.0
2011-08-21,0.0
2011-08-22,2.0
2011-08-23,1.0
2011-08-24,0.0
2011-08-25,2.0
2011-08-26,0.0
2011-08-27,0.0
2011-08-28,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-03,0.0
2011-09-04,1.0
2011-09-05,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-10,0.0
2011-09-11,0.0
2011-09-12,1.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-17,0.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,2.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,0.0
2011-09-26,0.0
2011-09-27,1.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,2.0
2011-10-07,1.0
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,1.0
2011-10-11,2.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,1.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,3.0
2011-10-27,1.0
2011-10-28,0.0
2011-10-29,2.0
2011-10-30,0.0
2011-10-31,1.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,1.0
2011-11-05,2.0
2011-11-06,1.0
2011-11-07,1.0
2011-11-08,1.0
2011-11-09,0.0
2011-11-10,5.0
2011-11-11,0.0
2011-11-12,1.0
2011-11-13,0.0
2011-11-14,2.0
2011-11-15,8.0
2011-11-16,9.0
2011-11-17,1.0
2011-11-18,1.0
2011-11-19,0.0
2011-11-20,5.0
2011-11-21,4.0
2011-11-22,6.0
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,4.0
2011-11-26,2.0
2011-11-27,2.0
2011-11-28,2.0
2011-11-29,6.0
2011-11-30,4.0
2011-12-01,3.0
2011-12-02,2.0
2011-12-03,0.0
2011-12-04,2.0
2011-12-05,3.0
2011-12-06,4.0
2011-12-07,5.0
2011-12-08,1.0
2011-12-09,1.0
2011-12-10,2.0
2011-12-11,4.0
2011-12-12,5.0
2011-12-13,3.0
2011-12-14,8.0
2011-12-15,4.0
2011-12-16,1.0
2011-12-17,0.0
2011-12-18,3.0
2011-12-19,2.0
2011-12-20,5.0
2011-12-21,3.0
2011-12-22,4.0
2011-12-23,3.0
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,1.0
2011-12-27,3.0
2011-12-28,4.0
2011-12-29,4.0
2011-12-30,3.0
2011-12-31,2.0
2012-01-01,2.0
2012-01-02,2.0
2012-01-03,4.0
2012-01-04,3.0
2012-01-05,5.0
2012-01-06,3.0
2012-01-07,1.0
2012-01-08,0.0
2012-01-09,3.0
2012-01-10,7.0
2012-01-11,8.0
2012-01-12,5.0
2012-01-13,8.0
2012-01-14,0.0
2012-01-15,3.0
2012-01-16,5.0
2012-01-17,2.0
2012-01-18,8.0
2012-01-19,2.0
2012-01-20,4.0
2012-01-21,0.0
2012-01-22,2.0
2012-01-23,4.0
2012-01-24,2.0
2012-01-25,2.0
2012-01-26,5.0
2012-01-27,5.0
2012-01-28,0.0
2012-01-29,2.0
2012-01-30,5.0
2012-01-31,6.0
2012-02-01,4.0
2012-02-02,24.0
2012-02-03,8.0
2012-02-04,4.0
2012-02-05,5.0
2012-02-06,4.0
2012-02-07,5.0
2012-02-08,1.0
2012-02-09,5.0
2012-02-10,10.0
2012-02-11,3.0
2012-02-12,4.0
2012-02-13,5.0
2012-02-14,12.0
2012-02-15,4.0
2012-02-16,11.0
2012-02-17,12.0
2012-02-18,5.0
2012-02-19,2.0
2012-02-20,6.0
2012-02-21,16.0
2012-02-22,4.0
2012-02-23,8.0
2012-02-24,5.0
2012-02-25,5.0
2012-02-26,9.0
2012-02-27,12.0
2012-02-28,12.0
2012-02-29,5.0
2012-03-01,4.0
2012-03-02,4.0
2012-03-03,4.0
2012-03-04,5.0
2012-03-05,11.0
2012-03-06,6.0
2012-03-07,17.0
2012-03-08,9.0
2012-03-09,4.0
2012-03-10,3.0
2012-03-11,4.0
2012-03-12,10.0
2012-03-13,17.0
2012-03-14,5.0
2012-03-15,8.0
2012-03-16,5.0
2012-03-17,9.0
2012-03-18,7.0
2012-03-19,3.0
2012-03-20,15.0
2012-03-21,1.0
2012-03-22,9.0
2012-03-23,3.0
2012-03-24,1.0
2012-03-25,3.0
2012-03-26,9.0
2012-03-27,15.0
2012-03-28,10.0
2012-03-29,3.0
2012-03-30,9.0
2012-03-31,6.0
2012-04-01,3.0
2012-04-02,34.0
2012-04-03,17.0
2012-04-04,12.0
2012-04-05,11.0
2012-04-06,126.0
2012-04-07,8.0
2012-04-08,8.0
2012-04-09,4.0
2012-04-10,8.0
2012-04-11,18.0
2012-04-12,19.0
2012-04-13,11.0
2012-04-14,17.0
2012-04-15,0.0
2012-04-16,14.0
2012-04-17,16.0
2012-04-18,16.0
2012-04-19,22.0
2012-04-20,14.0
2012-04-21,10.0
2012-04-22,5.0
2012-04-23,9.0
2012-04-24,29.0
2012-04-25,15.0
2012-04-26,23.0
2012-04-27,8.0
2012-04-28,3.0
2012-04-29,2.0
2012-04-30,14.0
2012-05-01,15.0
2012-05-02,5.0
2012-05-03,21.0
2012-05-04,15.0
2012-05-05,11.0
2012-05-06,7.0
2012-05-07,16.0
2012-05-08,22.0
2012-05-09,12.0
2012-05-10,16.0
2012-05-11,22.0
2012-05-12,5.0
2012-05-13,9.0
2012-05-14,11.0
2012-05-15,11.0
2012-05-16,18.0
2012-05-17,16.0
2012-05-18,22.0
2012-05-19,4.0
2012-05-20,7.0
2012-05-21,12.0
2012-05-22,15.0
2012-05-23,17.0
2012-05-24,12.0
2012-05-25,8.0
2012-05-26,7.0
2012-05-27,10.0
2012-05-28,3.0
2012-05-29,22.0
2012-05-30,19.0
2012-05-31,8.0
2012-06-01,12.0
2012-06-02,6.0
2012-06-03,8.0
2012-06-04,14.0
2012-06-05,24.0
2012-06-06,24.0
2012-06-07,26.0
2012-06-08,21.0
2012-06-09,12.0
2012-06-10,6.0
2012-06-11,16.0
2012-06-12,19.0
2012-06-13,36.0
2012-06-14,29.0
2012-06-15,23.0
2012-06-16,9.0
2012-06-17,10.0
2012-06-18,20.0
2012-06-19,20.0
2012-06-20,15.0
2012-06-21,12.0
2012-06-22,20.0
2012-06-23,17.0
2012-06-24,8.0
2012-06-25,29.0
2012-06-26,51.0
2012-06-27,33.0
2012-06-28,26.0
2012-06-29,20.0
2012-06-30,8.0
2012-07-01,8.0
2012-07-02,33.0
2012-07-03,23.0
2012-07-04,26.0
2012-07-05,23.0
2012-07-06,23.0
2012-07-07,23.0
2012-07-08,28.0
2012-07-09,29.0
2012-07-10,37.0
2012-07-11,28.0
2012-07-12,37.0
2012-07-13,44.0
2012-07-14,15.0
2012-07-15,7.0
2012-07-16,45.0
2012-07-17,47.0
2012-07-18,62.0
2012-07-19,30.0
2012-07-20,28.0
2012-07-21,16.0
2012-07-22,24.0
2012-07-23,30.0
2012-07-24,33.0
2012-07-25,40.0
2012-07-26,27.0
2012-07-27,32.0
2012-07-28,19.0
2012-07-29,16.0
2012-07-30,27.0
2012-07-31,22.0
2012-08-01,44.0
2012-08-02,49.0
2012-08-03,41.0
2012-08-04,30.0
2012-08-05,22.0
2012-08-06,42.0
2012-08-07,24.0
2012-08-08,41.0
2012-08-09,44.0
2012-08-10,39.0
2012-08-11,16.0
2012-08-12,22.0
2012-08-13,37.0
2012-08-14,40.0
2012-08-15,22.0
2012-08-16,54.0
2012-08-17,71.0
2012-08-18,55.0
2012-08-19,48.0
2012-08-20,31.0
2012-08-21,56.0
2012-08-22,51.0
2012-08-23,40.0
2012-08-24,48.0
2012-08-25,31.0
2012-08-26,29.0
2012-08-27,67.0
2012-08-28,50.0
2012-08-29,40.0
2012-08-30,33.0
2012-08-31,49.0
2012-09-01,34.0
2012-09-02,27.0
2012-09-03,44.0
2012-09-04,56.0
2012-09-05,49.0
2012-09-06,60.0
2012-09-07,50.0
2012-09-08,35.0
2012-09-09,30.0
2012-09-10,33.0
2012-09-11,75.0
2012-09-12,35.0
2012-09-13,42.0
2012-09-14,36.0
2012-09-15,27.0
2012-09-16,32.0
2012-09-17,31.0
2012-09-18,64.0
2012-09-19,58.0
2012-09-20,40.0
2012-09-21,43.0
2012-09-22,28.0
2012-09-23,48.0
2012-09-24,69.0
2012-09-25,42.0
2012-09-26,47.0
2012-09-27,53.0
2012-09-28,47.0
2012-09-29,26.0
2012-09-30,15.0
2012-10-01,32.0
2012-10-02,57.0
2012-10-03,48.0
2012-10-04,62.0
2012-10-05,61.0
2012-10-06,37.0
2012-10-07,37.0
2012-10-08,51.0
2012-10-09,67.0
2012-10-10,53.0
2012-10-11,67.0
2012-10-12,62.0
2012-10-13,42.0
2012-10-14,34.0
2012-10-15,74.0
2012-10-16,45.0
2012-10-17,55.0
2012-10-18,65.0
2012-10-19,56.0
2012-10-20,15.0
2012-10-21,33.0
2012-10-22,55.0
2012-10-23,75.0
2012-10-24,71.0
2012-10-25,55.0
2012-10-26,49.0
2012-10-27,35.0
2012-10-28,39.0
2012-10-29,76.0
2012-10-30,67.0
2012-10-31,100.0
2012-11-01,54.0
2012-11-02,73.0
2012-11-03,54.0
2012-11-04,49.0
2012-11-05,72.0
2012-11-06,62.0
2012-11-07,93.0
2012-11-08,71.0
2012-11-09,55.0
2012-11-10,31.0
2012-11-11,17.0
2012-11-12,41.0
2012-11-13,56.0
2012-11-14,39.0
2012-11-15,77.0
2012-11-16,103.0
2012-11-17,37.0
2012-11-18,32.0
2012-11-19,84.0
2012-11-20,63.0
2012-11-21,50.0
2012-11-22,115.0
2012-11-23,60.0
2012-11-24,49.0
2012-11-25,37.0
2012-11-26,80.0
2012-11-27,69.0
2012-11-28,70.0
2012-11-29,77.0
2012-11-30,76.0
2012-12-01,33.0
2012-12-02,29.0
2012-12-03,72.0
2012-12-04,84.0
2012-12-05,82.0
2012-12-06,76.0
2012-12-07,84.0
2012-12-08,38.0
2012-12-09,35.0
2012-12-10,53.0
2012-12-11,74.0
2012-12-12,77.0
2012-12-13,76.0
2012-12-14,71.0
2012-12-15,33.0
2012-12-16,33.0
2012-12-17,80.0
2012-12-18,92.0
2012-12-19,83.0
2012-12-20,50.0
2012-12-21,42.0
2012-12-22,36.0
2012-12-23,36.0
2012-12-24,48.0
2012-12-25,33.0
2012-12-26,39.0
2012-12-27,70.0
2012-12-28,67.0
2012-12-29,40.0
2012-12-30,38.0
2012-12-31,42.0
2013-01-01,43.0
2013-01-02,60.0
2013-01-03,53.0
2013-01-04,72.0
2013-01-05,53.0
2013-01-06,35.0
2013-01-07,80.0
2013-01-08,76.0
2013-01-09,67.0
2013-01-10,65.0
2013-01-11,87.0
2013-01-12,52.0
2013-01-13,41.0
2013-01-14,57.0
2013-01-15,96.0
2013-01-16,92.0
2013-01-17,83.0
2013-01-18,94.0
2013-01-19,55.0
2013-01-20,74.0
2013-01-21,107.0
2013-01-22,84.0
2013-01-23,125.0
2013-01-24,115.0
2013-01-25,103.0
2013-01-26,48.0
2013-01-27,60.0
2013-01-28,91.0
2013-01-29,97.0
2013-01-30,101.0
2013-01-31,74.0
2013-02-01,129.0
2013-02-02,72.0
2013-02-03,55.0
2013-02-04,77.0
2013-02-05,95.0
2013-02-06,86.0
2013-02-07,84.0
2013-02-08,88.0
2013-02-09,72.0
2013-02-10,78.0
2013-02-11,104.0
2013-02-12,103.0
2013-02-13,107.0
2013-02-14,153.0
2013-02-15,106.0
2013-02-16,129.0
2013-02-17,119.0
2013-02-18,145.0
2013-02-19,166.0
2013-02-20,137.0
2013-02-21,127.0
2013-02-22,155.0
2013-02-23,94.0
2013-02-24,89.0
2013-02-25,76.0
2013-02-26,147.0
2013-02-27,155.0
2013-02-28,205.0
2013-03-01,156.0
2013-03-02,127.0
2013-03-03,127.0
2013-03-04,161.0
2013-03-05,246.0
2013-03-06,305.0
2013-03-07,340.0
2013-03-08,193.0
2013-03-09,217.0
2013-03-10,138.0
2013-03-11,142.0
2013-03-12,288.0
2013-03-13,256.0
2013-03-14,236.0
2013-03-15,162.0
2013-03-16,121.0
2013-03-17,111.0
2013-03-18,166.0
2013-03-19,316.0
2013-03-20,299.0
2013-03-21,298.0
2013-03-22,323.0
2013-03-23,221.0
2013-03-24,205.0
2013-03-25,215.0
2013-03-26,322.0
2013-03-27,340.0
2013-03-28,389.0
2013-03-29,290.0
2013-03-30,210.0
2013-03-31,159.0
2013-04-01,244.0
2013-04-02,384.0
2013-04-03,430.0
2013-04-04,394.0
2013-04-05,402.0
2013-04-06,246.0
2013-04-07,237.0
2013-04-08,551.0
2013-04-09,657.0
2013-04-10,712.0
2013-04-11,951.0
2013-04-12,813.0
2013-04-13,461.0
2013-04-14,317.0
2013-04-15,557.0
2013-04-16,797.0
2013-04-17,609.0
2013-04-18,468.0
2013-04-19,638.0
2013-04-20,333.0
2013-04-21,429.0
2013-04-22,503.0
2013-04-23,588.0
2013-04-24,633.0
2013-04-25,492.0
2013-04-26,495.0
2013-04-27,462.0
2013-04-28,335.0
2013-04-29,405.0
2013-04-30,348.0
2013-05-01,553.0
2013-05-02,444.0
2013-05-03,528.0
2013-05-04,359.0
2013-05-05,362.0
2013-05-06,432.0
2013-05-07,406.0
2013-05-08,362.0
2013-05-09,372.0
2013-05-10,431.0
2013-05-11,381.0
2013-05-12,234.0
2013-05-13,307.0
2013-05-14,367.0
2013-05-15,564.0
2013-05-16,455.0
2013-05-17,511.0
2013-05-18,436.0
2013-05-19,291.0
2013-05-20,340.0
2013-05-21,402.0
2013-05-22,460.0
2013-05-23,571.0
2013-05-24,470.0
2013-05-25,321.0
2013-05-26,265.0
2013-05-27,380.0
2013-05-28,386.0
2013-05-29,372.0
2013-05-30,354.0
2013-05-31,334.0
2013-06-01,317.0
2013-06-02,406.0
2013-06-03,387.0
2013-06-04,372.0
2013-06-05,320.0
2013-06-06,339.0
2013-06-07,466.0
2013-06-08,266.0
2013-06-09,446.0
2013-06-10,399.0
2013-06-11,523.0
2013-06-12,390.0
2013-06-13,305.0
2013-06-14,332.0
2013-06-15,199.0
2013-06-16,237.0
2013-06-17,267.0
2013-06-18,337.0
2013-06-19,346.0
2013-06-20,326.0
2013-06-21,441.0
2013-06-22,230.0
2013-06-23,238.0
2013-06-24,387.0
2013-06-25,311.0
2013-06-26,328.0
2013-06-27,330.0
2013-06-28,308.0
2013-06-29,181.0
2013-06-30,198.0
2013-07-01,442.0
2013-07-02,368.0
2013-07-03,439.0
2013-07-04,449.0
2013-07-05,374.0
2013-07-06,337.0
2013-07-07,232.0
2013-07-08,327.0
2013-07-09,411.0
2013-07-10,473.0
2013-07-11,485.0
2013-07-12,459.0
2013-07-13,297.0
2013-07-14,267.0
2013-07-15,407.0
2013-07-16,423.0
2013-07-17,405.0
2013-07-18,419.0
2013-07-19,393.0
2013-07-20,214.0
2013-07-21,273.0
2013-07-22,387.0
2013-07-23,368.0
2013-07-24,406.0
2013-07-25,453.0
2013-07-26,406.0
2013-07-27,294.0
2013-07-28,238.0
2013-07-29,482.0
2013-07-30,463.0
2013-07-31,502.0
2013-08-01,465.0
2013-08-02,426.0
2013-08-03,274.0
2013-08-04,217.0
2013-08-05,425.0
2013-08-06,443.0
2013-08-07,358.0
2013-08-08,413.0
2013-08-09,341.0
2013-08-10,302.0
2013-08-11,293.0
2013-08-12,304.0
2013-08-13,450.0
2013-08-14,568.0
2013-08-15,406.0
2013-08-16,413.0
2013-08-17,384.0
2013-08-18,260.0
2013-08-19,524.0
2013-08-20,604.0
2013-08-21,600.0
2013-08-22,638.0
2013-08-23,534.0
2013-08-24,374.0
2013-08-25,344.0
2013-08-26,449.0
2013-08-27,655.0
2013-08-28,583.0
2013-08-29,483.0
2013-08-30,689.0
2013-08-31,490.0
2013-09-01,287.0
2013-09-02,441.0
2013-09-03,638.0
2013-09-04,738.0
2013-09-05,708.0
2013-09-06,665.0
2013-09-07,397.0
2013-09-08,313.0
2013-09-09,466.0
2013-09-10,631.0
2013-09-11,745.0
2013-09-12,617.0
2013-09-13,607.0
2013-09-14,316.0
2013-09-15,412.0
2013-09-16,506.0
2013-09-17,603.0
2013-09-18,688.0
2013-09-19,600.0
2013-09-20,439.0
2013-09-21,307.0
2013-09-22,345.0
2013-09-23,532.0
2013-09-24,642.0
2013-09-25,556.0
2013-09-26,580.0
2013-09-27,544.0
2013-09-28,402.0
2013-09-29,441.0
2013-09-30,591.0
2013-10-01,590.0
2013-10-02,595.0
2013-10-03,509.0
2013-10-04,336.0
2013-10-05,334.0
2013-10-06,333.0
2013-10-07,455.0
2013-10-08,513.0
2013-10-09,502.0
2013-10-10,633.0
2013-10-11,549.0
2013-10-12,420.0
2013-10-13,424.0
2013-10-14,672.0
2013-10-15,630.0
2013-10-16,635.0
2013-10-17,541.0
2013-10-18,642.0
2013-10-19,738.0
2013-10-20,573.0
2013-10-21,781.0
2013-10-22,2052.0
2013-10-23,1013.0
2013-10-24,1081.0
2013-10-25,835.0
2013-10-26,475.0
2013-10-27,474.0
2013-10-28,786.0
2013-10-29,703.0
2013-10-30,625.0
2013-10-31,1096.0
2013-11-01,670.0
2013-11-02,596.0
2013-11-03,590.0
2013-11-04,980.0
2013-11-05,1216.0
2013-11-06,1235.0
2013-11-07,1537.0
2013-11-08,1309.0
2013-11-09,1217.0
2013-11-10,1144.0
2013-11-11,1135.0
2013-11-12,1328.0
2013-11-13,1495.0
2013-11-14,1630.0
2013-11-15,1366.0
2013-11-16,1047.0
2013-11-17,1169.0
2013-11-18,2236.0
2013-11-19,1971.0
2013-11-20,1923.0
2013-11-21,2130.0
2013-11-22,1904.0
2013-11-23,1743.0
2013-11-24,1354.0
2013-11-25,1819.0
2013-11-26,2151.0
2013-11-27,2659.0
2013-11-28,2668.0
2013-11-29,2485.0
2013-11-30,2031.0
2013-12-01,2123.0
2013-12-02,2034.0
2013-12-03,1890.0
2013-12-04,2059.0
2013-12-05,2423.0
2013-12-06,1922.0
2013-12-07,2647.0
2013-12-08,1490.0
2013-12-09,1766.0
2013-12-10,1796.0
2013-12-11,1917.0
2013-12-12,1493.0
2013-12-13,1476.0
2013-12-14,1127.0
2013-12-15,1112.0
2013-12-16,2447.0
2013-12-17,2500.0
2013-12-18,3705.0
2013-12-19,2743.0
2013-12-20,1890.0
2013-12-21,1339.0
2013-12-22,1326.0
2013-12-23,1522.0
2013-12-24,1379.0
2013-12-25,1108.0
2013-12-26,1578.0
2013-12-27,1655.0
2013-12-28,1248.0
2013-12-29,1164.0
2013-12-30,1314.0
2013-12-31,1265.0
2014-01-01,1050.0
2014-01-02,1631.0
2014-01-03,1835.0
2014-01-04,1432.0
2014-01-05,1700.0
2014-01-06,1971.0
2014-01-07,1720.0
2014-01-08,1997.0
2014-01-09,1872.0
2014-01-10,1344.0
2014-01-11,1526.0
2014-01-12,1235.0
2014-01-13,1462.0
2014-01-14,1347.0
2014-01-15,1383.0
2014-01-16,1505.0
2014-01-17,1412.0
2014-01-18,1179.0
2014-01-19,1179.0
2014-01-20,1993.0
2014-01-21,1668.0
2014-01-22,1679.0
2014-01-23,1440.0
2014-01-24,1765.0
2014-01-25,1148.0
