Date,transactions/transfers_to_exchanges_count
2011-08-17,1.0
2011-08-18,3.0
2011-08-19,4.0
2011-08-20,1.0
2011-08-21,2.0
2011-08-22,1.0
2011-08-23,1.0
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,1.0
2011-08-27,0.0
2011-08-28,0.0
2011-08-29,1.0
2011-08-30,0.0
2011-08-31,1.0
2011-09-01,1.0
2011-09-02,1.0
2011-09-03,0.0
2011-09-04,2.0
2011-09-05,0.0
2011-09-06,2.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,1.0
2011-09-10,0.0
2011-09-11,1.0
2011-09-12,0.0
2011-09-13,1.0
2011-09-14,1.0
2011-09-15,1.0
2011-09-16,0.0
2011-09-17,1.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,2.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,1.0
2011-09-26,3.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,1.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,2.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,3.0
2011-10-07,3.0
2011-10-08,2.0
2011-10-09,4.0
2011-10-10,3.0
2011-10-11,2.0
2011-10-12,2.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,1.0
2011-10-18,1.0
2011-10-19,0.0
2011-10-20,1.0
2011-10-21,1.0
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,1.0
2011-10-26,5.0
2011-10-27,1.0
2011-10-28,0.0
2011-10-29,0.0
2011-10-30,2.0
2011-10-31,3.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,1.0
2011-11-04,3.0
2011-11-05,6.0
2011-11-06,1.0
2011-11-07,1.0
2011-11-08,0.0
2011-11-09,2.0
2011-11-10,1.0
2011-11-11,2.0
2011-11-12,0.0
2011-11-13,1.0
2011-11-14,13.0
2011-11-15,3.0
2011-11-16,0.0
2011-11-17,3.0
2011-11-18,5.0
2011-11-19,3.0
2011-11-20,1.0
2011-11-21,4.0
2011-11-22,1.0
2011-11-23,0.0
2011-11-24,2.0
2011-11-25,8.0
2011-11-26,1.0
2011-11-27,2.0
2011-11-28,7.0
2011-11-29,6.0
2011-11-30,5.0
2011-12-01,5.0
2011-12-02,4.0
2011-12-03,1.0
2011-12-04,1.0
2011-12-05,2.0
2011-12-06,4.0
2011-12-07,4.0
2011-12-08,2.0
2011-12-09,4.0
2011-12-10,3.0
2011-12-11,4.0
2011-12-12,4.0
2011-12-13,8.0
2011-12-14,3.0
2011-12-15,4.0
2011-12-16,5.0
2011-12-17,0.0
2011-12-18,3.0
2011-12-19,1.0
2011-12-20,3.0
2011-12-21,7.0
2011-12-22,2.0
2011-12-23,4.0
2011-12-24,2.0
2011-12-25,6.0
2011-12-26,4.0
2011-12-27,10.0
2011-12-28,5.0
2011-12-29,7.0
2011-12-30,3.0
2011-12-31,2.0
2012-01-01,5.0
2012-01-02,5.0
2012-01-03,10.0
2012-01-04,9.0
2012-01-05,8.0
2012-01-06,9.0
2012-01-07,7.0
2012-01-08,9.0
2012-01-09,8.0
2012-01-10,7.0
2012-01-11,9.0
2012-01-12,6.0
2012-01-13,4.0
2012-01-14,5.0
2012-01-15,3.0
2012-01-16,3.0
2012-01-17,4.0
2012-01-18,7.0
2012-01-19,5.0
2012-01-20,21.0
2012-01-21,20.0
2012-01-22,20.0
2012-01-23,14.0
2012-01-24,21.0
2012-01-25,21.0
2012-01-26,17.0
2012-01-27,21.0
2012-01-28,17.0
2012-01-29,16.0
2012-01-30,15.0
2012-01-31,24.0
2012-02-01,20.0
2012-02-02,22.0
2012-02-03,26.0
2012-02-04,21.0
2012-02-05,23.0
2012-02-06,29.0
2012-02-07,26.0
2012-02-08,27.0
2012-02-09,22.0
2012-02-10,31.0
2012-02-11,32.0
2012-02-12,32.0
2012-02-13,29.0
2012-02-14,45.0
2012-02-15,34.0
2012-02-16,52.0
2012-02-17,43.0
2012-02-18,29.0
2012-02-19,21.0
2012-02-20,45.0
2012-02-21,36.0
2012-02-22,53.0
2012-02-23,33.0
2012-02-24,31.0
2012-02-25,16.0
2012-02-26,16.0
2012-02-27,26.0
2012-02-28,29.0
2012-02-29,27.0
2012-03-01,37.0
2012-03-02,18.0
2012-03-03,29.0
2012-03-04,29.0
2012-03-05,54.0
2012-03-06,43.0
2012-03-07,30.0
2012-03-08,23.0
2012-03-09,45.0
2012-03-10,19.0
2012-03-11,16.0
2012-03-12,23.0
2012-03-13,21.0
2012-03-14,34.0
2012-03-15,38.0
2012-03-16,30.0
2012-03-17,13.0
2012-03-18,13.0
2012-03-19,25.0
2012-03-20,19.0
2012-03-21,16.0
2012-03-22,33.0
2012-03-23,12.0
2012-03-24,41.0
2012-03-25,27.0
2012-03-26,40.0
2012-03-27,49.0
2012-03-28,40.0
2012-03-29,40.0
2012-03-30,48.0
2012-03-31,39.0
2012-04-01,55.0
2012-04-02,48.0
2012-04-03,39.0
2012-04-04,42.0
2012-04-05,51.0
2012-04-06,31.0
2012-04-07,32.0
2012-04-08,20.0
2012-04-09,26.0
2012-04-10,31.0
2012-04-11,25.0
2012-04-12,27.0
2012-04-13,33.0
2012-04-14,39.0
2012-04-15,12.0
2012-04-16,23.0
2012-04-17,20.0
2012-04-18,23.0
2012-04-19,18.0
2012-04-20,20.0
2012-04-21,8.0
2012-04-22,15.0
2012-04-23,26.0
2012-04-24,23.0
2012-04-25,15.0
2012-04-26,30.0
2012-04-27,7.0
2012-04-28,12.0
2012-04-29,22.0
2012-04-30,7.0
2012-05-01,13.0
2012-05-02,14.0
2012-05-03,19.0
2012-05-04,14.0
2012-05-05,26.0
2012-05-06,19.0
2012-05-07,42.0
2012-05-08,24.0
2012-05-09,25.0
2012-05-10,16.0
2012-05-11,21.0
2012-05-12,12.0
2012-05-13,7.0
2012-05-14,17.0
2012-05-15,20.0
2012-05-16,19.0
2012-05-17,13.0
2012-05-18,21.0
2012-05-19,13.0
2012-05-20,26.0
2012-05-21,18.0
