Date,addresses/min_1k_count
2015-07-30,5363.0
2015-07-31,5368.0
2015-08-01,5370.0
2015-08-02,5381.0
2015-08-03,5382.0
2015-08-04,5385.0
2015-08-05,5394.0
2015-08-06,5398.0
2015-08-07,5240.0
2015-08-08,5169.0
2015-08-09,5122.0
2015-08-10,5092.0
2015-08-11,5077.0
2015-08-12,5061.0
2015-08-13,5041.0
2015-08-14,4968.0
2015-08-15,4995.0
2015-08-16,4989.0
2015-08-17,4992.0
2015-08-18,4978.0
2015-08-19,4976.0
2015-08-20,4987.0
2015-08-21,4976.0
2015-08-22,4975.0
2015-08-23,4973.0
2015-08-24,4982.0
2015-08-25,4990.0
2015-08-26,4996.0
2015-08-27,4990.0
2015-08-28,4988.0
2015-08-29,4990.0
2015-08-30,4985.0
2015-08-31,4983.0
2015-09-01,4991.0
2015-09-02,4999.0
2015-09-03,5001.0
2015-09-04,4999.0
2015-09-05,5002.0
2015-09-06,5001.0
2015-09-07,4996.0
2015-09-08,4990.0
2015-09-09,4987.0
2015-09-10,4991.0
2015-09-11,5005.0
2015-09-12,5007.0
2015-09-13,5029.0
2015-09-14,5029.0
2015-09-15,5054.0
2015-09-16,5051.0
2015-09-17,5052.0
2015-09-18,5052.0
2015-09-19,5053.0
2015-09-20,5056.0
2015-09-21,5055.0
2015-09-22,5060.0
2015-09-23,5062.0
2015-09-24,5053.0
2015-09-25,5054.0
2015-09-26,5048.0
2015-09-27,5051.0
2015-09-28,5045.0
2015-09-29,5036.0
2015-09-30,5027.0
2015-10-01,5030.0
2015-10-02,5029.0
2015-10-03,5031.0
2015-10-04,5041.0
2015-10-05,5049.0
2015-10-06,5053.0
2015-10-07,5052.0
2015-10-08,5054.0
2015-10-09,5054.0
2015-10-10,5057.0
2015-10-11,5060.0
2015-10-12,5058.0
2015-10-13,5058.0
2015-10-14,5054.0
2015-10-15,5049.0
2015-10-16,5047.0
2015-10-17,5046.0
2015-10-18,5045.0
2015-10-19,5045.0
2015-10-20,5038.0
2015-10-21,5034.0
2015-10-22,5032.0
2015-10-23,5035.0
2015-10-24,5043.0
2015-10-25,5051.0
2015-10-26,5055.0
2015-10-27,5044.0
2015-10-28,5028.0
2015-10-29,5023.0
2015-10-30,5016.0
2015-10-31,5016.0
2015-11-01,5021.0
2015-11-02,5021.0
2015-11-03,5026.0
2015-11-04,5022.0
2015-11-05,5023.0
2015-11-06,5020.0
2015-11-07,5025.0
2015-11-08,5031.0
2015-11-09,5015.0
2015-11-10,5019.0
2015-11-11,5026.0
2015-11-12,5028.0
2015-11-13,5036.0
2015-11-14,5043.0
2015-11-15,5044.0
2015-11-16,5047.0
2015-11-17,5064.0
2015-11-18,5069.0
2015-11-19,5075.0
2015-11-20,5083.0
2015-11-21,5083.0
2015-11-22,5086.0
2015-11-23,5100.0
2015-11-24,5111.0
2015-11-25,5108.0
2015-11-26,5111.0
2015-11-27,5117.0
2015-11-28,5123.0
2015-11-29,5128.0
2015-11-30,5118.0
2015-12-01,5125.0
2015-12-02,5126.0
2015-12-03,5131.0
2015-12-04,5130.0
2015-12-05,5132.0
2015-12-06,5132.0
2015-12-07,5131.0
2015-12-08,5131.0
2015-12-09,5135.0
2015-12-10,5145.0
2015-12-11,5140.0
2015-12-12,5134.0
2015-12-13,5137.0
2015-12-14,5135.0
2015-12-15,5132.0
2015-12-16,5128.0
2015-12-17,5131.0
2015-12-18,5128.0
2015-12-19,5133.0
2015-12-20,5136.0
2015-12-21,5136.0
2015-12-22,5143.0
2015-12-23,5145.0
2015-12-24,5155.0
2015-12-25,5158.0
2015-12-26,5161.0
2015-12-27,5161.0
2015-12-28,5168.0
2015-12-29,5178.0
2015-12-30,5182.0
2015-12-31,5184.0
2016-01-01,5188.0
2016-01-02,5192.0
2016-01-03,5197.0
2016-01-04,5204.0
2016-01-05,5203.0
2016-01-06,5212.0
2016-01-07,5209.0
2016-01-08,5216.0
2016-01-09,5205.0
2016-01-10,5208.0
2016-01-11,5212.0
2016-01-12,5219.0
2016-01-13,5232.0
2016-01-14,5238.0
2016-01-15,5241.0
2016-01-16,5247.0
2016-01-17,5256.0
2016-01-18,5298.0
2016-01-19,5328.0
2016-01-20,5342.0
2016-01-21,5359.0
2016-01-22,5374.0
2016-01-23,5386.0
2016-01-24,5399.0
2016-01-25,5401.0
2016-01-26,5400.0
2016-01-27,5410.0
2016-01-28,5422.0
2016-01-29,5452.0
2016-01-30,5471.0
2016-01-31,5485.0
2016-02-01,5486.0
2016-02-02,5490.0
2016-02-03,5495.0
2016-02-04,5514.0
2016-02-05,5525.0
2016-02-06,5531.0
2016-02-07,5541.0
2016-02-08,5574.0
2016-02-09,5594.0
2016-02-10,5604.0
2016-02-11,5619.0
