Date,addresses/non_zero_count
2015-07-30,9202.0
2015-07-31,9358.0
2015-08-01,9473.0
2015-08-02,9560.0
2015-08-03,9636.0
2015-08-04,9693.0
2015-08-05,9746.0
2015-08-06,9787.0
2015-08-07,10248.0
2015-08-08,10583.0
2015-08-09,10816.0
2015-08-10,11064.0
2015-08-11,11327.0
2015-08-12,11620.0
2015-08-13,12085.0
2015-08-14,12598.0
2015-08-15,12952.0
2015-08-16,13222.0
2015-08-17,13469.0
2015-08-18,13724.0
2015-08-19,13976.0
2015-08-20,14150.0
2015-08-21,14382.0
2015-08-22,14605.0
2015-08-23,14876.0
2015-08-24,15027.0
2015-08-25,15231.0
2015-08-26,15387.0
2015-08-27,15563.0
2015-08-28,15698.0
2015-08-29,15793.0
2015-08-30,15955.0
2015-08-31,16067.0
2015-09-01,16203.0
2015-09-02,16317.0
2015-09-03,16419.0
2015-09-04,16512.0
2015-09-05,16609.0
2015-09-06,16683.0
2015-09-07,16808.0
2015-09-08,16888.0
2015-09-09,17017.0
2015-09-10,17092.0
2015-09-11,17241.0
2015-09-12,17326.0
2015-09-13,17483.0
2015-09-14,17594.0
2015-09-15,17725.0
2015-09-16,17826.0
2015-09-17,17903.0
2015-09-18,17994.0
2015-09-19,18039.0
2015-09-20,18086.0
2015-09-21,18133.0
2015-09-22,18184.0
2015-09-23,18287.0
2015-09-24,18369.0
2015-09-25,18429.0
2015-09-26,18481.0
2015-09-27,18523.0
2015-09-28,18606.0
2015-09-29,18668.0
2015-09-30,18729.0
2015-10-01,18768.0
2015-10-02,18827.0
2015-10-03,18927.0
2015-10-04,19001.0
2015-10-05,19083.0
2015-10-06,19152.0
2015-10-07,19219.0
2015-10-08,19260.0
2015-10-09,19318.0
2015-10-10,19360.0
2015-10-11,19391.0
2015-10-12,19442.0
2015-10-13,19587.0
2015-10-14,19744.0
2015-10-15,19900.0
2015-10-16,19940.0
2015-10-17,19984.0
2015-10-18,20076.0
2015-10-19,20256.0
2015-10-20,20305.0
2015-10-21,20539.0
2015-10-22,20617.0
2015-10-23,20684.0
2015-10-24,20992.0
2015-10-25,21155.0
2015-10-26,21419.0
2015-10-27,21522.0
2015-10-28,21628.0
2015-10-29,21832.0
2015-10-30,22291.0
2015-10-31,22620.0
2015-11-01,23101.0
2015-11-02,23351.0
2015-11-03,23646.0
2015-11-04,23871.0
2015-11-05,24014.0
2015-11-06,24097.0
2015-11-07,24490.0
2015-11-08,25047.0
2015-11-09,25280.0
2015-11-10,25355.0
2015-11-11,25475.0
2015-11-12,25541.0
2015-11-13,25628.0
2015-11-14,25690.0
2015-11-15,25747.0
2015-11-16,25825.0
2015-11-17,25914.0
2015-11-18,25976.0
2015-11-19,26056.0
2015-11-20,26162.0
2015-11-21,26223.0
2015-11-22,26644.0
2015-11-23,26728.0
2015-11-24,26898.0
2015-11-25,26970.0
2015-11-26,27110.0
2015-11-27,27166.0
2015-11-28,27211.0
2015-11-29,27263.0
2015-11-30,27356.0
2015-12-01,27419.0
2015-12-02,27481.0
2015-12-03,27542.0
2015-12-04,27633.0
2015-12-05,27709.0
2015-12-06,27791.0
2015-12-07,27742.0
2015-12-08,27795.0
2015-12-09,27853.0
2015-12-10,27932.0
2015-12-11,27991.0
2015-12-12,28370.0
2015-12-13,28463.0
2015-12-14,28549.0
2015-12-15,28616.0
2015-12-16,28690.0
2015-12-17,28936.0
2015-12-18,29102.0
2015-12-19,29175.0
2015-12-20,29283.0
2015-12-21,29402.0
2015-12-22,29500.0
2015-12-23,29551.0
2015-12-24,29630.0
2015-12-25,29702.0
2015-12-26,29777.0
2015-12-27,29897.0
2015-12-28,29997.0
2015-12-29,30062.0
2015-12-30,30159.0
2015-12-31,30301.0
2016-01-01,30383.0
2016-01-02,30497.0
2016-01-03,30619.0
2016-01-04,30734.0
2016-01-05,30844.0
2016-01-06,31011.0
2016-01-07,31166.0
2016-01-08,31314.0
2016-01-09,31513.0
2016-01-10,31670.0
2016-01-11,31886.0
2016-01-12,32126.0
2016-01-13,32288.0
2016-01-14,32441.0
2016-01-15,32739.0
2016-01-16,32942.0
2016-01-17,33163.0
2016-01-18,33496.0
2016-01-19,33726.0
2016-01-20,33954.0
2016-01-21,34236.0
2016-01-22,34515.0
2016-01-23,34977.0
2016-01-24,35546.0
2016-01-25,36155.0
2016-01-26,36895.0
2016-01-27,37502.0
2016-01-28,38365.0
2016-01-29,39166.0
2016-01-30,40019.0
2016-01-31,40736.0
2016-02-01,41241.0
2016-02-02,41730.0
2016-02-03,42305.0
2016-02-04,42765.0
2016-02-05,43425.0
2016-02-06,43863.0
2016-02-07,44294.0
2016-02-08,44750.0
2016-02-09,45361.0
2016-02-10,46425.0
2016-02-11,48233.0
2016-02-12,49493.0
2016-02-13,50680.0
2016-02-14,51637.0
2016-02-15,52458.0
2016-02-16,53205.0
2016-02-17,54008.0
2016-02-18,54619.0
2016-02-19,55275.0
2016-02-20,55791.0
2016-02-21,57295.0
2016-02-22,58003.0
2016-02-23,58815.0
2016-02-24,59483.0
2016-02-25,60260.0
2016-02-26,60852.0
2016-02-27,61479.0
2016-02-28,62658.0
2016-02-29,64195.0
2016-03-01,65826.0
2016-03-02,67711.0
2016-03-03,69677.0
2016-03-04,71773.0
2016-03-05,74459.0
2016-03-06,77031.0
2016-03-07,78623.0
2016-03-08,80638.0
2016-03-09,82715.0
2016-03-10,84810.0
2016-03-11,85677.0
2016-03-12,86784.0
2016-03-13,87996.0
2016-03-14,89364.0
2016-03-15,90523.0
2016-03-16,91558.0
2016-03-17,92599.0
2016-03-18,93537.0
2016-03-19,94252.0
2016-03-20,95075.0
2016-03-21,95738.0
2016-03-22,96492.0
2016-03-23,97302.0
2016-03-24,98080.0
2016-03-25,98842.0
2016-03-26,99568.0
2016-03-27,100192.0
2016-03-28,101210.0
2016-03-29,102279.0
2016-03-30,103579.0
2016-03-31,104416.0
2016-04-01,105063.0
2016-04-02,105749.0
2016-04-03,106470.0
2016-04-04,107144.0
2016-04-05,107850.0
2016-04-06,108478.0
2016-04-07,109131.0
2016-04-08,109636.0
2016-04-09,110006.0
2016-04-10,110628.0
2016-04-11,111206.0
2016-04-12,111916.0
2016-04-13,112444.0
2016-04-14,112843.0
2016-04-15,113396.0
2016-04-16,113930.0
2016-04-17,114472.0
2016-04-18,115039.0
2016-04-19,115500.0
2016-04-20,115986.0
2016-04-21,116656.0
2016-04-22,117209.0
2016-04-23,117653.0
2016-04-24,118133.0
2016-04-25,118689.0
2016-04-26,119223.0
2016-04-27,119799.0
2016-04-28,120343.0
2016-04-29,120892.0
2016-04-30,122083.0
2016-05-01,122933.0
2016-05-02,125981.0
2016-05-03,126544.0
2016-05-04,127652.0
2016-05-05,128594.0
2016-05-06,129434.0
2016-05-07,130193.0
2016-05-08,131242.0
2016-05-09,132326.0
2016-05-10,133151.0
2016-05-11,134829.0
2016-05-12,137146.0
2016-05-13,138477.0
2016-05-14,139927.0
2016-05-15,141931.0
2016-05-16,142627.0
2016-05-17,144081.0
2016-05-18,147879.0
2016-05-19,150585.0
2016-05-20,154689.0
2016-05-21,156565.0
2016-05-22,157930.0
2016-05-23,159233.0
2016-05-24,160536.0
2016-05-25,162674.0
2016-05-26,164363.0
2016-05-27,166983.0
2016-05-28,172902.0
2016-05-29,174787.0
2016-05-30,176091.0
2016-05-31,177542.0
2016-06-01,179089.0
2016-06-02,180228.0
2016-06-03,181402.0
2016-06-04,182488.0
2016-06-05,183486.0
2016-06-06,184578.0
2016-06-07,190007.0
2016-06-08,191173.0
2016-06-09,192401.0
2016-06-10,193401.0
2016-06-11,194535.0
2016-06-12,195724.0
2016-06-13,197346.0
2016-06-14,199326.0
2016-06-15,200903.0
2016-06-16,202423.0
2016-06-17,208282.0
2016-06-18,211363.0
