Date,distribution/balance_exchanges
2015-08-07,1432994.8192739
2015-08-08,2281565.839827834
2015-08-09,2721995.858835145
2015-08-10,3424905.4049173486
2015-08-11,3698674.618813694
2015-08-12,3918536.2302150335
2015-08-13,4336287.635128643
2015-08-14,5270775.072409484
2015-08-15,5533821.375917215
2015-08-16,6025791.153392029
2015-08-17,6109275.125236745
2015-08-18,6310777.41243703
2015-08-19,6230039.177834321
2015-08-20,6197483.53420907
2015-08-21,6177502.971340571
2015-08-22,6172775.661913611
2015-08-23,6133885.140287563
2015-08-24,6119362.422481915
2015-08-25,6161613.7109763585
2015-08-26,6186999.615838424
2015-08-27,6203110.387606377
2015-08-28,6220823.700761849
2015-08-29,6222830.833588898
2015-08-30,6273952.0801287405
2015-08-31,6297077.289412718
2015-09-01,6425084.315632798
2015-09-02,6387112.3489517085
2015-09-03,6439623.618203845
2015-09-04,6493054.240931675
2015-09-05,6476804.855662525
2015-09-06,6509793.630697692
2015-09-07,6560894.136646472
2015-09-08,6621766.012758238
2015-09-09,7566398.192025403
2015-09-10,7574678.305081837
2015-09-11,7493373.0573577965
2015-09-12,7478758.688474083
2015-09-13,7459456.651490751
2015-09-14,7489481.820921315
2015-09-15,7503627.795677957
2015-09-16,7543447.547772571
2015-09-17,7535488.556819359
2015-09-18,7573516.524054782
2015-09-19,7586479.2120076995
2015-09-20,7579255.69929127
2015-09-21,7621690.149901661
2015-09-22,7630169.725294318
2015-09-23,7642730.74815895
2015-09-24,7693794.482102477
2015-09-25,7688308.92129542
2015-09-26,7692848.252623729
2015-09-27,7675138.690557929
2015-09-28,7817478.224486524
2015-09-29,7771396.648996659
2015-09-30,7848144.758680393
2015-10-01,7819610.196738012
2015-10-02,7846733.756896002
2015-10-03,7851206.000076553
2015-10-04,7861267.760629212
2015-10-05,7838295.781657962
2015-10-06,7669056.094750161
2015-10-07,7671056.399067191
2015-10-08,7737924.631131983
2015-10-09,7732120.4485243205
2015-10-10,7728861.165014669
2015-10-11,7684309.832407228
2015-10-12,7679329.088270178
2015-10-13,7680964.145908046
2015-10-14,7727879.415409385
2015-10-15,7722209.526712116
2015-10-16,7705693.420450985
2015-10-17,7738397.890863386
2015-10-18,7741857.488628365
2015-10-19,7697426.935978232
2015-10-20,7667462.134951439
2015-10-21,7887905.270566701
2015-10-22,7906737.341166931
2015-10-23,8043564.160328229
2015-10-24,8044238.45144687
2015-10-25,8039585.561989872
2015-10-26,7949899.649741241
2015-10-27,7978918.528311655
2015-10-28,8006473.34387734
2015-10-29,8117583.210610416
2015-10-30,8442327.19783829
2015-10-31,8424972.535169186
2015-11-01,8409244.598528668
2015-11-02,8402785.758410746
2015-11-03,8367260.800985387
2015-11-04,8359605.965595841
2015-11-05,8387996.218441314
2015-11-06,8427299.941827018
2015-11-07,8485108.67747673
2015-11-08,8526842.483153656
2015-11-09,8783626.336210404
2015-11-10,8799460.187421333
2015-11-11,8706080.31524378
2015-11-12,8662193.399954606
2015-11-13,8662395.04259748
2015-11-14,8605646.68074169
2015-11-15,8584023.701797081
2015-11-16,8544926.108847685
2015-11-17,8585722.287558697
2015-11-18,8561984.738992848
2015-11-19,8560575.461627336
2015-11-20,8554530.868075436
2015-11-21,8548846.923057934
2015-11-22,8526059.498781681
2015-11-23,8825285.551054731
2015-11-24,8817762.144502375
2015-11-25,8804346.012238227
2015-11-26,9457791.17808976
2015-11-27,9427742.412570216
2015-11-28,9443174.67710707
2015-11-29,9382800.853710923
2015-11-30,9393771.40160337
2015-12-01,9402301.50358449
2015-12-02,9409731.473687738
2015-12-03,9356500.404480701
2015-12-04,9349014.805201344
2015-12-05,9380292.200844616
2015-12-06,9398136.647066882
2015-12-07,9346054.532431157
2015-12-08,9397111.605465807
2015-12-09,9410403.30767754
2015-12-10,9309291.549171248
2015-12-11,9305122.934223536
2015-12-12,9328489.35108145
2015-12-13,9339261.895224003
2015-12-14,9252334.705830775
2015-12-15,9364971.31684315
2015-12-16,10312104.048407521
2015-12-17,10392276.300622467
2015-12-18,10460718.441194806
2015-12-19,10461461.892134856
2015-12-20,10443308.906116387
2015-12-21,10426643.908412054
2015-12-22,10444605.975281004
2015-12-23,10427080.270344501
2015-12-24,10398715.841815917
2015-12-25,10403988.868908392
2015-12-26,10389431.838818932
2015-12-27,10401063.564573398
2015-12-28,10373881.985902315
2015-12-29,10373663.60458329
2015-12-30,10301942.293574901
2015-12-31,10339464.829051184
2016-01-01,10305440.971821465
2016-01-02,10282319.959149811
2016-01-03,10237587.483762842
2016-01-04,10207530.208339509
2016-01-05,10525537.745874556
2016-01-06,10528190.3398142
2016-01-07,10452313.088937737
2016-01-08,10389292.132229067
2016-01-09,10388979.48982735
2016-01-10,10389488.694401897
2016-01-11,10362916.545302445
2016-01-12,10460993.98484206
2016-01-13,10402060.726977693
2016-01-14,10365693.670975924
2016-01-15,10354162.66411304
2016-01-16,10300406.94035709
2016-01-17,10229199.19867602
2016-01-18,10536349.490845054
2016-01-19,10651359.008737704
2016-01-20,10628231.391635824
2016-01-21,10521216.93495388
2016-01-22,10471577.845608672
2016-01-23,10274940.995599408
2016-01-24,10457069.362996604
2016-01-25,10594165.68174263
2016-01-26,10662447.516295224
2016-01-27,10487368.631371364
2016-01-28,10515665.51154148
2016-01-29,10426276.159889795
2016-01-30,10748259.085454771
2016-01-31,10763401.743745338
2016-02-01,10736315.80895294
2016-02-02,10656537.379205868
2016-02-03,10613719.999991389
2016-02-04,10516586.984602876
2016-02-05,10368492.864846407
2016-02-06,10295847.542376436
2016-02-07,10574550.549269922
2016-02-08,10531735.241489055
2016-02-09,10665104.929536501
2016-02-10,10639755.912206158
2016-02-11,10404708.472622925
2016-02-12,10738856.228067107
2016-02-13,10731900.860084217
2016-02-14,10546566.09331394
2016-02-15,10489147.967221294
2016-02-16,10077010.966591543
2016-02-17,10060773.612929022
2016-02-18,9967803.755828986
2016-02-19,9818246.83882406
2016-02-20,9982175.482538097
2016-02-21,9946080.472107105
2016-02-22,9924796.99659139
2016-02-23,9866816.665483821
2016-02-24,9840327.860793777
2016-02-25,9801463.100408278
2016-02-26,11228564.749595232
