Date,distribution/herfindahl
2015-07-30,0.029267
2015-07-31,0.029237
2015-08-01,0.029215
2015-08-02,0.029192
2015-08-03,0.02917
2015-08-04,0.029147
2015-08-05,0.029125
2015-08-06,0.029103
2015-08-07,0.030253
2015-08-08,0.002993
2015-08-09,0.003025
2015-08-10,0.003068
2015-08-11,0.00308
2015-08-12,0.003097
2015-08-13,0.00313
2015-08-14,0.003213
2015-08-15,0.003065
2015-08-16,0.003088
2015-08-17,0.003017
2015-08-18,0.003048
2015-08-19,0.003145
2015-08-20,0.003161
2015-08-21,0.003166
2015-08-22,0.003228
2015-08-23,0.003226
2015-08-24,0.003222
2015-08-25,0.003214
2015-08-26,0.003222
2015-08-27,0.003224
2015-08-28,0.003226
2015-08-29,0.003224
2015-08-30,0.003226
2015-08-31,0.003226
2015-09-01,0.003185
2015-09-02,0.003179
2015-09-03,0.003181
2015-09-04,0.003184
2015-09-05,0.003187
2015-09-06,0.003189
2015-09-07,0.003191
2015-09-08,0.003194
2015-09-09,0.003037
2015-09-10,0.003034
2015-09-11,0.003025
2015-09-12,0.003022
2015-09-13,0.003018
2015-09-14,0.003019
2015-09-15,0.003024
2015-09-16,0.002987
2015-09-17,0.002981
2015-09-18,0.002978
2015-09-19,0.003
2015-09-20,0.002997
2015-09-21,0.002999
2015-09-22,0.002997
2015-09-23,0.002995
2015-09-24,0.002998
2015-09-25,0.002995
2015-09-26,0.002994
2015-09-27,0.00299
2015-09-28,0.003008
2015-09-29,0.003003
2015-09-30,0.003034
2015-10-01,0.003055
2015-10-02,0.003056
2015-10-03,0.003053
2015-10-04,0.003039
2015-10-05,0.003034
2015-10-06,0.003031
2015-10-07,0.00303
2015-10-08,0.00301
2015-10-09,0.003008
2015-10-10,0.003008
2015-10-11,0.003005
2015-10-12,0.003008
2015-10-13,0.003009
2015-10-14,0.003024
2015-10-15,0.002845
2015-10-16,0.002844
2015-10-17,0.002844
2015-10-18,0.002846
2015-10-19,0.002861
2015-10-20,0.002888
2015-10-21,0.002906
2015-10-22,0.002906
2015-10-23,0.00291
2015-10-24,0.002908
2015-10-25,0.002909
2015-10-26,0.002902
2015-10-27,0.002901
2015-10-28,0.002911
2015-10-29,0.002924
2015-10-30,0.002945
2015-10-31,0.00295
2015-11-01,0.002948
2015-11-02,0.00295
2015-11-03,0.002948
2015-11-04,0.002951
2015-11-05,0.002955
2015-11-06,0.002964
2015-11-07,0.003019
2015-11-08,0.002918
2015-11-09,0.003035
2015-11-10,0.002945
2015-11-11,0.002951
2015-11-12,0.00296
2015-11-13,0.002937
2015-11-14,0.002941
2015-11-15,0.002941
2015-11-16,0.002948
2015-11-17,0.002906
2015-11-18,0.002914
2015-11-19,0.002904
2015-11-20,0.002892
2015-11-21,0.002889
2015-11-22,0.002898
2015-11-23,0.002837
2015-11-24,0.002823
2015-11-25,0.00282
2015-11-26,0.002774
2015-11-27,0.002791
2015-11-28,0.002792
2015-11-29,0.002789
2015-11-30,0.002789
