Date,indicators/cdd
2015-08-07,13578364.0375134
2015-08-08,115907754.164767
2015-08-09,5399171.05719957
2015-08-10,9413977.11817756
2015-08-11,5332549.35104379
2015-08-12,4078404.90985315
2015-08-13,9757533.57969835
2015-08-14,17053682.2062707
2015-08-15,27008525.2229149
2015-08-16,9444090.19968637
2015-08-17,17639495.1246215
2015-08-18,14233931.9090785
2015-08-19,5168761.77150204
2015-08-20,3250469.75319917
2015-08-21,4146760.6333303
2015-08-22,5636126.25402972
2015-08-23,6363519.67491
2015-08-24,4099960.06056889
2015-08-25,5816905.93178024
2015-08-26,3909521.71488388
2015-08-27,2111127.34387516
2015-08-28,3317478.67720368
2015-08-29,6268674.26754996
2015-08-30,3808070.21343006
2015-08-31,3267380.35759727
2015-09-01,25172936.3235761
2015-09-02,1923931.06029303
2015-09-03,2874395.897304
2015-09-04,3009166.23311498
2015-09-05,1509880.03690298
2015-09-06,3859755.5016474
2015-09-07,2714832.39657954
2015-09-08,4833887.94361743
2015-09-09,40548963.061691
2015-09-10,1981962.16735962
2015-09-11,6948303.61938625
2015-09-12,4171862.60227903
2015-09-13,3626883.99553688
2015-09-14,3303690.11219957
2015-09-15,27869569.067385
2015-09-16,5283232.53862848
2015-09-17,3240585.99418507
2015-09-18,8071087.1093031
2015-09-19,1965487.86422866
2015-09-20,695299.461577782
2015-09-21,2347123.10935142
2015-09-22,3205892.18626293
2015-09-23,1345070.1674553
2015-09-24,6702183.68079723
2015-09-25,8915643.20370724
2015-09-26,4468508.72856581
2015-09-27,5514085.09432227
2015-09-28,15062057.732397
2015-09-29,4682700.34790512
2015-09-30,8503710.69364442
2015-10-01,19071297.6642731
2015-10-02,2767067.58305138
2015-10-03,608979.602594535
2015-10-04,9396945.47536842
2015-10-05,2155168.51447432
2015-10-06,7967526.30845006
2015-10-07,4378324.56681547
2015-10-08,5998722.20385785
2015-10-09,4281908.55894432
2015-10-10,1151677.18981897
2015-10-11,1364681.06015036
2015-10-12,9065614.66014066
2015-10-13,12006188.8145138
2015-10-14,23668343.0209027
2015-10-15,37156077.636416
2015-10-16,5462659.74392595
2015-10-17,4884560.1342103
2015-10-18,2859420.39290972
2015-10-19,15693772.3009492
2015-10-20,12272604.9776926
2015-10-21,15997915.0460141
2015-10-22,13206485.9667649
2015-10-23,21992669.7966723
2015-10-24,755093.153652274
2015-10-25,3696033.93102609
2015-10-26,17645265.7928047
2015-10-27,87674874.9589695
2015-10-28,19407904.952458
2015-10-29,40867345.1593293
2015-10-30,49611685.7412004
2015-10-31,6453628.43253001
2015-11-01,2402506.22273563
2015-11-02,7209146.73610008
2015-11-03,6937376.00602703
2015-11-04,15407404.6532564
2015-11-05,8280254.20195932
2015-11-06,42282819.19447
2015-11-07,77547644.3214959
2015-11-08,6377567.89661491
2015-11-09,97000736.0122814
2015-11-10,3339529.56417934
2015-11-11,1594267.27467305
2015-11-12,7017238.08002224
2015-11-13,5769334.79868524
2015-11-14,6743073.81647924
2015-11-15,3431527.82163905
2015-11-16,5847657.6761445
2015-11-17,86639514.7587807
2015-11-18,43490103.8804977
2015-11-19,2348788.23467007
2015-11-20,3083656.24598053
2015-11-21,2109879.04092446
2015-11-22,4517269.58423198
2015-11-23,48087003.9120692
2015-11-24,8780615.62960208
2015-11-25,3234020.91870223
2015-11-26,84148058.5502386
2015-11-27,68178688.4077739
2015-11-28,956239.399813818
2015-11-29,5943737.20120584
2015-11-30,5546452.03884988
2015-12-01,4728006.23226883
2015-12-02,5113894.09784889
2015-12-03,2068973.41125535
2015-12-04,4704848.2084764
2015-12-05,2046911.47899503
2015-12-06,7591208.29646193
2015-12-07,13584371.4868094
2015-12-08,3995011.78206186
2015-12-09,3489428.28433046
2015-12-10,6699545.89928126
2015-12-11,15061349.8359516
2015-12-12,16405197.0930233
2015-12-13,4130572.37608662
2015-12-14,42551768.5547318
2015-12-15,20218670.6439389
2015-12-16,154618041.078436
2015-12-17,22430211.9045655
2015-12-18,6177613.49917713
2015-12-19,5642821.09742603
2015-12-20,2680185.07225762
2015-12-21,10229444.2929839
2015-12-22,1669469.75176296
2015-12-23,3016884.63863738
2015-12-24,1033831.40922434
2015-12-25,528084.149724944
2015-12-26,1222337.64877239
2015-12-27,1385131.74885694
2015-12-28,26862345.52827
2015-12-29,9412613.49402698
2015-12-30,7205396.87769272
2015-12-31,12222614.3049128
2016-01-01,12464247.8000515
2016-01-02,7144353.26254684
2016-01-03,10157711.4764559
2016-01-04,1269191.91653028
2016-01-05,35894662.1463254
2016-01-06,49233422.9072899
2016-01-07,12239942.659167
2016-01-08,3143188.10777172
2016-01-09,2084626.68015555
2016-01-10,2539781.18858546
2016-01-11,18472473.8651427
2016-01-12,23543225.1397002
2016-01-13,5010068.19233111
2016-01-14,15888167.280218
2016-01-15,35416482.1887676
2016-01-16,14313934.6814626
2016-01-17,16803598.7500198
2016-01-18,97941161.0310331
2016-01-19,35217374.726101
2016-01-20,26429600.5672187
2016-01-21,13502803.7063448
2016-01-22,64578454.9159564
2016-01-23,46240900.0713759
2016-01-24,78249028.7781229
2016-01-25,76523585.1082402
2016-01-26,54982784.8189835
2016-01-27,43956523.1086327
2016-01-28,44316002.2199232
2016-01-29,51124939.1645464
2016-01-30,36369186.0478549
2016-01-31,24834656.9062128
2016-02-01,24094642.7013534
2016-02-02,44634818.0970185
2016-02-03,36432303.03982
2016-02-04,7146198.69114604
2016-02-05,36804977.8715046
2016-02-06,6923062.92737971
2016-02-07,90743829.1203399
2016-02-08,69477990.8388267
2016-02-09,110464577.957999
2016-02-10,155940150.035593
2016-02-11,74439025.5351818
2016-02-12,118236994.171755
2016-02-13,37492638.8532661
2016-02-14,40933851.7425702
2016-02-15,42602852.8327753
2016-02-16,70649429.4538021
2016-02-17,22173588.8530122
2016-02-18,84393973.8025483
2016-02-19,8259657.10217737
2016-02-20,8814247.00603026
2016-02-21,21889409.1199272
2016-02-22,20691805.5437324
2016-02-23,23449784.2135174
2016-02-24,33313232.6016861
