Date,indicators/net_unrealized_profit_loss
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,-2.68506200915166
2015-08-09,-2.91020749973457
2015-08-10,-2.96817324557237
2015-08-11,-1.54102199468362
2015-08-12,-1.26986463399659
2015-08-13,-0.430594853157465
2015-08-14,-0.432602984393047
2015-08-15,-0.566650558939619
2015-08-16,-0.669613180832201
2015-08-17,-1.17558821657107
2015-08-18,-1.28273165131648
2015-08-19,-1.07461762879957
2015-08-20,-0.764487520168709
2015-08-21,-0.860732632710166
2015-08-22,-0.865270854265978
2015-08-23,-0.910367440154661
2015-08-24,-1.09480984419607
2015-08-25,-1.24701755496739
2015-08-26,-1.19376114371799
2015-08-27,-1.22560132338074
2015-08-28,-1.18182501406392
2015-08-29,-1.16835320551177
2015-08-30,-0.934340809082921
2015-08-31,-0.869581120968978
2015-09-01,-0.874143676690353
2015-09-02,-0.953289954102428
2015-09-03,-1.01930742433907
2015-09-04,-0.987928567286483
2015-09-05,-0.894415465467106
2015-09-06,-0.949943454638891
2015-09-07,-1.02813692332123
2015-09-08,-1.01174847799775
2015-09-09,-1.05982957592251
2015-09-10,-1.14809699242423
2015-09-11,-1.54562663904183
2015-09-12,-1.40231725708455
2015-09-13,-1.68583312546546
2015-09-14,-1.85266047778166
2015-09-15,-1.61849587263509
2015-09-16,-1.73402322659894
2015-09-17,-1.79330863893748
2015-09-18,-1.87531523767388
2015-09-19,-1.79808080696029
2015-09-20,-1.63725345544323
2015-09-21,-1.61924262798451
2015-09-22,-1.73046041349117
2015-09-23,-1.75656724805366
2015-09-24,-2.0200837136461
2015-09-25,-2.30278396356347
2015-09-26,-2.06635984555597
2015-09-27,-2.34573301186471
2015-09-28,-3.21668341016155
2015-09-29,-2.67776874068436
2015-09-30,-2.26960028353331
2015-10-01,-2.55572044059757
2015-10-02,-2.54177636304073
2015-10-03,-2.51477257977102
2015-10-04,-2.5650784458518
2015-10-05,-2.82035568903743
2015-10-06,-2.68010776613043
2015-10-07,-2.92437371183291
2015-10-08,-2.67035749284495
2015-10-09,-2.6833022441445
2015-10-10,-2.79066779412378
2015-10-11,-2.74830539380559
2015-10-12,-2.80446774951969
2015-10-13,-2.88980839647175
2015-10-14,-3.50909153273273
2015-10-15,-3.21669662844223
2015-10-16,-3.42845877845347
2015-10-17,-3.29561983863669
2015-10-18,-3.51768326163399
2015-10-19,-3.79288125110066
2015-10-20,-4.3922932621532
2015-10-21,-4.16668980523756
2015-10-22,-3.11242655598568
2015-10-23,-3.28056520059855
2015-10-24,-3.12849535982983
2015-10-25,-2.76083821080325
2015-10-26,-2.16506419403478
2015-10-27,-1.61490059419289
2015-10-28,-1.26149757033899
