Date,market/marketcap_realized_usd
2015-07-30,206670290.192186
2015-07-31,206777526.592268
2015-08-01,206869040.396644
2015-08-02,206949349.687279
2015-08-03,207029914.451037
2015-08-04,207110821.054129
2015-08-05,207191304.090168
2015-08-06,207269521.19184
2015-08-07,207347677.308095
2015-08-08,200676899.943531
2015-08-09,186187613.650371
2015-08-10,184501077.105108
2015-08-11,183205814.173146
2015-08-12,182386897.018376
2015-08-13,181943566.42872
2015-08-14,181220751.432649
2015-08-15,180895441.987805
2015-08-16,181276228.979239
2015-08-17,180730117.897809
2015-08-18,179840580.283983
2015-08-19,178878438.484214
2015-08-20,178687784.87529
2015-08-21,178556970.998917
2015-08-22,178353765.318644
2015-08-23,178073676.14812
2015-08-24,177820730.449927
2015-08-25,177576721.345502
2015-08-26,177257576.186936
2015-08-27,177198235.38824
2015-08-28,177067425.28962
2015-08-29,176890916.434615
2015-08-30,176674515.323635
2015-08-31,176591369.444498
2015-09-01,176552168.343747
2015-09-02,176517436.425702
2015-09-03,176459933.68148
2015-09-04,176359847.432219
2015-09-05,176314367.189661
2015-09-06,176257779.695846
2015-09-07,176192500.583866
2015-09-08,176098726.517666
2015-09-09,175164921.939245
2015-09-10,174430351.84556
2015-09-11,174317363.099889
2015-09-12,174124998.643201
2015-09-13,174041565.433657
2015-09-14,173878565.706837
2015-09-15,173606163.913751
2015-09-16,173373563.048682
2015-09-17,173294448.036764
2015-09-18,173142571.183588
2015-09-19,173004318.366316
2015-09-20,173017704.070651
2015-09-21,173020707.827466
2015-09-22,172930399.352697
2015-09-23,172916143.460315
2015-09-24,172840368.016734
2015-09-25,172618982.879797
2015-09-26,172426114.866422
2015-09-27,172339652.386275
2015-09-28,172039624.628938
2015-09-29,171731349.169312
2015-09-30,171578375.948693
2015-10-01,170952812.42209
2015-10-02,170807436.495739
2015-10-03,170787659.516984
2015-10-04,170703812.828292
2015-10-05,170692195.187964
2015-10-06,170577299.706449
2015-10-07,170495940.750918
2015-10-08,170346770.910388
2015-10-09,170224425.630834
2015-10-10,170180350.748673
2015-10-11,170173882.943676
2015-10-12,170089755.929822
2015-10-13,169770573.006317
2015-10-14,169381068.799313
2015-10-15,168969721.457814
2015-10-16,168450448.011555
2015-10-17,168350409.043023
2015-10-18,168291905.217014
2015-10-19,168087687.187431
2015-10-20,167929085.318505
2015-10-21,167532066.540778
2015-10-22,167219809.615446
2015-10-23,166923320.263249
2015-10-24,166640440.427999
2015-10-25,166642926.234505
2015-10-26,166468937.611234
2015-10-27,166013572.467385
2015-10-28,165404168.824247
2015-10-29,165254543.542188
2015-10-30,164724266.468049
2015-10-31,164410269.063042
2015-11-01,164387921.855868
2015-11-02,164394980.509408
2015-11-03,164367812.247392
2015-11-04,164216567.407251
2015-11-05,164131728.523959
2015-11-06,163986765.329996
2015-11-07,163746370.14197
2015-11-08,163432715.228619
2015-11-09,163140320.450782
2015-11-10,162876443.547689
2015-11-11,162840098.884266
2015-11-12,162798360.354388
2015-11-13,162741130.018687
2015-11-14,162726610.585863
2015-11-15,162697249.155351
2015-11-16,162687382.454691
2015-11-17,162375259.360512
2015-11-18,162303688.511831
2015-11-19,162246747.500656
2015-11-20,162245058.835439
2015-11-21,162245656.246936
2015-11-22,162242604.473585
2015-11-23,161843760.24946
2015-11-24,161526972.034679
2015-11-25,161459909.23046
2015-11-26,160186832.151747
2015-11-27,159965368.216103
2015-11-28,159844297.044205
2015-11-29,159843253.57493
2015-11-30,159816719.508583
2015-12-01,159805040.582087
2015-12-02,159784353.531701
2015-12-03,159776125.853883
2015-12-04,159757296.269814
2015-12-05,159740645.631263
2015-12-06,159670833.028668
2015-12-07,159634401.407191
2015-12-08,159604612.212943
2015-12-09,159587227.342013
2015-12-10,159575458.815423
2015-12-11,159558763.283517
2015-12-12,159420394.355647
2015-12-13,159399707.07282
2015-12-14,159416258.060849
2015-12-15,159249720.833879
2015-12-16,157283254.296553
2015-12-17,157137842.063825
2015-12-18,157011911.361089
2015-12-19,156943574.670739
2015-12-20,156953966.799102
2015-12-21,156928349.117455
2015-12-22,156866281.993849
2015-12-23,156880755.444967
2015-12-24,156887262.697437
2015-12-25,156908270.278332
2015-12-26,156927598.015809
2015-12-27,156938766.335625
2015-12-28,156924095.10928
2015-12-29,156839561.376314
2015-12-30,156840121.294731
2015-12-31,156753750.744676
2016-01-01,156749130.809281
2016-01-02,156722340.665428
2016-01-03,156726820.456214
2016-01-04,156734811.444718
2016-01-05,156746380.205773
2016-01-06,156715041.908482
2016-01-07,156676472.843371
2016-01-08,156666362.481342
2016-01-09,156685231.830313
2016-01-10,156706565.591152
2016-01-11,156652976.911322
2016-01-12,156668869.639921
2016-01-13,156734121.910162
2016-01-14,156687751.227707
2016-01-15,156692044.875543
2016-01-16,156686401.042745
2016-01-17,156711799.494851
2016-01-18,156943082.143377
2016-01-19,157297714.614949
2016-01-20,157350330.345217
2016-01-21,157416510.42217
2016-01-22,157529283.435664
2016-01-23,157807464.934261
2016-01-24,158530549.821061
2016-01-25,159238275.239395
2016-01-26,160257127.262912
2016-01-27,160838767.662703
2016-01-28,161329588.750158
2016-01-29,161874524.858818
2016-01-30,162506121.054225
2016-01-31,163058230.186777
2016-02-01,163166868.411816
2016-02-02,163384829.090933
2016-02-03,163586852.582867
2016-02-04,163894223.189851
2016-02-05,164233428.328105
2016-02-06,164433778.107679
2016-02-07,164645566.571825
2016-02-08,165426075.900423
2016-02-09,166568905.06733
2016-02-10,168545325.934995
2016-02-11,171297238.275635
2016-02-12,176458564.395289
2016-02-13,178579414.315355
2016-02-14,179631549.293323
2016-02-15,180875924.638242
2016-02-16,182090380.022223
2016-02-17,183267243.312693
2016-02-18,183886623.517853
2016-02-19,184634842.407479
2016-02-20,184763774.630866
2016-02-21,185083064.466792
2016-02-22,185833646.533792
2016-02-23,186601779.143637
2016-02-24,187286539.06507
2016-02-25,188607776.490067
2016-02-26,191955771.460607
2016-02-27,196577227.261589
2016-02-28,198000560.147543
2016-02-29,199063092.716553
2016-03-01,200483540.194192
2016-03-02,206354448.777879
2016-03-03,221343830.461165
2016-03-04,226428600.273357
2016-03-05,232184800.180958
2016-03-06,241897096.960658
2016-03-07,246421402.080308
2016-03-08,252148732.655768
2016-03-09,260561019.274676
2016-03-10,262661365.8305
2016-03-11,265310632.583439
2016-03-12,270181857.995473
2016-03-13,276118033.073125
2016-03-14,283553224.373581
2016-03-15,289878798.836631
2016-03-16,294283769.487982
2016-03-17,298778163.102771
2016-03-18,300709996.163182
2016-03-19,301843236.928137
2016-03-20,303190903.248437
2016-03-21,304911989.363613
2016-03-22,306840220.675406
2016-03-23,308775665.723786
2016-03-24,311326646.851637
2016-03-25,313113245.830064
2016-03-26,314469858.913141
2016-03-27,316382085.8474
2016-03-28,318722320.948346
2016-03-29,321059515.406728
2016-03-30,324147702.312959
2016-03-31,326507565.625033
2016-04-01,328086070.049611
2016-04-02,329101507.05922
2016-04-03,330177909.174211
2016-04-04,330942567.098294
2016-04-05,332203687.625119
2016-04-06,333422795.43716
2016-04-07,334614868.415513
2016-04-08,335436188.079113
2016-04-09,336026752.323529
2016-04-10,338178043.96405
2016-04-11,338514245.147283
2016-04-12,338523214.03564
2016-04-13,338732860.805194
2016-04-14,339315389.439316
2016-04-15,341420431.32072
2016-04-16,341851960.409962
2016-04-17,342427809.855863
2016-04-18,342925536.797144
2016-04-19,343300002.214331
2016-04-20,343724676.724606
2016-04-21,344275780.968143
2016-04-22,344682104.928682
2016-04-23,346413059.755121
2016-04-24,347463024.50409
2016-04-25,347718422.436332
2016-04-26,347659255.713452
2016-04-27,347703391.901771
2016-04-28,347979188.509251
2016-04-29,348451866.154136
2016-04-30,349634168.381507
2016-05-01,353811766.639515
2016-05-02,355193806.435228
2016-05-03,357255915.377572
2016-05-04,358760902.447032
2016-05-05,360011498.762496
2016-05-06,362267075.889994
2016-05-07,365509585.196147
2016-05-08,368192357.002154
2016-05-09,370763038.343305
2016-05-10,374522518.043884
2016-05-11,379065798.459696
2016-05-12,386803543.865848
2016-05-13,399672905.069401
2016-05-14,417934601.586009
2016-05-15,428246488.643276
2016-05-16,430742438.845168
2016-05-17,432959564.728046
2016-05-18,436476819.060541
2016-05-19,442543297.800724
2016-05-20,455635717.711271
2016-05-21,458138647.43536
2016-05-22,459622008.094442
2016-05-23,462522984.421394
2016-05-24,465473159.083231
2016-05-25,468504236.6267
2016-05-26,470607915.02503
2016-05-27,472523726.667047
2016-05-28,476278867.501778
2016-05-29,479484128.637152
2016-05-30,481282574.348685
2016-05-31,482823876.452968
2016-06-01,484835668.104546
2016-06-02,486512994.70917
2016-06-03,487519544.728193
2016-06-04,488570223.86633
2016-06-05,489688053.357936
2016-06-06,490722477.471285
2016-06-07,492032879.980463
2016-06-08,498551832.559984
2016-06-09,503456857.603098
2016-06-10,505172250.417721
2016-06-11,507105318.999122
2016-06-12,508812181.383368
2016-06-13,511642087.578977
2016-06-14,515779471.913158
2016-06-15,519167723.940181
2016-06-16,524866151.434893
2016-06-17,563328180.626792
2016-06-18,578127546.89266
2016-06-19,579150795.85033
2016-06-20,580458573.673966
2016-06-21,584377971.868409
2016-06-22,598747180.460041
2016-06-23,600945518.174614
2016-06-24,605290395.61806
2016-06-25,609624817.883501
2016-06-26,611275600.52771
2016-06-27,612247924.208506
2016-06-28,614517854.937694
2016-06-29,616116587.94229
2016-06-30,618258580.063877
2016-07-01,619139704.655593
2016-07-02,619468888.987242
2016-07-03,619956533.947325
2016-07-04,621390955.939706
2016-07-05,629525189.498502
2016-07-06,630913056.165587
2016-07-07,630819300.003114
2016-07-08,630993050.236219
2016-07-09,630995735.420525
2016-07-10,631637004.852199
2016-07-11,632074657.813839
2016-07-12,632764231.642379
2016-07-13,633745188.973412
2016-07-14,634613198.242798
2016-07-15,637045217.643776
2016-07-16,646059920.891196
2016-07-17,646766988.078906
2016-07-18,647046609.770612
2016-07-19,648489536.195429
2016-07-20,647982246.88015
2016-07-21,643481072.285097
2016-07-22,645673717.496536
2016-07-23,649487709.81013
2016-07-24,655682133.499853
2016-07-25,664747222.834563
2016-07-26,674341505.580577
2016-07-27,682025470.318531
2016-07-28,689610105.954883
2016-07-29,694414883.705088
2016-07-30,697399299.703124
2016-07-31,699518045.83034
2016-08-01,702546535.312492
2016-08-02,704204015.962308
2016-08-03,702862952.426221
2016-08-04,706608560.113459
2016-08-05,711545213.980352
2016-08-06,715251786.179708
2016-08-07,716772717.476334
2016-08-08,718410734.475117
2016-08-09,719943635.628801
2016-08-10,724553364.912791
2016-08-11,730710185.816532
2016-08-12,733531641.387042
2016-08-13,733455004.789836
2016-08-14,733797327.732728
2016-08-15,734206704.476939
2016-08-16,734361927.023647
2016-08-17,735005335.962531
2016-08-18,735665449.962965
2016-08-19,735545769.052834
2016-08-20,735951558.778429
2016-08-21,736460269.986888
2016-08-22,736712414.226188
2016-08-23,737454627.304761
2016-08-24,737978898.749923
2016-08-25,739022429.043383
2016-08-26,739714727.675464
2016-08-27,740189319.166873
2016-08-28,740518884.538423
2016-08-29,741279818.533598
2016-08-30,741751285.544137
2016-08-31,742039309.895561
2016-09-01,742783689.117334
2016-09-02,743739500.389945
2016-09-03,744604195.217596
2016-09-04,745035713.037012
2016-09-05,746021981.225342
2016-09-06,746427011.050431
2016-09-07,746792995.773125
2016-09-08,747543651.166193
2016-09-09,748310369.520113
2016-09-10,748703471.09292
2016-09-11,749447798.892549
2016-09-12,750259784.941412
2016-09-13,751273717.64472
2016-09-14,752098312.972304
2016-09-15,753038922.998324
2016-09-16,753880101.857891
2016-09-17,754716936.915104
2016-09-18,755766667.137215
2016-09-19,756593893.237605
2016-09-20,758133148.922641
2016-09-21,761732300.014762
2016-09-22,766889730.312728
2016-09-23,767807669.757462
2016-09-24,769600366.387883
2016-09-25,771993603.873022
2016-09-26,772984760.979314
2016-09-27,773828362.413838
2016-09-28,774604112.060172
2016-09-29,789649531.196534
2016-09-30,791521659.125248
2016-10-01,792781379.703002
2016-10-02,794233778.792756
2016-10-03,795494576.138054
2016-10-04,796192964.313941
2016-10-05,796912683.453744
2016-10-06,797666921.399088
2016-10-07,798198144.987078
2016-10-08,798627953.070317
2016-10-09,799006017.52047
2016-10-10,799331940.253332
2016-10-11,800328006.373299
2016-10-12,800168767.911029
2016-10-13,800522980.789415
2016-10-14,800833776.18801
2016-10-15,799804275.960302
2016-10-16,800043471.571169
2016-10-17,800499192.735876
2016-10-18,801124628.872813
2016-10-19,801832611.705642
2016-10-20,802276997.471791
2016-10-21,802938325.229012
2016-10-22,803364366.401763
2016-10-23,803733675.271214
2016-10-24,804089416.920834
2016-10-25,804360331.548482
2016-10-26,804526283.343083
2016-10-27,805029839.728914
2016-10-28,806207105.924831
2016-10-29,806185578.607151
2016-10-30,806180258.203423
2016-10-31,807125861.024196
2016-11-01,807147002.583605
2016-11-02,807424672.198274
2016-11-03,807840193.1558
2016-11-04,807973410.903817
2016-11-05,808523059.938911
2016-11-06,808857003.876359
2016-11-07,809159408.239542
2016-11-08,809443181.638403
2016-11-09,809601879.081732
2016-11-10,809678834.274804
2016-11-11,809329088.149114
2016-11-12,808559891.772607
2016-11-13,808284421.505315
2016-11-14,808602958.187635
2016-11-15,808412040.325097
2016-11-16,808346358.499496
2016-11-17,807610494.24153
2016-11-18,807103579.432488
2016-11-19,806756414.384945
2016-11-20,807221267.53718
2016-11-21,807597972.399434
2016-11-22,807222954.029583
2016-11-23,807179356.893855
2016-11-24,807423606.515711
2016-11-25,807540481.261995
2016-11-26,807557152.873713
2016-11-27,807264760.245805
2016-11-28,807176426.126141
2016-11-29,807245784.058064
2016-11-30,807071144.03626
2016-12-01,806913307.500494
2016-12-02,805717132.39805
2016-12-03,804034401.09515
2016-12-04,803454472.25555
2016-12-05,802267493.122232
2016-12-06,798565348.95203
2016-12-07,797412438.371486
2016-12-08,796651812.294446
2016-12-09,796918946.677158
2016-12-10,797281397.889247
2016-12-11,797749842.425557
2016-12-12,797994186.137777
2016-12-13,798040786.692131
2016-12-14,797872391.925685
2016-12-15,797889230.422166
2016-12-16,797675812.127389
2016-12-17,796832833.540092
2016-12-18,796311230.709486
2016-12-19,796258667.313721
2016-12-20,796141037.606867
2016-12-21,795741441.301401
2016-12-22,795139106.601564
2016-12-23,793600269.372173
2016-12-24,791213808.428658
2016-12-25,791292310.234531
2016-12-26,791328191.31424
2016-12-27,791207098.417699
2016-12-28,790842162.377865
2016-12-29,790805092.927642
2016-12-30,791182481.591932
2016-12-31,791664599.148922
2017-01-01,791464155.08649
2017-01-02,791457061.253747
2017-01-03,791786465.790526
2017-01-04,793557845.723562
2017-01-05,795983790.83996
2017-01-06,796968774.50738
2017-01-07,797784492.321973
2017-01-08,798266262.055135
2017-01-09,799565197.597209
2017-01-10,800390306.131141
2017-01-11,801073726.4095
2017-01-12,801254471.868436
2017-01-13,801574589.273415
2017-01-14,801886316.66994
2017-01-15,802235116.248205
2017-01-16,802506422.095932
2017-01-17,802712940.636823
2017-01-18,803021409.165463
2017-01-19,803649507.73015
2017-01-20,803911310.357624
2017-01-21,804018730.658659
2017-01-22,804622182.970374
2017-01-23,805246342.53123
2017-01-24,805755514.265635
2017-01-25,806619220.895477
2017-01-26,807731265.526368
2017-01-27,808270489.210827
2017-01-28,808698880.869187
2017-01-29,809955193.958032
2017-01-30,810423065.899645
2017-01-31,810886468.373374
2017-02-01,811401832.497073
2017-02-02,812024757.336738
2017-02-03,812728594.187469
2017-02-04,813652045.780955
2017-02-05,814785327.725269
2017-02-06,815437683.262186
2017-02-07,816260589.06118
2017-02-08,817004615.309463
2017-02-09,817560690.660256
2017-02-10,818163865.515855
2017-02-11,818951916.838669
2017-02-12,819712634.391066
2017-02-13,820332536.789544
2017-02-14,821491743.216321
2017-02-15,824201396.63505
2017-02-16,825522376.253173
2017-02-17,827109427.409413
2017-02-18,827988898.896218
2017-02-19,828729750.101506
2017-02-20,829591349.148689
2017-02-21,830297480.027703
2017-02-22,831092447.633426
2017-02-23,831770785.77316
2017-02-24,833115038.487879
2017-02-25,834614918.94825
2017-02-26,835705389.642879
2017-02-27,839874289.730778
2017-02-28,848021541.755138
2017-03-01,852600531.712099
2017-03-02,860974337.82374
2017-03-03,875521327.954384
2017-03-04,881768107.751736
2017-03-05,884157462.916219
2017-03-06,887126134.41629
2017-03-07,893896700.100685
2017-03-08,897347799.426387
2017-03-09,899948231.115776
2017-03-10,904077464.318834
2017-03-11,909270472.781517
2017-03-12,915870933.688494
2017-03-13,934552005.314707
2017-03-14,956754125.643967
2017-03-15,974812224.319066
2017-03-16,1023361601.47052
2017-03-17,1090743499.09756
2017-03-18,1125128899.71005
2017-03-19,1134223019.9868
2017-03-20,1147837867.7166
2017-03-21,1166184219.27175
2017-03-22,1176742859.36479
2017-03-23,1187354292.36114
2017-03-24,1202139737.63421
2017-03-25,1222875123.80072
2017-03-26,1252868054.0528
2017-03-27,1267876557.29968
2017-03-28,1282633185.22876
2017-03-29,1300800684.69961
2017-03-30,1332826034.95207
2017-03-31,1362173409.289
2017-04-01,1394865929.3437
2017-04-02,1402530039.72901
2017-04-03,1413552299.57963
2017-04-04,1420264875.12074
2017-04-05,1429806781.90619
2017-04-06,1439899802.14193
2017-04-07,1451456796.52417
2017-04-08,1459870843.90549
2017-04-09,1469914271.49092
2017-04-10,1478003742.86336
