Date,mining/marketcap_thermocap_ratio
2015-08-08,3.357141058674433e-06
2015-08-09,1.9483474165172967e-06
2015-08-10,1.6463573901516024e-06
2015-08-11,1.838159108880765e-06
2015-08-12,2.41314685369422e-06
2015-08-13,2.8687172063742595e-06
2015-08-14,3.5394018816833403e-06
2015-08-15,2.8017899925001464e-06
2015-08-16,2.110399107307735e-06
2015-08-17,2.0023462905387475e-06
2015-08-18,1.6622881273129916e-06
2015-08-19,1.6534937823986065e-06
2015-08-20,1.7224357834564757e-06
2015-08-21,1.8120470762938047e-06
2015-08-22,1.6438037734459214e-06
2015-08-23,1.5065799729306244e-06
2015-08-24,1.3948617447441272e-06
2015-08-25,1.2377058539153978e-06
2015-08-26,1.1463163578605464e-06
2015-08-27,1.1339470096529123e-06
2015-08-28,1.1091202142115532e-06
2015-08-29,1.0887337532944145e-06
2015-08-30,1.1494054446424281e-06
2015-08-31,1.1680943288427136e-06
2015-09-01,1.1689128618944258e-06
2015-09-02,1.1145452976868279e-06
2015-09-03,1.0513254150597393e-06
2015-09-04,1.025479236074857e-06
2015-09-05,1.0230795948344908e-06
2015-09-06,1.0210734854777047e-06
2015-09-07,9.506454097236359e-07
2015-09-08,9.122668474008137e-07
2015-09-09,8.75011826900643e-07
2015-09-10,8.298902254779443e-07
2015-09-11,7.169174143710948e-07
2015-09-12,6.897095943435135e-07
2015-09-13,6.465714262535304e-07
2015-09-14,5.89426145190152e-07
2015-09-15,5.894074485881469e-07
2015-09-16,5.803729843417692e-07
2015-09-17,5.433214694965679e-07
2015-09-18,5.292390959722353e-07
2015-09-19,5.149623789745437e-07
2015-09-20,5.329084360397129e-07
2015-09-21,5.431965119300134e-07
2015-09-22,5.176341764635646e-07
2015-09-23,5.111068616980765e-07
2015-09-24,4.8533676384368e-07
2015-09-25,4.290309154732049e-07
2015-09-26,4.0545042332267616e-07
2015-09-27,4.06849272239544e-07
2015-09-28,3.51968583715164e-07
2015-09-29,3.3231861086546e-07
2015-09-30,3.573709071613187e-07
2015-10-01,3.6580038910883345e-07
2015-10-02,3.5030029226523276e-07
2015-10-03,3.583648070216035e-07
2015-10-04,3.4738770904591765e-07
2015-10-05,3.3556155624275716e-07
2015-10-06,3.132575870685704e-07
2015-10-07,3.159075067185342e-07
2015-10-08,2.984030112366634e-07
2015-10-09,3.23287240037423e-07
2015-10-10,3.1148305857317794e-07
2015-10-11,3.0423020691244626e-07
2015-10-12,3.057920668758881e-07
2015-10-13,2.9191781931307313e-07
2015-10-14,2.678663453482768e-07
2015-10-15,2.5344815398302446e-07
2015-10-16,2.5463915288861216e-07
2015-10-17,2.486631718519206e-07
2015-10-18,2.4497796325611755e-07
2015-10-19,2.2881380886799518e-07
2015-10-20,2.215965168145438e-07
2015-10-21,2.0114593258328424e-07
2015-10-22,2.0648378840322486e-07
2015-10-23,2.4559727136981493e-07
2015-10-24,2.4385170005102037e-07
2015-10-25,2.7485576635710264e-07
2015-10-26,2.8154962273416875e-07
2015-10-27,3.5220326310970593e-07
2015-10-28,3.791119625326532e-07
2015-10-29,4.548032664072818e-07
2015-10-30,4.732895551810581e-07
2015-10-31,3.9784453021493396e-07
2015-11-01,3.918218171307343e-07
2015-11-02,4.2785978969380405e-07
2015-11-03,3.991067046116562e-07
2015-11-04,3.657730632412921e-07
2015-11-05,3.625207908018919e-07
2015-11-06,3.49085811861225e-07
2015-11-07,3.4971404874176067e-07
2015-11-08,3.639660686038686e-07
2015-11-09,3.8798611384261313e-07
2015-11-10,3.6607669175444893e-07
2015-11-11,3.1137910164904555e-07
2015-11-12,3.1015150195339085e-07
2015-11-13,3.1950624290306625e-07
2015-11-14,3.2055351511938076e-07
2015-11-15,3.2145735815047013e-07
2015-11-16,3.2306874683544665e-07
2015-11-17,3.330488547478303e-07
2015-11-18,3.38816122814671e-07
2015-11-19,3.3498676507343244e-07
2015-11-20,3.1387406150609933e-07
2015-11-21,3.190865004384148e-07
2015-11-22,3.2357998843686005e-07
2015-11-23,3.1677764898698015e-07
2015-11-24,3.071913546711488e-07
2015-11-25,2.8539437777573023e-07
2015-11-26,2.795448766842388e-07
2015-11-27,2.8252128409297046e-07
2015-11-28,2.8737649961079967e-07
2015-11-29,2.795939287574316e-07
2015-11-30,2.729723770210149e-07
2015-12-01,2.7168891021307467e-07
2015-12-02,2.613218656333926e-07
2015-12-03,2.4939028798286227e-07
2015-12-04,2.4951345877400633e-07
2015-12-05,2.5660599613235954e-07
2015-12-06,2.56667641011697e-07
2015-12-07,2.418739800379325e-07
2015-12-08,2.3556215617032447e-07
2015-12-09,2.3291711069547477e-07
2015-12-10,2.3879513651462506e-07
2015-12-11,2.490794423432476e-07
2015-12-12,2.8103388244062116e-07
2015-12-13,2.78052774697633e-07
2015-12-14,2.815465541452537e-07
2015-12-15,2.849780552652333e-07
2015-12-16,2.7884315160230477e-07
2015-12-17,2.6479407376396076e-07
2015-12-18,2.5450752780463847e-07
2015-12-19,2.4836463934143784e-07
2015-12-20,2.4880974268787464e-07
2015-12-21,2.435865891393015e-07
