Date,mining/revenue_from_fees
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.001358269
2015-08-08,0.00243114
2015-08-09,0.000518489
2015-08-10,0.001119096
2015-08-11,0.000403417
2015-08-12,0.001189153
2015-08-13,0.000881106
2015-08-14,0.000461258
2015-08-15,0.000309822
2015-08-16,0.000246382
2015-08-17,0.000271729
2015-08-18,0.000454869
2015-08-19,0.000565289
2015-08-20,0.000325465
2015-08-21,0.00029421
2015-08-22,0.001541954
2015-08-23,0.000306498
2015-08-24,0.000324637
2015-08-25,0.000308841
2015-08-26,0.000284858
2015-08-27,0.000353319
2015-08-28,0.000409536
2015-08-29,0.000244444
2015-08-30,0.000262552
2015-08-31,0.000348556
2015-09-01,0.000385499
2015-09-02,0.000443156
2015-09-03,0.000400855
2015-09-04,0.000421532
2015-09-05,0.000356547
2015-09-06,0.000307739
2015-09-07,0.000363428
2015-09-08,0.000400783
2015-09-09,0.000372169
2015-09-10,0.000299628
2015-09-11,0.000325782
2015-09-12,0.000429884
2015-09-13,0.000365866
2015-09-14,0.000386809
2015-09-15,0.000328875
2015-09-16,0.000575189
2015-09-17,0.000336286
2015-09-18,0.000456836
2015-09-19,0.000293516
2015-09-20,0.000391862
2015-09-21,0.000381844
2015-09-22,0.000432275
2015-09-23,0.000394975
2015-09-24,0.000390948
2015-09-25,0.000364139
2015-09-26,0.000358383
2015-09-27,0.000336692
2015-09-28,0.000375042
2015-09-29,0.00036422
2015-09-30,0.000333998
2015-10-01,0.000319639
2015-10-02,0.000362714
2015-10-03,0.000370005
2015-10-04,0.000370031
2015-10-05,0.000439292
2015-10-06,0.000399069
2015-10-07,0.000465964
2015-10-08,0.000446911
2015-10-09,0.000444148
2015-10-10,0.000446191
2015-10-11,0.000339372
2015-10-12,0.000399181
2015-10-13,0.00046188
2015-10-14,0.000457055
2015-10-15,0.000736279
2015-10-16,0.000831787
2015-10-17,0.000464479
2015-10-18,0.00050705
2015-10-19,0.000450344
2015-10-20,0.000439895
2015-10-21,0.000389762
2015-10-22,0.000520854
2015-10-23,0.000498681
2015-10-24,0.000394281
2015-10-25,0.000338494
2015-10-26,0.000415588
2015-10-27,0.000686173
2015-10-28,0.000413525
2015-10-29,0.000456004
2015-10-30,0.000485559
2015-10-31,0.000557583
2015-11-01,0.000573488
2015-11-02,0.000382986
2015-11-03,0.000443202
2015-11-04,0.000338777
2015-11-05,0.000388026
2015-11-06,0.000580808
2015-11-07,0.001199366
2015-11-08,0.001080835
2015-11-09,0.000416061
2015-11-10,0.00055905
2015-11-11,0.000828844
2015-11-12,0.000922702
2015-11-13,0.000517143
2015-11-14,0.000653154
2015-11-15,0.000408223
2015-11-16,0.00037473
