Date,mining/thermocap
2015-07-31,93804.49710329188
2015-08-01,128221.62251962785
2015-08-02,163291.00656512717
2015-08-03,198049.2088896298
2015-08-04,233430.74527908588
2015-08-05,267632.1982736955
2015-08-06,301270.6899514677
2015-08-07,335359.1624335258
2015-08-08,370076.0162199297
2015-08-09,390768.26419233216
2015-08-10,409523.322324292
2015-08-11,431767.81849357963
2015-08-12,462302.97220595175
2015-08-13,503101.0769221951
2015-08-14,565345.1092304512
2015-08-15,614429.7348461492
2015-08-16,651693.7631542529
2015-08-17,690575.7961168814
2015-08-18,721974.5657104726
2015-08-19,756081.927302468
2015-08-20,784536.5860985854
2015-08-21,824409.3376656689
2015-08-22,863515.868237886
2015-08-23,899080.0577405854
2015-08-24,934717.2253624474
2015-08-25,966706.9301589362
2015-08-26,996566.4334692472
2015-08-27,1025083.1281096657
2015-08-28,1053386.150276271
2015-08-29,1079868.5527152335
2015-08-30,1107170.1251627556
2015-08-31,1135410.9095807283
2015-09-01,1163062.4571089982
2015-09-02,1187401.4644887808
2015-09-03,1209502.7337427456
2015-09-04,1238825.7181018398
2015-09-05,1272183.0848485238
2015-09-06,1307108.6866836324
2015-09-07,1339530.519618313
2015-09-08,1371932.054038301
2015-09-09,1404413.0279336767
2015-09-10,1435925.5611918124
2015-09-11,1464524.5359406474
2015-09-12,1491688.1013803573
2015-09-13,1517364.462517828
2015-09-14,1540600.273242227
2015-09-15,1564216.5900487774
2015-09-16,1588479.5488888214
2015-09-17,1610739.5199032992
2015-09-18,1633120.1792293333
2015-09-19,1656309.1344429706
2015-09-20,1681382.2317623338
2015-09-21,1706081.5246566336
2015-09-22,1729692.124846575
2015-09-23,1753968.6888932067
2015-09-24,1776721.3643553506
2015-09-25,1797546.4968831416
2015-09-26,1816630.8344819127
2015-09-27,1835306.4453995822
2015-09-28,1851411.1836181912
2015-09-29,1866524.1291761836
2015-09-30,1883416.712794612
2015-10-01,1902500.6774975047
2015-10-02,1920607.5422712024
2015-10-03,1938989.341582066
2015-10-04,1956305.5668196464
2015-10-05,1973615.219196832
2015-10-06,1989216.431132836
2015-10-07,2005775.711126074
2015-10-08,2021932.5013933994
2015-10-09,2038707.21859804
2015-10-10,2055029.7458070302
2015-10-11,2071736.7271667982
2015-10-12,2088857.7870573807
2015-10-13,2105247.02251235
2015-10-14,2119940.7753106314
2015-10-15,2133791.0552077577
2015-10-16,2147704.698367808
2015-10-17,2161924.3151885225
2015-10-18,2175701.4207315636
2015-10-19,2188705.7116284585
2015-10-20,2201483.488932281
2015-10-21,2213078.089813966
2015-10-22,2224714.225478607
2015-10-23,2239872.324992641
2015-10-24,2254783.1003158214
2015-10-25,2271524.3315054416
2015-10-26,2288218.1796644763
2015-10-27,2310621.820275606
2015-10-28,2333932.168952306
2015-10-29,2363504.318856358
2015-10-30,2394924.9205480064
2015-10-31,2421662.0244155964
2015-11-01,2448699.5858333083
2015-11-02,2477462.030920243
2015-11-03,2505061.9324900988
2015-11-04,2530718.1373905297
2015-11-05,2556006.504505633
2015-11-06,2580710.866609031
2015-11-07,2605049.111296838
2015-11-08,2631182.789153269
2015-11-09,2659099.9411955224
2015-11-10,2686086.058291373
2015-11-11,2709556.98518517
2015-11-12,2733320.9603048535
2015-11-13,2758159.1025357135
2015-11-14,2783461.1720647956
2015-11-15,2808851.592615644
2015-11-16,2833933.3732104953
2015-11-17,2860411.125105048
2015-11-18,2887068.6644995133
2015-11-19,2912989.6112485435
2015-11-20,2936149.377040628
2015-11-21,2961457.502688405
2015-11-22,2987547.6633812157
2015-11-23,3013582.815786163
2015-11-24,3038644.068871012
2015-11-25,3061775.5513673695
2015-11-26,3084659.66742269
2015-11-27,3109155.5716128214
2015-11-28,3133651.1822267273
2015-11-29,3157799.3668251885
2015-11-30,3181560.931750031
2015-12-01,3205548.2955507096
2015-12-02,3227482.9341936107
2015-12-03,3250230.3531949874
2015-12-04,3272011.687169911
2015-12-05,3294483.5854224837
2015-12-06,3316835.772995546
2015-12-07,3338410.612786518
2015-12-08,3359231.9021670935
2015-12-09,3381540.461583007
2015-12-10,3403874.836730178
2015-12-11,3426940.983864973
2015-12-12,3453345.1430254057
2015-12-13,3480351.677932879
2015-12-14,3506721.2134028873
2015-12-15,3533927.3245877437
2015-12-16,3560192.463322936
2015-12-17,3585717.364356055
2015-12-18,3610223.9742172165
2015-12-19,3634319.430729764
2015-12-20,3658382.6536629503
2015-12-21,3682113.018935309
2015-12-22,3706534.154565242
2015-12-23,3730086.1687180945
2015-12-24,3753107.6915153842
2015-12-25,3776362.6913769282
2015-12-26,3799510.073003427
2015-12-27,3822424.308278781
2015-12-28,3845455.43419281
2015-12-29,3867988.0048229964
2015-12-30,3891799.6700911345
2015-12-31,3917404.0459279995
2016-01-01,3941867.0290416353
2016-01-02,3967932.535920639
2016-01-03,3994465.153061682
2016-01-04,4020529.313180705
2016-01-05,4047047.7392186695
2016-01-06,4073316.421448945
2016-01-07,4099073.4015889466
2016-01-08,4126149.1340832403
2016-01-09,4153269.7429487156
2016-01-10,4180256.12803311
2016-01-11,4208224.439026641
2016-01-12,4237864.361003108
2016-01-13,4267383.105597275
2016-01-14,4297911.144510905
2016-01-15,4330964.701112543
