Date,supply/active_1d_1w
2015-07-30,0.0
2015-07-31,72038527.53073
2015-08-01,72102506.90573
2015-08-02,72133582.21823
2015-08-03,72158947.84323
2015-08-04,72191365.18698
2015-08-05,72219633.93698
2015-08-06,231300.46875
2015-08-07,215013.782963142
2015-08-08,425676.975063059
2015-08-09,14498923.6597623
2015-08-10,15743090.408033
2015-08-11,16249328.8893996
2015-08-12,16465871.1753082
2015-08-13,16957699.3657133
2015-08-14,17607019.9641196
2015-08-15,6522126.54779356
2015-08-16,9682531.49706481
2015-08-17,9752688.82077421
2015-08-18,7561433.92382162
2015-08-19,7527801.80050456
2015-08-20,5717472.45782649
2015-08-21,5553270.33999556
2015-08-22,3340154.26678494
2015-08-23,3308014.97723998
2015-08-24,2343318.65924951
2015-08-25,2436916.7010984
2015-08-26,1380087.26882384
2015-08-27,1176142.65540151
2015-08-28,1277043.90576096
2015-08-29,977020.314744868
2015-08-30,1051146.78111963
2015-08-31,1078958.72149397
2015-09-01,782003.321227361
2015-09-02,1725828.5823534
2015-09-03,1455106.23415444
2015-09-04,1413986.5427631
2015-09-05,1138575.42363247
2015-09-06,1062203.98734353
2015-09-07,1100583.45711603
2015-09-08,411302.733832964
2015-09-09,415440.096007054
2015-09-10,469802.149853147
2015-09-11,471738.734351475
2015-09-12,542603.169804251
2015-09-13,432215.95201123
2015-09-14,560874.427880323
2015-09-15,1069488.07463116
2015-09-16,959659.90389862
2015-09-17,1179817.87060983
2015-09-18,1204050.37220805
2015-09-19,1134734.69956521
2015-09-20,1035225.20831233
2015-09-21,1020328.99661338
2015-09-22,902784.597287438
2015-09-23,854809.529864559
2015-09-24,469694.114269597
2015-09-25,414700.521764989
2015-09-26,385566.150161668
2015-09-27,356122.878567236
2015-09-28,509767.810300104
2015-09-29,298802.827660789
2015-09-30,302230.532074856
2015-10-01,374291.985384088
2015-10-02,586828.521311724
2015-10-03,507806.352335141
2015-10-04,522449.533015349
2015-10-05,646945.149437241
2015-10-06,523688.570326379
2015-10-07,595070.364028938
2015-10-08,368326.039708012
2015-10-09,503767.001266619
2015-10-10,515163.308403768
2015-10-11,389916.169386554
2015-10-12,422088.376895977
2015-10-13,364111.440881139
2015-10-14,553623.997380121
2015-10-15,798888.44738655
2015-10-16,1291070.14110956
2015-10-17,1285292.84157367
2015-10-18,923761.144437568
2015-10-19,1390936.81149163
2015-10-20,1600485.78053141
2015-10-21,925798.470022323
2015-10-22,289183.452168464
2015-10-23,214685.158269834
2015-10-24,620744.769648481
2015-10-25,623091.803892788
2015-10-26,718766.680349418
2015-10-27,554010.397208402
2015-10-28,1520515.50771305
2015-10-29,1816043.65000252
2015-10-30,1889573.16075853
2015-10-31,2124091.39389624
2015-11-01,2050730.62713295
2015-11-02,1934705.36863447
2015-11-03,819026.184187151
2015-11-04,559449.219817462
2015-11-05,563214.314439895
2015-11-06,519079.003692444
2015-11-07,1107269.22224594
2015-11-08,1428293.96939922
2015-11-09,2039301.90410376
2015-11-10,2011808.94026348
2015-11-11,2098258.52842425
2015-11-12,2159022.23422221
2015-11-13,1371916.01605539
2015-11-14,1296801.64294768
2015-11-15,887544.090704299
2015-11-16,759694.946358866
2015-11-17,820929.368477091
2015-11-18,1481726.26877178
2015-11-19,1787927.3403556
2015-11-20,1690524.70054053
2015-11-21,1758447.8347235
2015-11-22,1525952.48631016
2015-11-23,1281081.37230025
2015-11-24,580916.384102102
2015-11-25,686411.394565237
2015-11-26,593743.20522252
2015-11-27,627367.524469639
2015-11-28,1105953.21593177
2015-11-29,1099142.08613677
2015-11-30,1053575.19632556
2015-12-01,932251.542515886
2015-12-02,900687.831675695
2015-12-03,736998.853177746
2015-12-04,261969.052538766
2015-12-05,309274.403950145
2015-12-06,277064.918693636
2015-12-07,336113.113393889
2015-12-08,373067.852588005
2015-12-09,316670.14214876
2015-12-10,299703.445318617
2015-12-11,355330.855969399
2015-12-12,554127.147325412
2015-12-13,454417.794698692
2015-12-14,417214.070165367
2015-12-15,729551.441117517
2015-12-16,761226.974855491
2015-12-17,891267.972106305
2015-12-18,937859.332525442
2015-12-19,814846.159717052
2015-12-20,825517.068504243
2015-12-21,730544.272435403
2015-12-22,488570.886145597
2015-12-23,410256.823499
2015-12-24,373129.013648927
2015-12-25,389273.170733907
2015-12-26,328425.532446238
2015-12-27,302920.80595265
2015-12-28,295271.307285427
2015-12-29,576294.067866805
2015-12-30,691250.711534846
2015-12-31,742899.590768838
2016-01-01,787216.096829501
2016-01-02,806779.5545092
2016-01-03,841103.271357546
2016-01-04,847572.151056007
2016-01-05,658247.806680302
2016-01-06,785941.6691711
2016-01-07,762836.608953062
2016-01-08,351057.758430479
2016-01-09,383759.38334733
2016-01-10,407064.505773939
2016-01-11,350370.156650407
2016-01-12,493098.297348601
2016-01-13,603184.18857149
2016-01-14,643684.333963109
2016-01-15,586186.118558181
2016-01-16,855792.486276748
2016-01-17,820051.367526285
2016-01-18,1068521.30882236
2016-01-19,1246357.45025578
2016-01-20,1359274.91139096
2016-01-21,1304159.34462202
2016-01-22,1401669.43901159
2016-01-23,1897401.15764927
2016-01-24,1562725.91464256
2016-01-25,1799851.38968203
2016-01-26,1992920.47217988
2016-01-27,2115001.0568506
2016-01-28,2461489.43648762
2016-01-29,2109303.0829434
2016-01-30,2171417.7366949
2016-01-31,2105663.2102762
2016-02-01,1837331.62599881
2016-02-02,1940764.29334743
2016-02-03,1784077.63508544
2016-02-04,1898803.64530989
2016-02-05,1596002.66087251
2016-02-06,1533353.05683884
2016-02-07,1378106.71959352
2016-02-08,1381619.93059783
2016-02-09,1553069.79322837
2016-02-10,1765787.89934091
2016-02-11,2317982.67063775
2016-02-12,2327779.36815077
2016-02-13,3026335.12292067
2016-02-14,3080488.80780165
2016-02-15,2998584.49369946
2016-02-16,2963196.60051079
2016-02-17,2823657.03124612
2016-02-18,2695806.01220894
2016-02-19,2188191.58571223
2016-02-20,2148483.54994766
2016-02-21,1993199.16783036
