Date,supply/active_1w_1m
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,72017540.81198
2015-08-07,70346870.5384281
2015-08-08,57571781.8576679
2015-08-09,57069926.5733417
2015-08-10,56262283.5661841
2015-08-11,55921310.5772372
2015-08-12,55681408.7283851
2015-08-13,55098223.3348183
2015-08-14,54293122.2600113
2015-08-15,62963786.515069
2015-08-16,62544157.9599217
2015-08-17,61261582.0861776
2015-08-18,64141907.5811729
2015-08-19,64049773.1191425
2015-08-20,66707209.1295609
2015-08-21,66874099.3693194
2015-08-22,69109314.377152
2015-08-23,69157400.0048432
2015-08-24,70151953.1151623
2015-08-25,70163763.8577365
2015-08-26,71381158.915671
2015-08-27,71530029.7470116
2015-08-28,71494357.5962396
2015-08-29,21760715.2796337
2015-08-30,21886144.0273791
2015-08-31,21350875.5719746
2015-09-01,20716020.7317605
2015-09-02,20749548.8745387
2015-09-03,21078662.7906396
2015-09-04,21211838.7613374
2015-09-05,21484707.0620771
2015-09-06,21400731.81148
2015-09-07,14546878.2365191
2015-09-08,15393051.1775196
2015-09-09,16271878.8244822
2015-09-10,16138700.5197391
2015-09-11,16014563.4504056
2015-09-12,15970442.8606585
2015-09-13,15846878.015441
2015-09-14,13527340.039016
2015-09-15,13368818.5874025
2015-09-16,9162520.55542181
2015-09-17,9083627.23073021
2015-09-18,9073715.14479517
2015-09-19,7908341.87386714
2015-09-20,3835733.85376813
2015-09-21,3623142.23287437
2015-09-22,3529959.09177605
2015-09-23,3626060.69313457
2015-09-24,3877819.8032445
2015-09-25,3854154.24770449
2015-09-26,3946124.47065213
2015-09-27,3730670.44088557
2015-09-28,3644315.46520891
2015-09-29,3717841.57238572
2015-09-30,3732795.03091257
2015-10-01,2952509.90860383
2015-10-02,2934823.94524172
2015-10-03,2978548.27778532
2015-10-04,2829942.8420428
2015-10-05,2823560.3408599
2015-10-06,2927523.44223401
2015-10-07,2941157.04052238
2015-10-08,3110868.49012169
2015-10-09,3063199.33301168
2015-10-10,3071902.0773372
2015-10-11,3046954.96983474
2015-10-12,2954179.57884757
2015-10-13,2867598.00352003
2015-10-14,3188601.45577393
2015-10-15,2645697.47770755
2015-10-16,2604339.95512432
2015-10-17,2190276.05733097
2015-10-18,2518909.37755889
2015-10-19,2063836.09542195
2015-10-20,1983737.65854164
2015-10-21,2803490.78246634
2015-10-22,3226932.9929776
2015-10-23,3168985.63469556
2015-10-24,3182606.21917728
2015-10-25,3124767.55583904
2015-10-26,3105254.65512535
2015-10-27,3158643.19527348
2015-10-28,2789688.18828961
2015-10-29,2843122.5045002
2015-10-30,2824680.15599851
2015-10-31,2621561.24564324
2015-11-01,2739713.79536331
2015-11-02,2912550.70421422
2015-11-03,3770123.95412753
