Date,supply/active_24h
2015-07-30,72049301.59323
2015-07-31,46965.78125
2015-08-01,10688.59375
2015-08-02,7840.46875
2015-08-03,10451.5625
2015-08-04,6512.65625
2015-08-05,5772.5
2015-08-06,3640.625
2015-08-07,1718035.2405888
2015-08-08,14310404.1667491
2015-08-09,766191.047626026
2015-08-10,357484.650262882
2015-08-11,220246.970343218
2015-08-12,270977.470786709
2015-08-13,390602.798948413
2015-08-14,577489.994099117
2015-08-15,3020231.81161744
2015-08-16,306549.948743447
2015-08-17,1547087.40502816
2015-08-18,884179.619485455
2015-08-19,1037228.23608295
2015-08-20,211178.59959258
2015-08-21,235181.415165054
2015-08-22,240632.949293058
2015-08-23,250942.236146778
2015-08-24,248418.725068181
2015-08-25,169746.034395095
2015-08-26,35318.3774851701
2015-08-27,114924.972066848
2015-08-28,73921.0287294598
2015-08-29,244257.612375191
2015-08-30,77606.4126521493
2015-08-31,65917.1685850909
2015-09-01,1034929.52602793
2015-09-02,78376.4180619925
2015-09-03,63877.6895990764
2015-09-04,21842.4009397224
2015-09-05,61642.0247754013
2015-09-06,117072.73617977
2015-09-07,114452.066745195
2015-09-08,59171.7602708218
2015-09-09,64052.7644069725
2015-09-10,29988.4509865123
2015-09-11,136221.366891058
2015-09-12,59079.0483547062
2015-09-13,108062.051585146
2015-09-14,35481.7539768487
2015-09-15,190809.050426004
2015-09-16,319119.387666222
2015-09-17,48977.2388315276
2015-09-18,101226.386075839
2015-09-19,20344.5054545315
2015-09-20,25779.6176406155
2015-09-21,22924.7859650574
2015-09-22,91179.1920692059
2015-09-23,14941.9277013003
2015-09-24,30522.8937133199
2015-09-25,29853.7538860973
2015-09-26,13588.7457363819
2015-09-27,45316.701614477
2015-09-28,33427.6011804794
2015-09-29,79846.3486728403
2015-09-30,23887.8706301565
2015-10-01,244797.273308346
2015-10-02,35066.7258302713
2015-10-03,39424.0078595724
2015-10-04,137108.614186214
2015-10-05,35097.450010166
2015-10-06,191225.843659722
2015-10-07,124032.546954178
2015-10-08,173886.900681606
2015-10-09,58431.8638004135
2015-10-10,11100.0315043609
2015-10-11,26417.6013756369
2015-10-12,17074.2698030788
2015-10-13,152603.92444107
2015-10-14,198115.164860118
2015-10-15,532870.265522803
2015-10-16,17840.0115234065
2015-10-17,17422.6777261329
2015-10-18,25768.1104049592
2015-10-19,137068.721831043
2015-10-20,19204.5712547208
2015-10-21,12106.0211149604
2015-10-22,53365.5557557577
2015-10-23,430356.620267199
2015-10-24,29632.0578762642
2015-10-25,74986.0542128045
2015-10-26,172913.966396976
2015-10-27,1120984.26238312
2015-10-28,154803.86463685
2015-10-29,259030.176279522
2015-10-30,224348.282887344
2015-10-31,51373.4284693563
2015-11-01,39655.0995321094
2015-11-02,51857.2525098264
2015-11-03,288109.096544125
2015-11-04,118925.081887301
2015-11-05,81741.5837986037
2015-11-06,731303.096189465
2015-11-07,952639.084235409
2015-11-08,513367.244097333
2015-11-09,833018.187925723
2015-11-10,324090.599385981
2015-11-11,120761.959036058
2015-11-12,84894.8438038485
2015-11-13,141955.041265306
2015-11-14,160256.57375661
2015-11-15,97879.2235001468
2015-11-16,242970.234363405
2015-11-17,851023.385894888
2015-11-18,441901.894292872
2015-11-19,68047.6743097425
2015-11-20,99377.3847543039
2015-11-21,39311.4348565133
2015-11-22,48848.4841974896
2015-11-23,104194.268304568
2015-11-24,213304.947436784
2015-11-25,28495.8912771423
2015-11-26,21971.8686783073
2015-11-27,522675.71943988
2015-11-28,24022.1967267361
2015-11-29,12619.531796192
2015-11-30,15878.4693625144
2015-12-01,34045.3568827915
2015-12-02,8530.62719784425
2015-12-03,25493.4237489067
2015-12-04,50508.8503212517
2015-12-05,7236.44226974009
2015-12-06,19827.1179862657
2015-12-07,16276.2248101503
2015-12-08,47039.8345282418
2015-12-09,40223.4200914231
2015-12-10,53361.7559609796
2015-12-11,100232.835769845
2015-12-12,22880.1631970952
2015-12-13,29839.4931085871
2015-12-14,421993.542459702
2015-12-15,41885.4944009058
2015-12-16,127904.58348355
2015-12-17,114946.248915738
2015-12-18,11351.1208805703
2015-12-19,52102.2190105352
2015-12-20,54472.7495184478
2015-12-21,43973.6377955841
2015-12-22,45613.1792387277
