Date,supply/active_3m_6m
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,45400681.0568869
2015-10-29,45371995.569816
2015-10-30,45510311.196863
2015-10-31,45464282.1653146
2015-11-01,45461123.2335076
2015-11-02,45458801.2482498
2015-11-03,45455751.8836653
2015-11-04,45332396.4706463
2015-11-05,45501911.176272
2015-11-06,51308838.3088786
2015-11-07,50538838.7121119
2015-11-08,50581109.7856249
2015-11-09,49828524.4955106
2015-11-10,49909749.6428162
2015-11-11,49971706.8859325
2015-11-12,50165476.6278329
2015-11-13,51785967.5652946
2015-11-14,51998611.0093031
2015-11-15,52523867.290661
2015-11-16,52636815.2634699
2015-11-17,51928412.2512955
2015-11-18,51593258.6645224
2015-11-19,51664574.367134
2015-11-20,51765946.9547177
2015-11-21,51888098.3385144
2015-11-22,51909122.7200009
2015-11-23,51744348.1038875
2015-11-24,51868879.3662791
2015-11-25,51909387.633619
