Date,supply/profit_sum
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,118.92019
2015-08-09,7818.264785
2015-08-10,46805.429991
2015-08-11,1597835.629292
2015-08-12,1833578.799538
2015-08-13,5079464.124683
2015-08-14,5669225.522248
2015-08-15,2814858.967462
2015-08-16,3430273.878879
2015-08-17,459008.477847
2015-08-18,333756.017992
2015-08-19,1626431.966488
2015-08-20,6070226.405771
2015-08-21,5713559.66479
2015-08-22,5748863.601544
2015-08-23,4885474.316824
2015-08-24,508580.476612
2015-08-25,327649.879508
2015-08-26,393657.882051
2015-08-27,385645.563668
2015-08-28,590743.397153
2015-08-29,765571.444134
2015-08-30,5969611.238562
2015-08-31,6501893.941283
2015-09-01,6376856.426844
2015-09-02,5723427.27287
2015-09-03,1351388.088934
2015-09-04,1586603.286474
2015-09-05,6520771.82669
2015-09-06,6073861.893405
2015-09-07,1198145.240801
2015-09-08,1393759.523445
2015-09-09,842034.316324
2015-09-10,601762.812118
2015-09-11,203465.322
2015-09-12,343670.13448
2015-09-13,128737.152927
2015-09-14,119762.974527
2015-09-15,935226.968331
2015-09-16,157579.832856
2015-09-17,165036.003203
2015-09-18,138972.048818
2015-09-19,267164.472048
2015-09-20,1019376.171473
2015-09-21,1179948.342293
2015-09-22,970242.084995
2015-09-23,742456.746993
2015-09-24,114819.31256
2015-09-25,89027.942352
2015-09-26,357206.452369
2015-09-27,78549.552529
2015-09-28,97.946108
2015-09-29,72865.893305
2015-09-30,319440.09716
2015-10-01,74852.581583
2015-10-02,244477.9548
2015-10-03,240184.216587
2015-10-04,72253.888458
2015-10-05,20146.479756
2015-10-06,277488.595781
2015-10-07,35807.363223
2015-10-08,373902.985406
2015-10-09,372164.42132
2015-10-10,141696.145127
2015-10-11,380131.963983
2015-10-12,125972.784005
2015-10-13,186028.466364
2015-10-14,7339.345588
2015-10-15,15397.241847
2015-10-16,19462.760498
2015-10-17,46672.472368
2015-10-18,8820.023117
2015-10-19,1319.674042
2015-10-20,506.9775
2015-10-21,20320.355232
2015-10-22,856747.076038
2015-10-23,166486.656877
2015-10-24,572107.01785
2015-10-25,2040063.911638
2015-10-26,3524011.420098
2015-10-27,5748943.044333
2015-10-28,7101571.198032
2015-10-29,13701446.881329
2015-10-30,7362089.459849
2015-10-31,5899707.783711
2015-11-01,7700770.157918
2015-11-02,7074852.315885
2015-11-03,7360173.212489
2015-11-04,5840176.336093
2015-11-05,5942410.769034
2015-11-06,6593216.749955
2015-11-07,7354350.970996
2015-11-08,9018427.026974
2015-11-09,8235409.898092
2015-11-10,6672926.858799
2015-11-11,3144136.976033
2015-11-12,6462819.602203
2015-11-13,6841813.664383
2015-11-14,6628848.171769
