Date,transactions/contract_calls_internal_count
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,2.0
2015-08-10,0.0
2015-08-11,15.0
2015-08-12,2.0
2015-08-13,35.0
2015-08-14,12.0
2015-08-15,2.0
2015-08-16,1.0
2015-08-17,1.0
2015-08-18,15.0
2015-08-19,8.0
2015-08-20,19.0
2015-08-21,1.0
2015-08-22,0.0
2015-08-23,8.0
2015-08-24,53.0
2015-08-25,91.0
2015-08-26,73.0
2015-08-27,165.0
2015-08-28,407.0
2015-08-29,133.0
2015-08-30,115.0
2015-08-31,153.0
2015-09-01,83.0
2015-09-02,194.0
2015-09-03,60.0
2015-09-04,12.0
2015-09-05,36.0
2015-09-06,14.0
2015-09-07,31.0
2015-09-08,17.0
2015-09-09,44.0
2015-09-10,91.0
2015-09-11,71.0
2015-09-12,45.0
2015-09-13,48.0
2015-09-14,59.0
2015-09-15,55.0
2015-09-16,372.0
2015-09-17,187.0
2015-09-18,131.0
2015-09-19,34.0
2015-09-20,99.0
2015-09-21,12.0
2015-09-22,17.0
2015-09-23,4.0
2015-09-24,3.0
2015-09-25,107.0
2015-09-26,25.0
2015-09-27,166.0
2015-09-28,45.0
2015-09-29,14.0
2015-09-30,51.0
2015-10-01,143.0
2015-10-02,146.0
2015-10-03,29.0
2015-10-04,88.0
2015-10-05,83.0
2015-10-06,143.0
2015-10-07,167.0
2015-10-08,186.0
2015-10-09,102.0
2015-10-10,667.0
2015-10-11,291.0
2015-10-12,59.0
2015-10-13,116.0
2015-10-14,185.0
2015-10-15,337.0
2015-10-16,159.0
2015-10-17,89.0
2015-10-18,173.0
2015-10-19,51.0
2015-10-20,59.0
2015-10-21,239.0
2015-10-22,817.0
2015-10-23,1397.0
2015-10-24,1980.0
2015-10-25,460.0
2015-10-26,787.0
2015-10-27,405.0
2015-10-28,236.0
2015-10-29,286.0
2015-10-30,130.0
2015-10-31,583.0
2015-11-01,419.0
2015-11-02,181.0
2015-11-03,118.0
2015-11-04,48.0
2015-11-05,83.0
2015-11-06,3283.0
2015-11-07,14074.0
2015-11-08,3075.0
2015-11-09,334.0
2015-11-10,5823.0
2015-11-11,18606.0
2015-11-12,15848.0
2015-11-13,5362.0
2015-11-14,375.0
2015-11-15,59.0
2015-11-16,169.0
2015-11-17,208.0
2015-11-18,53.0
2015-11-19,6212.0
2015-11-20,121.0
2015-11-21,63.0
2015-11-22,113.0
2015-11-23,95.0
2015-11-24,19.0
2015-11-25,85.0
2015-11-26,31.0
2015-11-27,86.0
2015-11-28,128.0
2015-11-29,45.0
2015-11-30,27.0
2015-12-01,45.0
2015-12-02,30.0
2015-12-03,52.0
2015-12-04,106.0
