Date,transactions/transfers_to_exchanges_count
2015-08-07,970.0
2015-08-08,505.0
2015-08-09,412.0
2015-08-10,392.0
2015-08-11,458.0
2015-08-12,532.0
2015-08-13,811.0
2015-08-14,1021.0
2015-08-15,679.0
2015-08-16,766.0
2015-08-17,791.0
2015-08-18,745.0
2015-08-19,971.0
2015-08-20,450.0
2015-08-21,1398.0
2015-08-22,1183.0
2015-08-23,1364.0
2015-08-24,1519.0
2015-08-25,1410.0
2015-08-26,1276.0
2015-08-27,1802.0
2015-08-28,1491.0
2015-08-29,1342.0
2015-08-30,1404.0
2015-08-31,1464.0
2015-09-01,1382.0
2015-09-02,1372.0
2015-09-03,1341.0
2015-09-04,1482.0
2015-09-05,1660.0
2015-09-06,1667.0
2015-09-07,1742.0
2015-09-08,1794.0
2015-09-09,1808.0
2015-09-10,1603.0
2015-09-11,1815.0
2015-09-12,1741.0
2015-09-13,1695.0
2015-09-14,1685.0
2015-09-15,1539.0
2015-09-16,1450.0
2015-09-17,1385.0
2015-09-18,1272.0
2015-09-19,1348.0
2015-09-20,1671.0
2015-09-21,1712.0
2015-09-22,1849.0
2015-09-23,1931.0
2015-09-24,1750.0
2015-09-25,1761.0
2015-09-26,1777.0
2015-09-27,1815.0
2015-09-28,1714.0
2015-09-29,1693.0
2015-09-30,1860.0
2015-10-01,1931.0
2015-10-02,1812.0
2015-10-03,1769.0
2015-10-04,1771.0
2015-10-05,1708.0
2015-10-06,1759.0
2015-10-07,1845.0
2015-10-08,1827.0
2015-10-09,1800.0
2015-10-10,1726.0
2015-10-11,1587.0
2015-10-12,1689.0
2015-10-13,1724.0
2015-10-14,1722.0
2015-10-15,1602.0
2015-10-16,1676.0
2015-10-17,1705.0
2015-10-18,1605.0
2015-10-19,1631.0
2015-10-20,1531.0
2015-10-21,1585.0
2015-10-22,1609.0
2015-10-23,1743.0
2015-10-24,1527.0
2015-10-25,1413.0
2015-10-26,1560.0
2015-10-27,1820.0
2015-10-28,1987.0
2015-10-29,2034.0
2015-10-30,2207.0
2015-10-31,2027.0
2015-11-01,1767.0
2015-11-02,1723.0
2015-11-03,2028.0
2015-11-04,1953.0
2015-11-05,2012.0
2015-11-06,1677.0
2015-11-07,1637.0
