Date,supply/active_1w_1m
2009-01-03,"0,0"
2009-01-09,"0,0"
2009-01-10,"50,0"
2009-01-11,"50,0"
2009-01-12,"50,0"
2009-01-13,"50,0"
2009-01-14,"50,0"
2009-01-15,"50,0"
2009-01-16,"700,0"
2009-01-17,"3750,0"
2009-01-18,"8400,0"
2009-01-19,"13139,0"
2009-01-20,"18989,0"
2009-01-21,"24800,0"
2009-01-22,"31075,0"
2009-01-23,"36425,0"
2009-01-24,"41375,0"
2009-01-25,"46475,0"
2009-01-26,"52700,0"
2009-01-27,"58350,0"
2009-01-28,"63400,0"
2009-01-29,"68200,0"
2009-01-30,"72550,0"
2009-01-31,"81700,0"
2009-02-01,"90900,0"
2009-02-02,"96450,0"
2009-02-03,"101300,0"
2009-02-04,"106650,0"
2009-02-05,"113300,0"
2009-02-06,"119150,0"
2009-02-07,"125950,0"
2009-02-08,"129950,0"
2009-02-09,"132150,0"
2009-02-10,"134500,0"
2009-02-11,"135410,96"
2009-02-12,"135710,96"
2009-02-13,"135949,96"
2009-02-14,"136924,96"
2009-02-15,"138724,96"
2009-02-16,"142574,96"
2009-02-17,"143424,96"
2009-02-18,"144250,0"
2009-02-19,"144300,0"
2009-02-20,"145300,0"
2009-02-21,"146950,0"
2009-02-22,"149150,0"
2009-02-23,"146350,0"
2009-02-24,"142750,0"
2009-02-25,"143100,0"
2009-02-26,"145350,0"
2009-02-27,"145500,0"
2009-02-28,"144600,0"
2009-03-01,"145200,0"
2009-03-02,"143850,0"
2009-03-03,"143350,0"
2009-03-04,"142250,0"
2009-03-05,"140400,04"
2009-03-06,"141950,04"
2009-03-07,"141050,04"
2009-03-08,"139750,04"
2009-03-09,"137650,04"
2009-03-10,"135550,04"
2009-03-11,"132850,04"
2009-03-12,"132800,04"
2009-03-13,"131500,0"
2009-03-14,"130950,0"
2009-03-15,"131900,0"
2009-03-16,"129150,0"
2009-03-17,"127500,0"
2009-03-18,"125650,0"
2009-03-19,"125750,0"
2009-03-20,"126250,0"
2009-03-21,"125150,0"
2009-03-22,"125200,0"
2009-03-23,"128000,0"
2009-03-24,"127350,0"
2009-03-25,"128550,0"
2009-03-26,"129100,0"
2009-03-27,"130300,0"
2009-03-28,"127200,0"
2009-03-29,"125900,0"
2009-03-30,"126950,0"
2009-03-31,"127100,0"
2009-04-01,"127650,0"
2009-04-02,"129500,0"
2009-04-03,"128350,0"
2009-04-04,"129500,0"
2009-04-05,"129900,0"
2009-04-06,"130500,0"
2009-04-07,"131050,0"
2009-04-08,"131750,0"
2009-04-09,"132550,0"
2009-04-10,"132750,0"
2009-04-11,"132700,0"
2009-04-12,"133600,0"
2009-04-13,"133500,0"
2009-04-14,"132400,0"
2009-04-15,"129350,0"
2009-04-16,"128800,0"
2009-04-17,"128050,0"
2009-04-18,"128350,0"
2009-04-19,"128400,0"
2009-04-20,"127900,0"
2009-04-21,"127800,0"
2009-04-22,"127100,0"
2009-04-23,"128100,0"
2009-04-24,"128350,0"
2009-04-25,"127700,0"
2009-04-26,"129150,0"
2009-04-27,"134350,0"
2009-04-28,"135050,0"
2009-04-29,"135250,0"
2009-04-30,"132050,0"
2009-05-01,"132250,0"
2009-05-02,"132100,0"
2009-05-03,"133050,0"
2009-05-04,"133000,0"
2009-05-05,"131800,0"
2009-05-06,"133700,0"
2009-05-07,"135100,0"
2009-05-08,"135800,0"
2009-05-09,"137900,0"
2009-05-10,"137900,0"
2009-05-11,"139850,0"
2009-05-12,"140850,0"
2009-05-13,"142000,0"
2009-05-14,"142300,0"
2009-05-15,"141700,0"
2009-05-16,"139500,0"
2009-05-17,"138050,0"
2009-05-18,"137900,0"
2009-05-19,"138100,0"
2009-05-20,"132100,0"
2009-05-21,"133300,0"
2009-05-22,"134950,0"
2009-05-23,"137400,0"
2009-05-24,"138300,0"
2009-05-25,"138650,0"
2009-05-26,"136700,0"
2009-05-27,"137550,0"
2009-05-28,"136100,0"
2009-05-29,"130050,0"
2009-05-30,"125450,0"
2009-05-31,"124550,0"
2009-06-01,"123150,0"
2009-06-02,"124100,0"
2009-06-03,"122300,0"
2009-06-04,"120000,0"
2009-06-05,"121750,0"
2009-06-06,"121100,0"
2009-06-07,"120600,0"
2009-06-08,"120450,0"
2009-06-09,"121850,0"
2009-06-10,"119300,0"
2009-06-11,"116100,0"
2009-06-12,"112000,0"
2009-06-13,"106400,0"
2009-06-14,"100350,0"
2009-06-15,"98750,0"
2009-06-16,"97150,0"
2009-06-17,"95500,0"
2009-06-18,"95850,0"
2009-06-19,"94650,0"
2009-06-20,"94650,0"
2009-06-21,"95350,0"
2009-06-22,"95350,0"
2009-06-23,"94150,0"
2009-06-24,"92800,01"
2009-06-25,"90450,01"
2009-06-26,"88800,01"
2009-06-27,"87850,01"
2009-06-28,"83850,01"
2009-06-29,"85500,01"
2009-06-30,"84550,01"
2009-07-01,"85998,98"
2009-07-02,"84848,98"
2009-07-03,"85748,98"
2009-07-04,"86598,98"
2009-07-05,"87373,98"
2009-07-06,"90053,98"
2009-07-07,"93548,98"
2009-07-08,"93248,98"
2009-07-09,"93148,98"
2009-07-10,"93348,98"
2009-07-11,"93648,98"
2009-07-12,"93498,98"
2009-07-13,"93948,98"
2009-07-14,"93998,98"
2009-07-15,"93748,98"
2009-07-16,"94498,98"
2009-07-17,"94598,98"
2009-07-18,"94798,98"
2009-07-19,"94548,98"
