Date,transactions/size_sum
2009-01-12,"1777,0"
2009-01-14,"427,0"
2009-01-15,"2852,0"
2009-01-16,"588,0"
2009-01-18,"426,0"
2009-01-19,"1946,0"
2009-01-20,"997,0"
2009-01-21,"312,0"
2009-01-22,"1185,0"
2009-01-23,"1155,0"
2009-01-24,"1227,0"
2009-01-25,"200,0"
2009-01-26,"2324,0"
2009-01-27,"426,0"
2009-01-29,"1417,0"
2009-01-31,"2326,0"
2009-02-01,"271,0"
2009-02-02,"159,0"
2009-02-03,"4532,0"
2009-02-07,"3159,0"
2009-02-08,"224,0"
2009-02-09,"5055,0"
2009-02-11,"1766,0"
2009-02-15,"1742,0"
2009-02-16,"3463,0"
2009-02-19,"1871,0"
2009-02-22,"1555,0"
2009-02-27,"4150,0"
2009-02-28,"844,0"
2009-03-03,"998,0"
2009-03-04,"3018,0"
2009-03-05,"953,0"
2009-03-08,"3184,0"
2009-03-12,"427,0"
2009-03-13,"1521,0"
2009-03-16,"5511,0"
2009-03-18,"1687,0"
2009-03-20,"1410,0"
2009-03-22,"1342,0"
2009-03-26,"3235,0"
2009-03-28,"2414,0"
2009-03-31,"3693,0"
2009-04-05,"2024,0"
2009-04-11,"887,0"
2009-04-12,"1039,0"
2009-04-13,"234,0"
2009-04-18,"775,0"
2009-04-19,"954,0"
2009-04-20,"13240,0"
2009-04-21,"234,0"
2009-04-26,"1802,0"
2009-04-29,"2318,0"
2009-05-02,"1948,0"
2009-05-03,"846,0"
2009-05-04,"3469,0"
2009-05-05,"1187,0"
2009-05-11,"350,0"
2009-05-13,"1093,0"
2009-05-14,"749,0"
2009-05-15,"1182,0"
2009-05-29,"6883,0"
2009-06-01,"276,0"
2009-06-22,"6876,0"
2009-06-24,"547,0"
2009-06-25,"2321,0"
2009-06-28,"235,0"
2009-06-29,"234,0"
2009-06-30,"453,0"
2009-07-01,"273,0"
2009-07-02,"235,0"
2009-07-20,"13918,0"
2009-07-29,"271,0"
2009-07-30,"233,0"
2009-08-07,"12767,0"
2009-08-26,"5757,0"
2009-08-30,"159,0"
2009-08-31,"729,0"
2009-09-03,"1642,0"
2009-09-07,"1526,0"
2009-09-16,"224,0"
2009-09-17,"11634,0"
2009-09-21,"954,0"
2009-09-22,"4606,0"
2009-09-25,"3054,0"
2009-09-27,"1867,0"
2009-09-29,"4988,0"
2009-10-02,"1183,0"
2009-10-06,"1862,0"
2009-10-12,"8617,0"
2009-10-16,"9408,0"
2009-10-18,"841,0"
2009-10-20,"11633,0"
2009-10-21,"2095,0"
2009-10-22,"4736,0"
2009-10-24,"907,0"
2009-10-27,"1933,0"
2009-10-29,"4770,0"
2009-11-04,"4960,0"
2009-11-11,"7417,0"
2009-11-13,"1833,0"
2009-11-19,"11183,0"
2009-12-01,"19569,0"
2009-12-05,"2170,0"
2009-12-06,"505,0"
2009-12-08,"3506,0"
2009-12-09,"4547,0"
2009-12-12,"7802,0"
2009-12-14,"38341,0"
2009-12-15,"1248,0"
2009-12-16,"1985,0"
2009-12-17,"1620,0"
2009-12-19,"159,0"
2009-12-21,"158,0"
2009-12-25,"233,0"
2009-12-27,"656,0"
2010-01-01,"316,0"
2010-01-04,"9649,0"
2010-01-12,"24882,0"
2010-01-13,"466,0"
2010-01-14,"1296,0"
2010-01-15,"615,0"
2010-01-16,"833,0"
2010-01-18,"233,0"
2010-01-21,"3428,0"
2010-01-22,"780,0"
2010-01-23,"460,0"
2010-01-24,"157,0"
2010-01-25,"7531,0"
2010-01-26,"2833,0"
2010-01-27,"2364,0"
2010-01-28,"2479,0"
2010-01-29,"2381,0"
2010-01-30,"4133,0"
2010-01-31,"2181,0"
2010-02-01,"3343,0"
2010-02-02,"2436,0"
2010-02-03,"773,0"
2010-02-04,"5085,0"
2010-02-05,"28319,0"
2010-02-06,"4109,0"
2010-02-07,"1555,0"
2010-02-08,"15012,0"
2010-02-09,"47859,0"
2010-02-10,"69379,0"
2010-02-11,"8650,0"
2010-02-12,"7372,0"
2010-02-13,"9962,0"
2010-02-14,"7715,0"
2010-02-15,"11106,0"
2010-02-16,"2310,0"
2010-02-17,"4370,0"
2010-02-18,"7006,0"
2010-02-19,"874,0"
2010-02-20,"1610,0"
2010-02-21,"14614,0"
2010-02-22,"30773,0"
2010-02-23,"158,0"
2010-02-24,"12534,0"
2010-02-25,"16540,0"
2010-02-26,"2670,0"
2010-02-27,"1337,0"
2010-02-28,"12281,0"
2010-03-01,"3829,0"
2010-03-02,"4821,0"
2010-03-03,"14338,0"
2010-03-04,"44281,0"
2010-03-05,"382,0"
2010-03-06,"11132,0"
2010-03-07,"13422,0"
2010-03-08,"21005,0"
2010-03-09,"9317,0"
2010-03-10,"5480,0"
2010-03-11,"7435,0"
2010-03-12,"890,0"
2010-03-13,"4146,0"
2010-03-14,"1424,0"
2010-03-15,"1206,0"
2010-03-16,"3062,0"
2010-03-17,"3068,0"
2010-03-18,"9900,0"
2010-03-19,"14949,0"
2010-03-20,"9620,0"
2010-03-21,"1400,0"
2010-03-22,"4956,0"
2010-03-23,"9626,0"
2010-03-24,"4714,0"
2010-03-25,"40217,0"
2010-03-26,"9576,0"
2010-03-27,"3276,0"
2010-03-28,"2625,0"
2010-03-29,"8344,0"
2010-03-30,"1561,0"
2010-03-31,"3210,0"
2010-04-01,"3671,0"
2010-04-02,"2506,0"
2010-04-03,"3328,0"
2010-04-04,"8545,0"
2010-04-05,"19377,0"
2010-04-06,"12823,0"
2010-04-07,"12956,0"
2010-04-08,"8421,0"
2010-04-09,"25541,0"
2010-04-10,"35166,0"
2010-04-11,"23978,0"
2010-04-12,"23479,0"
2010-04-13,"5608,0"
2010-04-14,"17336,0"
2010-04-15,"88305,0"
2010-04-16,"28205,0"
2010-04-17,"12957,0"
2010-04-18,"833941,0"
2010-04-19,"39239,0"
2010-04-20,"28811,0"
2010-04-21,"20042,0"
2010-04-22,"10259,0"
2010-04-23,"13807,0"
2010-04-24,"23652,0"
2010-04-25,"24663,0"
2010-04-26,"17210,0"
2010-04-27,"15641,0"
2010-04-28,"20230,0"
2010-04-29,"9507,0"
2010-04-30,"8457,0"
2010-05-01,"10059,0"
2010-05-02,"6585,0"
2010-05-03,"15852,0"
2010-05-04,"28654,0"
2010-05-05,"24592,0"
2010-05-06,"34452,0"
2010-05-07,"13007,0"
2010-05-08,"33762,0"
2010-05-09,"18402,0"
2010-05-10,"19967,0"
2010-05-11,"6102,0"
2010-05-12,"19136,0"
2010-05-13,"16447,0"
2010-05-14,"164662,0"
2010-05-15,"182019,0"
2010-05-16,"6578,0"
2010-05-17,"18872,0"
2010-05-18,"20567,0"
2010-05-19,"20431,0"
2010-05-20,"11956,0"
2010-05-21,"27864,0"
2010-05-22,"41692,0"
2010-05-23,"33046,0"
2010-05-24,"18032,0"
2010-05-25,"17214,0"
2010-05-26,"27085,0"
2010-05-27,"28178,0"
2010-05-28,"17957,0"
2010-05-29,"24455,0"
2010-05-30,"14134,0"
2010-05-31,"15060,0"
2010-06-01,"17011,0"
2010-06-02,"12443,0"
2010-06-03,"35733,0"
2010-06-04,"11309,0"
2010-06-05,"14242,0"
2010-06-06,"18024,0"
2010-06-07,"38836,0"
2010-06-08,"20084,0"
2010-06-09,"25443,0"
2010-06-10,"15176,0"
2010-06-11,"25768,0"
2010-06-12,"20909,0"
2010-06-13,"23470,0"
2010-06-14,"38287,0"
2010-06-15,"26285,0"
2010-06-16,"27396,0"
2010-06-17,"15459,0"
2010-06-18,"17680,0"
2010-06-19,"39780,0"
2010-06-20,"15088,0"
2010-06-21,"27504,0"
2010-06-22,"26960,0"
2010-06-23,"25482,0"
2010-06-24,"24799,0"
2010-06-25,"14936,0"
2010-06-26,"11209,0"
2010-06-27,"17215,0"
2010-06-28,"20378,0"
2010-06-29,"38019,0"
2010-06-30,"180463,0"
2010-07-01,"29795,0"
2010-07-02,"77481,0"
2010-07-03,"26741,0"
2010-07-04,"42861,0"
2010-07-05,"26382,0"
2010-07-06,"13716,0"
2010-07-07,"32141,0"
2010-07-08,"19614,0"
2010-07-09,"18824,0"
2010-07-10,"24823,0"
2010-07-11,"51548,0"
2010-07-12,"459097,0"
2010-07-13,"210718,0"
2010-07-14,"1520808,0"
2010-07-15,"409617,0"
2010-07-16,"199955,0"
2010-07-17,"89064,0"
2010-07-18,"108428,0"
2010-07-19,"108090,0"
2010-07-20,"153831,0"
2010-07-21,"84395,0"
2010-07-22,"62859,0"
2010-07-23,"60610,0"
2010-07-24,"247720,0"
2010-07-25,"695316,0"
2010-07-26,"190425,0"
2010-07-27,"90379,0"
2010-07-28,"510201,0"
2010-07-29,"402387,0"
2010-07-30,"73427,0"
2010-07-31,"51675,0"
2010-08-01,"51613,0"
2010-08-02,"53613,0"
2010-08-03,"138255,0"
2010-08-04,"66418,0"
2010-08-05,"155249,0"
2010-08-06,"79537,0"
2010-08-07,"65843,0"
2010-08-08,"62335,0"
2010-08-09,"256190,0"
2010-08-10,"49613,0"
2010-08-11,"65415,0"
2010-08-12,"52958,0"
2010-08-13,"133647,0"
2010-08-14,"77693,0"
2010-08-15,"38964,0"
2010-08-16,"122584,0"
2010-08-17,"59271,0"
2010-08-18,"237974,0"
2010-08-19,"55013,0"
2010-08-20,"73303,0"
2010-08-21,"56005,0"
2010-08-22,"54462,0"
2010-08-23,"58014,0"
2010-08-24,"133390,0"
2010-08-25,"43139,0"
2010-08-26,"72816,0"
2010-08-27,"44346,0"
2010-08-28,"66590,0"
2010-08-29,"32093,0"
2010-08-30,"67920,0"
2010-08-31,"140038,0"
2010-09-01,"106594,0"
2010-09-02,"61193,0"
2010-09-03,"47786,0"
2010-09-04,"35090,0"
2010-09-05,"54534,0"
2010-09-06,"45862,0"
2010-09-07,"40339,0"
2010-09-08,"56909,0"
2010-09-09,"67350,0"
2010-09-10,"61111,0"
2010-09-11,"46404,0"
2010-09-12,"85776,0"
2010-09-13,"95933,0"
2010-09-14,"77603,0"
2010-09-15,"93236,0"
2010-09-16,"73525,0"
2010-09-17,"106168,0"
2010-09-18,"56117,0"
2010-09-19,"61321,0"
2010-09-20,"96727,0"
2010-09-21,"230368,0"
2010-09-22,"178665,0"
2010-09-23,"144462,0"
2010-09-24,"90532,0"
2010-09-25,"116054,0"
2010-09-26,"75681,0"
2010-09-27,"169821,0"
2010-09-28,"213255,0"
2010-09-29,"325395,0"
2010-09-30,"78412,0"
2010-10-01,"136979,0"
2010-10-02,"160101,0"
2010-10-03,"88203,0"
2010-10-04,"106560,0"
2010-10-05,"98806,0"
2010-10-06,"84535,0"
2010-10-07,"72378,0"
2010-10-08,"99697,0"
2010-10-09,"108838,0"
2010-10-10,"73742,0"
2010-10-11,"70002,0"
2010-10-12,"74792,0"
2010-10-13,"114999,0"
2010-10-14,"72411,0"
2010-10-15,"55871,0"
