Date,transactions/transfers_from_exchanges_count
2015-08-07,"0,0"
2015-08-08,"71,0"
2015-08-09,"141,0"
2015-08-10,"173,0"
2015-08-11,"156,0"
2015-08-12,"138,0"
2015-08-13,"433,0"
2015-08-14,"386,0"
2015-08-15,"242,0"
2015-08-16,"209,0"
2015-08-17,"198,0"
2015-08-18,"294,0"
2015-08-19,"182,0"
2015-08-20,"164,0"
2015-08-21,"268,0"
2015-08-22,"144,0"
2015-08-23,"136,0"
2015-08-24,"148,0"
2015-08-25,"127,0"
2015-08-26,"150,0"
2015-08-27,"112,0"
2015-08-28,"94,0"
2015-08-29,"112,0"
2015-08-30,"92,0"
2015-08-31,"119,0"
2015-09-01,"109,0"
2015-09-02,"87,0"
2015-09-03,"81,0"
2015-09-04,"69,0"
2015-09-05,"84,0"
2015-09-06,"66,0"
2015-09-07,"87,0"
2015-09-08,"117,0"
2015-09-09,"75,0"
2015-09-10,"94,0"
2015-09-11,"250,0"
2015-09-12,"85,0"
2015-09-13,"94,0"
2015-09-14,"122,0"
2015-09-15,"84,0"
2015-09-16,"80,0"
2015-09-17,"137,0"
2015-09-18,"93,0"
2015-09-19,"60,0"
2015-09-20,"59,0"
2015-09-21,"48,0"
2015-09-22,"51,0"
2015-09-23,"36,0"
2015-09-24,"77,0"
2015-09-25,"141,0"
2015-09-26,"117,0"
2015-09-27,"79,0"
2015-09-28,"191,0"
2015-09-29,"105,0"
2015-09-30,"73,0"
2015-10-01,"125,0"
2015-10-02,"47,0"
2015-10-03,"49,0"
2015-10-04,"49,0"
2015-10-05,"61,0"
2015-10-06,"62,0"
2015-10-07,"102,0"
2015-10-08,"59,0"
2015-10-09,"96,0"
2015-10-10,"35,0"
2015-10-11,"37,0"
2015-10-12,"49,0"
2015-10-13,"50,0"
2015-10-14,"111,0"
2015-10-15,"68,0"
2015-10-16,"81,0"
2015-10-17,"87,0"
2015-10-18,"70,0"
2015-10-19,"49,0"
2015-10-20,"67,0"
2015-10-21,"77,0"
2015-10-22,"79,0"
2015-10-23,"67,0"
2015-10-24,"53,0"
2015-10-25,"79,0"
2015-10-26,"68,0"
2015-10-27,"107,0"
2015-10-28,"133,0"
2015-10-29,"131,0"
2015-10-30,"193,0"
2015-10-31,"77,0"
