Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-09-17,"0,7317","0,7334","0,7297","0,7317",0,0,0
2003-09-18,"0,7321","0,7355","0,7307","0,7345",0,0,0
2003-09-19,"0,7342","0,7431","0,7337","0,7423",0,0,0
2003-09-22,"0,7455","0,7482","0,7378","0,7384",0,0,0
2003-09-23,"0,7381","0,7431","0,7365","0,738",0,0,0
2003-09-24,"0,7381","0,7417","0,7356","0,7407",0,0,0
2003-09-25,"0,7405","0,7434","0,7396","0,741",0,0,0
2003-09-26,"0,7411","0,7417","0,7366","0,7392",0,0,0
2003-09-29,"0,7388","0,7409","0,7332","0,7397",0,0,0
2003-09-30,"0,7395","0,7449","0,7378","0,7406",0,0,0
2003-10-01,"0,7409","0,7446","0,7401","0,7434",0,0,0
2003-10-02,"0,7435","0,7476","0,74","0,7462",0,0,0
2003-10-03,"0,7464","0,748","0,7417","0,7445",0,0,0
2003-10-06,"0,7427","0,747","0,7417","0,7468",0,0,0
2003-10-07,"0,7465","0,7535","0,7454","0,7512",0,0,0
2003-10-08,"0,7512","0,7545","0,7491","0,7506",0,0,0
2003-10-09,"0,7506","0,7531","0,7453","0,7472",0,0,0
2003-10-10,"0,7472","0,7585","0,7465","0,7561",0,0,0
2003-10-13,"0,758","0,7587","0,7541","0,7568",0,0,0
2003-10-14,"0,7563","0,7573","0,7511","0,7557",0,0,0
2003-10-15,"0,7569","0,7569","0,7516","0,7532",0,0,0
2003-10-16,"0,7532","0,7621","0,7518","0,7584",0,0,0
2003-10-17,"0,7585","0,7626","0,756","0,7613",0,0,0
2003-10-20,"0,7602","0,7613","0,7565","0,7581",0,0,0
2003-10-21,"0,758","0,7616","0,7547","0,759",0,0,0
2003-10-22,"0,759","0,7681","0,7586","0,7672",0,0,0
2003-10-23,"0,7672","0,7686","0,7627","0,7659",0,0,0
2003-10-24,"0,7658","0,7676","0,7643","0,7658",0,0,0
2003-10-27,"0,7648","0,766","0,7615","0,7628",0,0,0
2003-10-28,"0,7629","0,7652","0,7595","0,7634",0,0,0
2003-10-29,"0,7634","0,7656","0,7617","0,7623",0,0,0
2003-10-30,"0,7623","0,7662","0,7604","0,7606",0,0,0
2003-10-31,"0,7603","0,7614","0,7561","0,7594",0,0,0
2003-11-03,"0,7577","0,7585","0,7476","0,7497",0,0,0
2003-11-04,"0,7498","0,7532","0,7445","0,7514",0,0,0
2003-11-05,"0,7517","0,7531","0,7488","0,7496",0,0,0
2003-11-06,"0,7496","0,751","0,7455","0,7457",0,0,0
2003-11-07,"0,7459","0,7576","0,7451","0,7568",0,0,0
2003-11-10,"0,7556","0,7642","0,7547","0,762",0,0,0
