Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1971-01-04,"120,53","120,53","120,53","120,53",0,0,0
1971-01-05,"120,52","120,52","120,52","120,52",0,0,0
1971-01-06,"120,49","120,49","120,49","120,49",0,0,0
1971-01-07,"120,55","120,55","120,55","120,55",0,0,0
1971-01-08,"120,53","120,53","120,53","120,53",0,0,0
1971-01-11,"120,53","120,53","120,53","120,53",0,0,0
1971-01-12,"120,49","120,49","120,49","120,49",0,0,0
1971-01-13,"120,47","120,47","120,47","120,47",0,0,0
1971-01-14,"120,44","120,44","120,44","120,44",0,0,0
1971-01-15,"120,44","120,44","120,44","120,44",0,0,0
1971-01-18,"120,41","120,41","120,41","120,41",0,0,0
1971-01-19,"120,37","120,37","120,37","120,37",0,0,0
1971-01-20,"120,34","120,34","120,34","120,34",0,0,0
1971-01-21,"120,33","120,33","120,33","120,33",0,0,0
1971-01-22,"120,31","120,31","120,31","120,31",0,0,0
1971-01-25,"120,27","120,27","120,27","120,27",0,0,0
1971-01-26,"120,26","120,26","120,26","120,26",0,0,0
1971-01-27,"120,25","120,25","120,25","120,25",0,0,0
1971-01-28,"120,25","120,25","120,25","120,25",0,0,0
1971-01-29,"120,24","120,24","120,24","120,24",0,0,0
1971-02-01,"120,26","120,26","120,26","120,26",0,0,0
1971-02-02,"120,28","120,28","120,28","120,28",0,0,0
1971-02-03,"120,24","120,24","120,24","120,24",0,0,0
1971-02-04,"120,24","120,24","120,24","120,24",0,0,0
1971-02-05,"120,26","120,26","120,26","120,26",0,0,0
1971-02-08,"120,26","120,26","120,26","120,26",0,0,0
1971-02-09,"120,25","120,25","120,25","120,25",0,0,0
1971-02-10,"120,28","120,28","120,28","120,28",0,0,0
1971-02-11,"120,29","120,29","120,29","120,29",0,0,0
1971-02-16,"120,22","120,22","120,22","120,22",0,0,0
1971-02-17,"120,21","120,21","120,21","120,21",0,0,0
1971-02-18,"120,21","120,21","120,21","120,21",0,0,0
1971-02-19,"120,18","120,18","120,18","120,18",0,0,0
1971-02-22,"120,14","120,14","120,14","120,14",0,0,0
1971-02-23,"120,12","120,12","120,12","120,12",0,0,0
1971-02-24,"120,18","120,18","120,18","120,18",0,0,0
1971-02-25,"120,2","120,2","120,2","120,2",0,0,0
1971-02-26,"120,26","120,26","120,26","120,26",0,0,0
1971-03-01,"120,25","120,25","120,25","120,25",0,0,0
1971-03-02,"120,21","120,21","120,21","120,21",0,0,0
1971-03-03,"120,19","120,19","120,19","120,19",0,0,0
1971-03-04,"120,2","120,2","120,2","120,2",0,0,0
1971-03-05,"120,17","120,17","120,17","120,17",0,0,0
1971-03-08,"120,13","120,13","120,13","120,13",0,0,0
1971-03-09,"120,14","120,14","120,14","120,14",0,0,0
1971-03-10,"120,14","120,14","120,14","120,14",0,0,0
1971-03-11,"120,16","120,16","120,16","120,16",0,0,0
1971-03-12,"120,18","120,18","120,18","120,18",0,0,0
1971-03-15,"120,19","120,19","120,19","120,19",0,0,0
1971-03-16,"120,19","120,19","120,19","120,19",0,0,0
1971-03-17,"120,16","120,16","120,16","120,16",0,0,0
1971-03-18,"120,18","120,18","120,18","120,18",0,0,0
1971-03-19,"120,18","120,18","120,18","120,18",0,0,0
1971-03-22,"120,18","120,18","120,18","120,18",0,0,0
1971-03-23,"120,17","120,17","120,17","120,17",0,0,0
1971-03-24,"120,16","120,16","120,16","120,16",0,0,0
1971-03-25,"120,17","120,17","120,17","120,17",0,0,0
1971-03-26,"120,17","120,17","120,17","120,17",0,0,0
1971-03-29,"120,18","120,18","120,18","120,18",0,0,0
1971-03-30,"120,18","120,18","120,18","120,18",0,0,0
1971-03-31,"120,17","120,17","120,17","120,17",0,0,0
1971-04-01,"120,18","120,18","120,18","120,18",0,0,0
1971-04-02,"120,18","120,18","120,18","120,18",0,0,0
1971-04-05,"120,19","120,19","120,19","120,19",0,0,0
1971-04-06,"120,16","120,16","120,16","120,16",0,0,0
1971-04-07,"120,2","120,2","120,2","120,2",0,0,0
1971-04-08,"120,22","120,22","120,22","120,22",0,0,0
1971-04-12,"120,22","120,22","120,22","120,22",0,0,0
1971-04-13,"120,31","120,31","120,31","120,31",0,0,0
1971-04-14,"120,29","120,29","120,29","120,29",0,0,0
1971-04-15,"120,23","120,23","120,23","120,23",0,0,0
1971-04-16,"120,23","120,23","120,23","120,23",0,0,0
1971-04-19,"120,29","120,29","120,29","120,29",0,0,0
1971-04-20,"120,27","120,27","120,27","120,27",0,0,0
1971-04-21,"120,23","120,23","120,23","120,23",0,0,0
1971-04-22,"120,23","120,23","120,23","120,23",0,0,0
1971-04-23,"120,27","120,27","120,27","120,27",0,0,0
1971-04-26,"120,27","120,27","120,27","120,27",0,0,0
1971-04-27,"120,25","120,25","120,25","120,25",0,0,0
1971-04-28,"120,18","120,18","120,18","120,18",0,0,0
1971-04-29,"120,18","120,18","120,18","120,18",0,0,0
1971-04-30,"120,19","120,19","120,19","120,19",0,0,0
1971-05-03,"120,17","120,17","120,17","120,17",0,0,0
1971-05-04,"120,16","120,16","120,16","120,16",0,0,0
1971-05-05,"119,65","119,65","119,65","119,65",0,0,0
1971-05-06,"119,62","119,62","119,62","119,62",0,0,0
1971-05-07,"119,44","119,44","119,44","119,44",0,0,0
1971-05-10,"119,12","119,12","119,12","119,12",0,0,0
1971-05-11,"119,56","119,56","119,56","119,56",0,0,0
1971-05-12,"119,46","119,46","119,46","119,46",0,0,0
1971-05-13,"119,27","119,27","119,27","119,27",0,0,0
1971-05-14,"119,34","119,34","119,34","119,34",0,0,0
1971-05-17,"119,33","119,33","119,33","119,33",0,0,0
1971-05-18,"119,31","119,31","119,31","119,31",0,0,0
1971-05-19,"119,2","119,2","119,2","119,2",0,0,0
1971-05-20,"118,99","118,99","118,99","118,99",0,0,0
1971-05-21,"118,91","118,91","118,91","118,91",0,0,0
1971-05-24,"118,98","118,98","118,98","118,98",0,0,0
1971-05-25,"119,26","119,26","119,26","119,26",0,0,0
1971-05-26,"119,33","119,33","119,33","119,33",0,0,0
1971-05-27,"119,35","119,35","119,35","119,35",0,0,0
1971-05-28,"119,43","119,43","119,43","119,43",0,0,0
1971-06-01,"119,69","119,69","119,69","119,69",0,0,0
1971-06-02,"119,5","119,5","119,5","119,5",0,0,0
1971-06-03,"119,32","119,32","119,32","119,32",0,0,0
1971-06-04,"119,27","119,27","119,27","119,27",0,0,0
1971-06-07,"119,23","119,23","119,23","119,23",0,0,0
1971-06-08,"119,25","119,25","119,25","119,25",0,0,0
