Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-12-01,"1,7238","1,7272","1,7184","1,7186",0,0,0
2003-12-02,"1,719","1,7321","1,7173","1,7303",0,0,0
2003-12-03,"1,7305","1,7318","1,7252","1,7281",0,0,0
2003-12-04,"1,7274","1,729","1,7183","1,7207",0,0,0
2003-12-05,"1,7206","1,7331","1,7198","1,7331",0,0,0
2003-12-08,"1,7295","1,7362","1,7275","1,7342",0,0,0
2003-12-09,"1,7337","1,7478","1,7336","1,7454",0,0,0
2003-12-10,"1,7453","1,748","1,7359","1,7398",0,0,0
2003-12-11,"1,74","1,7477","1,7379","1,7462",0,0,0
2003-12-12,"1,7463","1,7511","1,7443","1,7473",0,0,0
2003-12-15,"1,7394","1,7486","1,7389","1,7473",0,0,0
2003-12-16,"1,7472","1,7561","1,744","1,7542",0,0,0
2003-12-17,"1,7542","1,7691","1,7504","1,7655",0,0,0
2003-12-18,"1,7654","1,7748","1,7638","1,771",0,0,0
2003-12-19,"1,7712","1,7728","1,7626","1,7652",0,0,0
2003-12-22,"1,7628","1,7672","1,7606","1,7643",0,0,0
2003-12-23,"1,7638","1,8344","1,763","1,7642",0,0,0
2003-12-24,"1,7638","1,7766","1,7635","1,7756",0,0,0
2003-12-25,"1,775","1,7763","1,7723","1,7754",0,0,0
2003-12-26,"1,7753","1,7763","1,7702","1,772",0,0,0
2003-12-29,"1,7724","1,7773","1,7706","1,7745",0,0,0
2003-12-30,"1,7741","1,7815","1,7729","1,778",0,0,0
2003-12-31,"1,778","1,7944","1,7778","1,7888",0,0,0
2004-01-01,"1,7888","1,7888","1,7817","1,7852",0,0,0
2004-01-02,"1,7856","1,795","1,7792","1,7937",0,0,0
2004-01-05,"1,7955","1,8103","1,7951","1,8072",0,0,0
2004-01-06,"1,8074","1,8278","1,8055","1,8213",0,0,0
2004-01-07,"1,8209","1,8256","1,8127","1,8178",0,0,0
2004-01-08,"1,8167","1,8356","1,8111","1,8339",0,0,0
2004-01-09,"1,834","1,8507","1,8291","1,8481",0,0,0
