Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-30,"4,95","4,95","4,89","4,93",2319,0,0
2000-08-31,"4,92","5,05","4,92","5,0",1612,0,0
2000-09-01,"5,03","5,03","4,99","5,0",1375,0,0
2000-09-05,"4,99","5,01","4,97","5,0",856,0,0
2000-09-06,"5,0","5,0","4,98","4,98",232,0,0
2000-09-07,"4,98","4,98","4,93","4,93",300,0,0
2000-09-08,"4,94","4,95","4,91","4,92",120,0,0
2000-09-11,"4,91","4,91","4,89","4,89",113,0,0
2000-09-12,"4,93","4,94","4,9","4,91",211,0,0
2000-09-13,"4,92","4,92","4,88","4,89",87,0,0
2000-09-14,"4,89","4,91","4,88","4,89",103,0,0
2000-09-15,"4,87","4,88","4,86","4,87",16,0,0
2000-09-18,"4,88","4,88","4,88","4,88",15,0,0
2000-09-19,"4,89","4,89","4,88","4,88",111,0,0
2000-09-20,"4,86","4,86","4,83","4,83",13,0,0
2000-09-21,"4,9","4,9","4,87","4,87",16,0,0
2000-09-22,"4,9","4,91","4,9","4,91",29,0,0
2000-09-25,"4,9","4,91","4,86","4,91",219,0,0
2000-09-26,"4,93","4,93","4,93","4,93",0,0,0
2000-09-27,"4,91","4,97","4,91","4,97",0,0,0
2000-09-28,"4,95","4,95","4,95","4,95",1,0,0
2000-09-29,"4,87","4,9","4,87","4,9",0,0,0
2000-10-02,"4,91","4,91","4,91","4,91",0,0,0
2000-10-03,"4,91","4,91","4,91","4,91",4,0,0
2000-10-04,"4,84","4,87","4,84","4,87",1,0,0
2000-10-05,"4,89","4,89","4,89","4,89",1,0,0
2000-10-06,"4,88","4,88","4,88","4,88",0,0,0
2000-10-09,"4,89","4,89","4,89","4,89",0,0,0
2000-10-10,"4,92","4,92","4,92","4,92",0,0,0
2000-10-11,"4,87","4,87","4,87","4,87",0,0,0
2000-10-12,"4,92","4,92","4,92","4,92",0,0,0
2000-10-13,"4,88","4,88","4,88","4,88",0,0,0
2000-10-16,"4,88","4,88","4,88","4,88",0,0,0
2000-10-17,"4,84","4,84","4,84","4,84",0,0,0
2000-10-18,"4,85","4,85","4,85","4,85",0,0,0
2000-10-19,"4,83","4,83","4,83","4,83",0,0,0
2000-10-20,"4,83","4,83","4,83","4,83",0,0,0
2000-10-23,"4,79","4,79","4,79","4,79",6,0,0
2000-10-24,"4,78","4,8","4,78","4,8",0,0,0
2000-10-25,"4,76","4,76","4,76","4,76",0,0,0
2000-10-26,"4,73","4,73","4,73","4,73",0,0,0
2000-10-27,"4,75","4,75","4,75","4,75",1,0,0
2000-10-30,"4,77","4,77","4,75","4,75",0,0,0
2000-10-31,"4,75","4,75","4,75","4,75",1,0,0
2000-11-01,"4,77","4,77","4,77","4,77",0,0,0
2000-11-02,"4,71","4,71","4,71","4,71",4,0,0
2000-11-03,"4,74","4,74","4,74","4,74",0,0,0
2000-11-06,"4,76","4,76","4,76","4,76",0,0,0
2000-11-07,"4,72","4,72","4,72","4,72",0,0,0
2000-11-08,"4,74","4,74","4,74","4,74",0,0,0
2000-11-09,"4,75","4,75","4,75","4,75",0,0,0
2000-11-10,"4,71","4,71","4,71","4,71",1,0,0
2000-11-13,"4,7","4,7","4,67","4,67",0,0,0
2000-11-14,"4,68","4,68","4,68","4,68",20,0,0
2000-11-15,"4,67","4,67","4,67","4,67",0,0,0
2000-11-16,"4,68","4,68","4,66","4,66",0,0,0
2000-11-17,"4,64","4,64","4,64","4,64",0,0,0
2000-11-20,"4,64","4,64","4,64","4,64",0,0,0
2000-11-21,"4,63","4,63","4,63","4,63",0,0,0
2000-11-22,"4,62","4,62","4,62","4,62",0,0,0
2000-11-27,"4,7","4,7","4,7","4,7",0,0,0
2000-11-28,"4,7","4,7","4,7","4,7",23582,0,0
2000-11-29,"4,7","4,71","4,6","4,61",4660,0,0
2000-11-30,"4,61","4,68","4,6","4,67",325,0,0
2000-12-01,"4,68","4,68","4,64","4,64",208,0,0
2000-12-04,"4,65","4,74","4,65","4,71",129,0,0
2000-12-05,"4,7","4,72","4,68","4,7",409,0,0
2000-12-06,"4,7","4,76","4,7","4,75",141,0,0
2000-12-07,"4,76","4,76","4,7","4,72",14,0,0
2000-12-08,"4,7","4,7","4,65","4,65",49,0,0
2000-12-11,"4,66","4,66","4,66","4,66",229,0,0
2000-12-12,"4,68","4,68","4,66","4,66",8,0,0
2000-12-13,"4,64","4,64","4,62","4,62",6,0,0
2000-12-14,"4,62","4,62","4,6","4,6",17,0,0
2000-12-15,"4,55","4,57","4,55","4,56",697,0,0
2000-12-18,"4,58","4,58","4,57","4,57",202,0,0
2000-12-19,"4,59","4,59","4,59","4,59",127,0,0
2000-12-20,"4,61","4,65","4,6","4,6",258,0,0
2000-12-21,"4,6","4,6","4,6","4,6",4,0,0
2000-12-22,"4,6","4,61","4,6","4,61",2,0,0
2000-12-26,"4,62","4,62","4,62","4,62",0,0,0
2000-12-27,"4,58","4,58","4,58","4,58",45,0,0
2000-12-28,"4,56","4,59","4,56","4,59",45,0,0
2000-12-29,"4,59","4,59","4,59","4,59",0,0,0
2001-01-02,"4,55","4,55","4,55","4,55",40,0,0
2001-01-03,"4,5","4,5","4,49","4,49",0,0,0
2001-01-04,"4,53","4,53","4,53","4,53",35,0,0
2001-01-05,"4,55","4,55","4,55","4,55",0,0,0
2001-01-08,"4,55","4,55","4,55","4,55",8,0,0
2001-01-09,"4,53","4,55","4,53","4,55",73,0,0
2001-01-10,"4,53","4,53","4,53","4,53",31,0,0
2001-01-11,"4,56","4,56","4,56","4,56",31,0,0
2001-01-12,"4,62","4,62","4,62","4,62",0,0,0
2001-01-16,"4,68","4,68","4,68","4,68",0,0,0
2001-01-17,"4,71","4,71","4,71","4,71",0,0,0
2001-01-18,"4,79","4,79","4,79","4,79",0,0,0
2001-01-19,"4,75","4,75","4,75","4,75",0,0,0
2001-01-22,"4,77","4,77","4,77","4,77",0,0,0
