Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-01-02,"3152,1","3172,63","3139,31","3172,4",235500,0,0
1992-01-03,"3172,4","3210,64","3165,92","3201,5",236200,0,0
1992-01-06,"3201,5","3213,33","3191,86","3200,1",272800,0,0
1992-01-07,"3200,1","3210,2","3184,48","3204,8",255100,0,0
1992-01-08,"3204,8","3229,2","3185,82","3203,9",290400,0,0
1992-01-09,"3203,9","3228,31","3192,75","3209,5",298200,0,0
1992-01-10,"3209,5","3217,13","3185,38","3199,5",234400,0,0
1992-01-13,"3199,5","3201,25","3179,11","3185,6",193000,0,0
1992-01-14,"3185,6","3248,88","3182,92","3246,2",242200,0,0
1992-01-15,"3246,2","3263,42","3232,11","3258,5",295600,0,0
1992-01-16,"3258,5","3262,75","3222,05","3249,6",381000,0,0
1992-01-17,"3249,6","3279,96","3243,29","3265,0",397800,0,0
1992-01-20,"3265,0","3269,9","3245,08","3254,0",181900,0,0
1992-01-21,"3254,0","3254,47","3215,34","3223,4",241600,0,0
1992-01-22,"3223,4","3256,04","3216,91","3255,8",215900,0,0
1992-01-23,"3255,8","3266,99","3222,94","3226,7",221400,0,0
1992-01-24,"3226,7","3248,43","3216,68","3232,8",226000,0,0
1992-01-27,"3232,8","3246,65","3230,55","3240,6",191100,0,0
1992-01-28,"3240,6","3275,49","3239,94","3272,1",249600,0,0
1992-01-29,"3272,1","3299,19","3218,47","3225,0",325000,0,0
1992-01-30,"3225,0","3247,32","3216,01","3244,9",220800,0,0
1992-01-31,"3244,9","3255,37","3222,72","3223,4",206100,0,0
1992-02-03,"3223,4","3239,04","3213,55","3234,1",188600,0,0
1992-02-04,"3234,1","3272,81","3229,43","3272,8",239700,0,0
1992-02-05,"3272,8","3282,2","3251,79","3257,6",273600,0,0
1992-02-06,"3257,6","3265,65","3238,6","3255,6",204900,0,0
1992-02-07,"3255,6","3269,9","3207,96","3225,4",216600,0,0
1992-02-10,"3225,4","3247,99","3223,84","3245,1",161000,0,0
1992-02-11,"3245,1","3259,62","3236,14","3251,6",234000,0,0
1992-02-12,"3251,6","3286,0","3244,63","3276,8",215800,0,0
1992-02-13,"3276,8","3283,99","3236,36","3246,7",222000,0,0
1992-02-14,"3246,7","3254,7","3221,82","3246,0",212600,0,0
1992-02-18,"3246,0","3268,56","3219,14","3224,7",219700,0,0
1992-02-19,"3224,7","3241,73","3215,34","3230,3",229300,0,0
1992-02-20,"3230,6","3283,77","3230,55","3280,6",258400,0,0
1992-02-21,"3280,6","3286,67","3252,91","3280,2",268400,0,0
1992-02-24,"3280,2","3289,8","3266,1","3282,4",178800,0,0
1992-02-25,"3282,2","3282,2","3240,38","3257,8",209800,0,0
1992-02-26,"3257,8","3290,92","3254,47","3283,3",211600,0,0
1992-02-27,"3283,3","3286,9","3265,88","3269,5",187100,0,0
1992-02-28,"3269,5","3293,38","3259,39","3267,7",179600,0,0
1992-03-02,"3267,7","3276,62","3261,4","3275,3",172200,0,0
1992-03-03,"3275,3","3295,62","3272,81","3290,3",195200,0,0
1992-03-04,"3290,3","3299,64","3268,56","3268,6",228000,0,0
1992-03-05,"3268,3","3268,34","3235,69","3241,5",182200,0,0
1992-03-06,"3241,5","3252,01","3213,77","3221,6",184600,0,0
1992-03-09,"3221,6","3227,19","3211,31","3215,1",165300,0,0
1992-03-10,"3215,1","3248,21","3214,67","3231,0",207300,0,0
1992-03-11,"3231,0","3233,45","3198,35","3208,6",176700,0,0
1992-03-12,"3208,6","3213,1","3188,28","3208,6",180800,0,0
1992-03-13,"3208,6","3237,03","3208,18","3235,9",163700,0,0
1992-03-16,"3235,9","3236,58","3208,41","3236,4",150500,0,0
1992-03-17,"3236,4","3260,06","3235,91","3256,0",180200,0,0
1992-03-18,"3256,0","3271,91","3246,2","3254,3",178900,0,0
1992-03-19,"3254,3","3269,9","3251,15","3261,4",171700,0,0
1992-03-20,"3261,4","3277,28","3255,81","3276,4",286400,0,0
1992-03-23,"3275,9","3275,94","3261,18","3272,1",156900,0,0
1992-03-24,"3272,1","3284,44","3249,11","3261,0",243800,0,0
1992-03-25,"3261,0","3276,39","3251,12","3259,4",189600,0,0
1992-03-26,"3259,4","3275,04","3251,34","3267,7",181200,0,0
1992-03-27,"3267,7","3268,11","3226,52","3231,4",151400,0,0
1992-03-30,"3231,4","3248,88","3229,43","3235,2",126400,0,0
1992-03-31,"3235,2","3260,73","3228,98","3235,5",151100,0,0
1992-04-01,"3235,5","3252,24","3215,34","3249,3",188400,0,0
1992-04-02,"3249,3","3259,62","3220,26","3234,1",190200,0,0
1992-04-03,"3234,1","3250,89","3211,31","3249,1",211500,0,0
1992-04-06,"3249,3","3276,83","3249,3","3275,5",201100,0,0
1992-04-07,"3275,5","3279,29","3211,09","3213,6",224900,0,0
1992-04-08,"3213,6","3213,6","3161,23","3181,4",297100,0,0
1992-04-09,"3181,8","3231,66","3181,8","3225,0",244900,0,0
1992-04-10,"3225,6","3262,97","3225,6","3255,4",186500,0,0
1992-04-13,"3255,4","3270,57","3248,43","3269,9",132200,0,0
1992-04-14,"3269,9","3322,23","3269,45","3306,1",260500,0,0
1992-04-15,"3307,0","3354,2","3307,0","3353,8",254600,0,0
1992-04-16,"3353,8","3366,5","3343,25","3366,5",278400,0,0
1992-04-20,"3365,6","3365,61","3315,52","3336,3",222900,0,0
1992-04-21,"3336,3","3350,63","3320,89","3343,3",200800,0,0
1992-04-22,"3343,3","3352,86","3330,72","3338,8",181600,0,0
1992-04-23,"3338,8","3352,86","3330,72","3348,6",248100,0,0
1992-04-24,"3348,6","3361,81","3323,12","3324,5",212200,0,0
