Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-09-10,"167,44","168,98","167,44","168,97",179800000,0,0
1987-09-11,"168,97","170,54","168,75","170,54",178000000,0,0
1987-09-14,"170,53","170,95","170,15","170,43",154400000,0,0
1987-09-15,"170,42","170,44","169,13","169,2",136200000,0,0
1987-09-16,"169,31","170,03","168,82","168,92",195700000,0,0
1987-09-17,"168,92","169,25","168,54","168,82",150700000,0,0
1987-09-18,"168,82","169,04","168,75","168,75",188100000,0,0
1987-09-21,"168,75","169,13","167,36","167,4",170100000,0,0
1987-09-22,"167,4","167,56","166,69","167,56",209500000,0,0
1987-09-23,"167,56","168,65","167,55","168,65",220300000,0,0
1987-09-24,"168,65","169,06","168,52","168,72",162200000,0,0
1987-09-25,"168,72","168,85","168,43","168,85",138000000,0,0
1987-09-28,"168,84","169,8","168,84","169,52",188100000,0,0
1987-09-29,"169,52","169,69","168,89","169,06",173500000,0,0
1987-09-30,"169,05","170,81","168,68","170,81",183100000,0,0
1987-10-01,"170,82","171,4","170,25","171,4",193200000,0,0
1987-10-02,"171,4","172,09","171,4","172,08",189100000,0,0
1987-10-05,"172,09","172,55","172,09","172,54",159700000,0,0
1987-10-06,"172,55","172,62","170,13","170,21",175600000,0,0
1987-10-07,"170,21","170,21","168,48","168,87",186300000,0,0
1987-10-08,"168,87","168,98","166,78","167,06",198700000,0,0
1987-10-09,"167,06","167,11","166,01","166,12",158300000,0,0
1987-10-12,"166,11","166,11","163,39","163,86",141900000,0,0
1987-10-13,"163,86","164,42","163,63","164,14",172900000,0,0
1987-10-14,"164,15","164,16","161,59","161,79",207400000,0,0
1987-10-15,"161,8","161,8","159,6","159,66",263200000,0,0
1987-10-16,"159,66","159,66","152,61","152,74",338500000,0,0
1987-10-19,"152,74","152,74","133,6","133,6",604300000,0,0
1987-10-20,"133,6","133,6","120,21","121,39",608100000,0,0
1987-10-21,"121,39","130,77","121,39","130,65",449600000,0,0
1987-10-22,"130,65","130,65","124,47","124,57",392200000,0,0
1987-10-23,"124,58","124,58","121,36","121,59",245600000,0,0
1987-10-26,"121,58","121,58","110,32","110,33",308800000,0,0
1987-10-27,"110,32","113,12","108,37","108,51",260200000,0,0
1987-10-28,"105,46","108,5","105,46","106,08",279400000,0,0
1987-10-29,"106,07","110,8","106,06","110,8",258100000,0,0
1987-10-30,"110,79","118,26","107,9","118,26",303400000,0,0
1987-11-02,"118,27","120,22","118,27","120,21",176000000,0,0
1987-11-03,"120,2","122,05","116,92","117,72",227800000,0,0
1987-11-04,"117,73","117,75","116,39","117,2",202500000,0,0
1987-11-05,"117,19","118,94","117,18","118,94",226000000,0,0
1987-11-06,"118,94","120,09","118,94","119,33",228290000,0,0
1987-11-09,"119,32","119,32","117,26","117,62",160690000,0,0
1987-11-10,"117,62","117,62","115,25","115,56",184310000,0,0
1987-11-11,"115,57","116,68","115,5","116,26",147850000,0,0
1987-11-12,"116,26","118,67","116,21","118,35",206280000,0,0
1987-11-13,"118,35","118,64","118,1","118,31",174920000,0,0
1987-11-16,"118,32","119,02","118,01","118,27",164340000,0,0
1987-11-17,"118,26","118,27","116,04","116,3",148240000,0,0
1987-11-18,"116,3","116,69","115,76","116,69",158260000,0,0
1987-11-19,"116,69","116,69","115,04","115,11",157140000,0,0
1987-11-20,"115,11","115,15","113,84","114,45",189170000,0,0
1987-11-23,"114,45","114,5","114,09","114,47",143160000,0,0
1987-11-24,"114,47","115,88","114,29","115,58",199520000,0,0
1987-11-25,"115,58","115,97","115,39","115,97",139780000,0,0
1987-11-27,"115,96","115,96","115,53","115,61",86360000,0,0
1987-11-30,"115,6","115,63","110,56","111,7",268910000,0,0
1987-12-01,"111,69","112,09","111,13","111,27",149870000,0,0
1987-12-02,"111,27","111,3","110,83","111,11",148890000,0,0
1987-12-03,"111,11","111,15","108,86","108,94",204160000,0,0
1987-12-04,"108,94","108,94","106,19","106,5",184800000,0,0
1987-12-07,"106,49","106,52","106,16","106,43",146660000,0,0
1987-12-08,"106,44","107,24","106,38","107,24",227310000,0,0
1987-12-09,"107,24","108,89","107,24","108,89",231430000,0,0
1987-12-10,"108,89","109,06","107,2","108,62",188960000,0,0
1987-12-11,"108,63","109,32","108,54","109,32",151680000,0,0
1987-12-14,"109,31","112,07","109,1","112,07",187680000,0,0
1987-12-15,"112,07","114,36","112,07","114,36",214970000,0,0
1987-12-16,"114,36","116,84","113,87","116,82",193820000,0,0
1987-12-17,"116,82","117,31","116,25","116,94",191780000,0,0
1987-12-18,"116,94","119,46","116,45","119,46",276220000,0,0
1987-12-21,"119,45","119,92","119,25","119,92",161790000,0,0
1987-12-22,"119,92","119,93","118,75","119,31",192650000,0,0
1987-12-23,"119,31","120,82","119,31","120,8",203110000,0,0
1987-12-24,"120,79","121,59","120,79","121,59",108800000,0,0
1987-12-28,"121,59","121,59","118,68","119,0",131220000,0,0
1987-12-29,"118,99","118,99","118,02","118,3",111580000,0,0
1987-12-30,"118,31","119,5","118,3","119,5",149230000,0,0
1987-12-31,"119,5","120,42","118,61","120,42",170140000,0,0
1988-01-04,"120,43","123,51","120,43","123,5",181810000,0,0
1988-01-05,"123,5","126,55","123,5","126,13",209520000,0,0
1988-01-06,"126,13","127,0","126,13","127,0",169730000,0,0
1988-01-07,"127,0","128,03","126,53","128,03",175360000,0,0
