Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02,"126,09","126,09","126,09","126,09",0,0,0
1990-01-03,"123,34","123,34","123,34","123,34",0,0,0
1990-01-04,"122,62","122,62","122,62","122,62",0,0,0
1990-01-05,"121,27","121,27","121,27","121,27",0,0,0
1990-01-08,"124,12","124,12","124,12","124,12",0,0,0
1990-01-09,"119,82","119,82","119,82","119,82",0,0,0
1990-01-10,"120,82","120,82","120,82","120,82",0,0,0
1990-01-11,"107,48","107,48","107,48","107,48",0,0,0
1990-01-12,"116,78","116,78","116,78","116,78",0,0,0
1990-01-15,"116,16","116,16","116,16","116,16",0,0,0
1990-01-16,"120,62","120,62","120,62","120,62",0,0,0
1990-01-17,"123,03","123,03","123,03","123,03",0,0,0
1990-01-18,"131,14","131,14","131,14","131,14",0,0,0
1990-01-19,"129,31","129,31","129,31","129,31",0,0,0
1990-01-22,"118,95","118,95","118,95","118,95",0,0,0
1990-01-23,"117,94","117,94","117,94","117,94",0,0,0
1990-01-24,"128,75","128,75","128,75","128,75",0,0,0
1990-01-25,"124,33","124,33","124,33","124,33",0,0,0
1990-01-26,"122,76","122,76","122,76","122,76",0,0,0
1990-01-29,"124,6","124,6","124,6","124,6",0,0,0
1990-01-30,"120,91","120,91","120,91","120,91",0,0,0
1990-01-31,"128,22","128,22","128,22","128,22",0,0,0
1990-02-01,"129,53","129,53","129,53","129,53",0,0,0
1990-02-02,"132,53","132,53","132,53","132,53",0,0,0
1990-02-05,"121,22","121,22","121,22","121,22",0,0,0
1990-02-06,"120,3","120,3","120,3","120,3",0,0,0
1990-02-07,"123,35","123,35","123,35","123,35",0,0,0
1990-02-08,"124,87","124,87","124,87","124,87",0,0,0
1990-02-09,"126,06","126,06","126,06","126,06",0,0,0
1990-02-12,"126,99","126,99","126,99","126,99",0,0,0
1990-02-13,"133,06","133,06","133,06","133,06",0,0,0
1990-02-14,"131,55","131,55","131,55","131,55",0,0,0
1990-02-15,"139,07","139,07","139,07","139,07",0,0,0
1990-02-16,"136,61","136,61","136,61","136,61",0,0,0
1990-02-20,"126,47","126,47","126,47","126,47",0,0,0
1990-02-21,"129,17","129,17","129,17","129,17",0,0,0
1990-02-22,"124,8","124,8","124,8","124,8",0,0,0
1990-02-23,"125,82","125,82","125,82","125,82",0,0,0
1990-02-26,"130,69","130,69","130,69","130,69",0,0,0
1990-02-27,"131,45","131,45","131,45","131,45",0,0,0
1990-02-28,"123,1","123,1","123,1","123,1",0,0,0
1990-03-01,"123,96","123,96","123,96","123,96",0,0,0
1990-03-02,"126,44","126,44","126,44","126,44",0,0,0
1990-03-05,"124,24","124,24","124,24","124,24",0,0,0
1990-03-06,"124,86","124,86","124,86","124,86",0,0,0
1990-03-07,"121,08","121,08","121,08","121,08",0,0,0
1990-03-08,"124,46","124,46","124,46","124,46",0,0,0
1990-03-09,"125,6","125,6","125,6","125,6",0,0,0
1990-03-12,"129,69","129,69","129,69","129,69",0,0,0
1990-03-13,"128,07","128,07","128,07","128,07",0,0,0
1990-03-14,"131,82","131,82","131,82","131,82",0,0,0
1990-03-15,"133,02","133,02","133,02","133,02",0,0,0
1990-03-16,"136,73","136,73","136,73","136,73",0,0,0
1990-03-19,"138,69","138,69","138,69","138,69",0,0,0
1990-03-20,"134,2","134,2","134,2","134,2",0,0,0
1990-03-21,"132,58","132,58","132,58","132,58",0,0,0
1990-03-22,"129,8","129,8","129,8","129,8",0,0,0
1990-03-23,"130,76","130,76","130,76","130,76",0,0,0
1990-03-26,"129,9","129,9","129,9","129,9",0,0,0
1990-03-27,"135,33","135,33","135,33","135,33",0,0,0
1990-03-28,"133,51","133,51","133,51","133,51",0,0,0
1990-03-29,"131,2","131,2","131,2","131,2",0,0,0
1990-03-30,"111,33","111,33","111,33","111,33",0,0,0
1990-04-02,"126,46","126,46","126,46","126,46",0,0,0
1990-04-03,"117,63","117,63","117,63","117,63",0,0,0
1990-04-04,"114,13","114,13","114,13","114,13",0,0,0
1990-04-05,"114,42","114,42","114,42","114,42",0,0,0
1990-04-06,"114,91","114,91","114,91","114,91",0,0,0
1990-04-09,"117,6","117,6","117,6","117,6",0,0,0
1990-04-10,"119,09","119,09","119,09","119,09",0,0,0
1990-04-11,"108,87","108,87","108,87","108,87",0,0,0
1990-04-12,"121,52","121,52","121,52","121,52",0,0,0
1990-04-16,"126,05","126,05","126,05","126,05",0,0,0
1990-04-17,"131,24","131,24","131,24","131,24",0,0,0
1990-04-18,"122,74","122,74","122,74","122,74",0,0,0
1990-04-19,"120,77","120,77","120,77","120,77",0,0,0
1990-04-20,"120,88","120,88","120,88","120,88",0,0,0
1990-04-23,"120,03","120,03","120,03","120,03",0,0,0
1990-04-24,"124,56","124,56","124,56","124,56",0,0,0
1990-04-25,"127,03","127,03","127,03","127,03",0,0,0
1990-04-26,"124,51","124,51","124,51","124,51",0,0,0
1990-04-27,"118,84","118,84","118,84","118,84",0,0,0
1990-04-30,"110,49","110,49","110,49","110,49",0,0,0
1990-05-01,"111,99","111,99","111,99","111,99",0,0,0
1990-05-02,"128,49","128,49","128,49","128,49",0,0,0
1990-05-03,"114,27","114,27","114,27","114,27",0,0,0
1990-05-04,"116,35","116,35","116,35","116,35",0,0,0
1990-05-07,"117,22","117,22","117,22","117,22",0,0,0
1990-05-08,"117,83","117,83","117,83","117,83",0,0,0
1990-05-09,"117,27","117,27","117,27","117,27",0,0,0
1990-05-10,"119,5","119,5","119,5","119,5",0,0,0
1990-05-11,"119,51","119,51","119,51","119,51",0,0,0
1990-05-14,"123,12","123,12","123,12","123,12",0,0,0
1990-05-15,"125,1","125,1","125,1","125,1",0,0,0
1990-05-16,"125,7","125,7","125,7","125,7",0,0,0
1990-05-17,"121,95","121,95","121,95","121,95",0,0,0
1990-05-18,"124,68","124,68","124,68","124,68",0,0,0
1990-05-21,"127,35","127,35","127,35","127,35",0,0,0
1990-05-22,"124,88","124,88","124,88","124,88",0,0,0
1990-05-23,"118,8","118,8","118,8","118,8",0,0,0
1990-05-24,"117,3","117,3","117,3","117,3",0,0,0
1990-05-25,"111,93","111,93","111,93","111,93",0,0,0
1990-05-29,"122,18","122,18","122,18","122,18",0,0,0
1990-05-30,"119,88","119,88","119,88","119,88",0,0,0
1990-05-31,"120,21","120,21","120,21","120,21",0,0,0
1990-06-01,"119,33","119,33","119,33","119,33",0,0,0
1990-06-04,"122,78","122,78","122,78","122,78",0,0,0
1990-06-05,"121,22","121,22","121,22","121,22",0,0,0
1990-06-06,"121,45","121,45","121,45","121,45",0,0,0
