Date,supply/active_1m_3m
2009-01-03,"0,0"
2009-01-09,"0,0"
2009-01-10,"0,0"
2009-01-11,"0,0"
2009-01-12,"0,0"
2009-01-13,"0,0"
2009-01-14,"0,0"
2009-01-15,"0,0"
2009-01-16,"0,0"
2009-01-17,"0,0"
2009-01-18,"0,0"
2009-01-19,"0,0"
2009-01-20,"0,0"
2009-01-21,"0,0"
2009-01-22,"0,0"
2009-01-23,"0,0"
2009-01-24,"0,0"
2009-01-25,"0,0"
2009-01-26,"0,0"
2009-01-27,"0,0"
2009-01-28,"0,0"
2009-01-29,"0,0"
2009-01-30,"0,0"
2009-01-31,"0,0"
2009-02-01,"0,0"
2009-02-02,"50,0"
2009-02-03,"50,0"
2009-02-04,"50,0"
2009-02-05,"50,0"
2009-02-06,"50,0"
2009-02-07,"50,0"
2009-02-08,"700,0"
2009-02-09,"3750,0"
2009-02-10,"8400,0"
2009-02-11,"13139,0"
2009-02-12,"18939,0"
2009-02-13,"24650,0"
2009-02-14,"30925,0"
2009-02-15,"36175,0"
2009-02-16,"40925,0"
2009-02-17,"45975,0"
2009-02-18,"52000,0"
2009-02-19,"57600,0"
2009-02-20,"62450,0"
2009-02-21,"67150,0"
2009-02-22,"71500,0"
2009-02-23,"81500,0"
2009-02-24,"90600,0"
2009-02-25,"95950,0"
2009-02-26,"100700,0"
2009-02-27,"106000,0"
2009-02-28,"112450,0"
2009-03-01,"117900,0"
2009-03-02,"124250,0"
2009-03-03,"129800,0"
2009-03-04,"135750,0"
2009-03-05,"142749,96"
2009-03-06,"148399,96"
2009-03-07,"154499,96"
2009-03-08,"160449,96"
2009-03-09,"167499,96"
2009-03-10,"174699,96"
2009-03-11,"183399,96"
2009-03-12,"189299,96"
2009-03-13,"196150,0"
2009-03-14,"201850,0"
2009-03-15,"207700,0"
2009-03-16,"214050,0"
2009-03-17,"220600,0"
2009-03-18,"227800,0"
2009-03-19,"233300,0"
2009-03-20,"239000,0"
2009-03-21,"245600,0"
2009-03-22,"251350,0"
2009-03-23,"256800,0"
2009-03-24,"262800,0"
2009-03-25,"267750,0"
2009-03-26,"272900,0"
2009-03-27,"277900,0"
2009-03-28,"283050,0"
2009-03-29,"290250,0"
2009-03-30,"295450,0"
2009-03-31,"300200,0"
2009-04-01,"305150,0"
2009-04-02,"310250,0"
2009-04-03,"316150,0"
2009-04-04,"321650,0"
2009-04-05,"326750,0"
2009-04-06,"331600,0"
2009-04-07,"338150,0"
2009-04-08,"342950,0"
2009-04-09,"347200,0"
2009-04-10,"349500,0"
2009-04-11,"350450,0"
2009-04-12,"351911,0"
2009-04-13,"351611,0"
2009-04-14,"351900,0"
2009-04-15,"353875,0"
2009-04-16,"353975,0"
2009-04-17,"355325,0"
2009-04-18,"355925,0"
2009-04-19,"356100,0"
2009-04-20,"351650,0"
2009-04-21,"352700,0"
2009-04-22,"354250,0"
2009-04-23,"354850,0"
2009-04-24,"350200,0"
2009-04-25,"348050,0"
2009-04-26,"347450,0"
2009-04-27,"349150,0"
2009-04-28,"349300,0"
2009-04-29,"348100,0"
2009-04-30,"349400,0"
2009-05-01,"348400,0"
2009-05-02,"348200,0"
2009-05-03,"347550,0"
2009-05-04,"345750,04"
2009-05-05,"346850,04"
2009-05-06,"345850,04"
2009-05-07,"344650,04"
2009-05-08,"342550,04"
2009-05-09,"339900,04"
2009-05-10,"336300,04"
2009-05-11,"336000,04"
2009-05-12,"335400,0"
2009-05-13,"335300,0"
2009-05-14,"335250,0"
2009-05-15,"334400,0"
2009-05-16,"333800,0"
2009-05-17,"332200,0"
2009-05-18,"332950,0"
2009-05-19,"333550,0"
2009-05-20,"338550,0"
2009-05-21,"338650,0"
2009-05-22,"338800,0"
2009-05-23,"336300,0"
2009-05-24,"336850,0"
2009-05-25,"337250,0"
2009-05-26,"338500,0"
2009-05-27,"338500,0"
2009-05-28,"336850,0"
2009-05-29,"338650,0"
2009-05-30,"340050,0"
2009-05-31,"340750,0"
2009-06-01,"342250,0"
2009-06-02,"341400,0"
2009-06-03,"343600,0"
2009-06-04,"345650,0"
2009-06-05,"347400,0"
2009-06-06,"347050,0"
2009-06-07,"347550,0"
2009-06-08,"346400,0"
2009-06-09,"345200,0"
2009-06-10,"345750,0"
2009-06-11,"346100,0"
2009-06-12,"346250,0"
2009-06-13,"347300,0"
2009-06-14,"345950,0"
2009-06-15,"346350,0"
2009-06-16,"346400,0"
2009-06-17,"346450,0"
2009-06-18,"344450,0"
2009-06-19,"348000,0"
2009-06-20,"346000,0"
2009-06-21,"342650,0"
2009-06-22,"339250,0"
2009-06-23,"338650,0"
2009-06-24,"336851,01"
2009-06-25,"338101,01"
2009-06-26,"337401,01"
2009-06-27,"336601,01"
2009-06-28,"339401,01"
2009-06-29,"337701,01"
2009-06-30,"336851,01"
2009-07-01,"334751,02"
2009-07-02,"335001,02"
2009-07-03,"333351,02"
2009-07-04,"329901,02"
2009-07-05,"326301,02"
2009-07-06,"322951,02"
2009-07-07,"318801,02"
2009-07-08,"318351,02"
2009-07-09,"317551,02"
2009-07-10,"315851,02"
2009-07-11,"313751,02"
2009-07-12,"312251,02"
2009-07-13,"310201,02"
2009-07-14,"308101,02"
2009-07-15,"306101,02"
2009-07-16,"304051,02"
2009-07-17,"301751,02"
2009-07-18,"299401,02"
2009-07-19,"292001,02"
2009-07-20,"289851,02"
2009-07-21,"288301,02"
