Date,mining/hash_rate_mean
2009-01-09,"128185,020473945"
2009-01-10,"1676937,68317833"
2009-01-11,"4679435,77745756"
2009-01-12,"4653054,48936219"
2009-01-13,"6070590,27392758"
2009-01-14,"6434818,94943207"
2009-01-15,"6294675,93281533"
2009-01-16,"5328131,45222725"
2009-01-17,"5410403,97633136"
2009-01-18,"5333196,01568992"
2009-01-19,"5758671,31910925"
2009-01-20,"5619555,73625314"
2009-01-21,"5784162,24391661"
2009-01-22,"4016793,32322049"
2009-01-23,"4174599,67212053"
2009-01-24,"10013901,4081592"
2009-01-25,"9527301,32788256"
2009-01-26,"4764961,23257561"
2009-01-27,"4818159,8495611"
2009-01-28,"5551038,42911709"
2009-01-29,"6043270,45544508"
2009-01-30,"5825608,61628352"
2009-01-31,"6808950,08326441"
2009-02-01,"5649167,80482354"
2009-02-02,"6345874,66395789"
2009-02-03,"6892098,38427171"
2009-02-04,"5935168,5930743"
2009-02-05,"6243765,40902011"
2009-02-06,"6075975,02420019"
2009-02-07,"6425937,77831387"
2009-02-08,"6548794,4354576"
2009-02-09,"6647327,53134673"
2009-02-10,"5988451,46714692"
2009-02-11,"6607336,27556851"
2009-02-12,"5952518,64276813"
2009-02-13,"6102763,26607691"
2009-02-14,"6779979,2491962"
2009-02-15,"6357395,93972825"
2009-02-16,"6063319,52593758"
2009-02-17,"5806424,17304492"
2009-02-18,"5893711,44570944"
2009-02-19,"6173505,17809616"
2009-02-20,"6043528,52427856"
2009-02-21,"5672485,65438621"
2009-02-22,"6017031,87236309"
2009-02-23,"5388228,97729042"
2009-02-24,"5254631,56445563"
2009-02-25,"5255650,07610102"
2009-02-26,"5262837,55149905"
2009-02-27,"5743871,32420835"
2009-02-28,"4897735,00626613"
2009-03-01,"5251671,86137507"
2009-03-02,"5374307,35683003"
2009-03-03,"5220484,64525091"
2009-03-04,"5134803,9864812"
2009-03-05,"5523185,72062369"
2009-03-06,"5824865,81235655"
2009-03-07,"5378021,97916116"
2009-03-08,"5675755,13415993"
2009-03-09,"5098556,44186507"
2009-03-10,"5287177,87243442"
2009-03-11,"5610154,9326153"
2009-03-12,"5899611,67485012"
2009-03-13,"5590601,58097959"
2009-03-14,"5472817,0256933"
2009-03-15,"6110968,18212104"
2009-03-16,"6051997,09815887"
2009-03-17,"5634623,82323697"
2009-03-18,"5665855,92816228"
2009-03-19,"6079358,75105289"
2009-03-20,"5898444,41386374"
2009-03-21,"2760510,13330248"
2009-03-22,"5362344,15267592"
2009-03-23,"6408633,08020752"
2009-03-24,"5246112,46792225"
2009-03-25,"5861897,62183727"
2009-03-26,"5747714,38934895"
2009-03-27,"5325003,89931693"
2009-03-28,"5896889,55296344"
2009-03-29,"5750683,39184635"
2009-03-30,"5985391,48660419"
2009-03-31,"4641064,10365728"
2009-04-01,"5091628,5031041"
2009-04-02,"4725795,46710552"
2009-04-03,"5773073,07457706"
2009-04-04,"5641353,74978787"
2009-04-05,"6449495,77784965"
2009-04-06,"5435152,61411289"
2009-04-07,"4960921,38236925"
2009-04-08,"5203498,05669978"
2009-04-09,"4948003,843694"
2009-04-10,"5330029,39280913"
2009-04-11,"6038193,86475467"
2009-04-12,"5829914,65660516"
2009-04-13,"5750090,09569489"
2009-04-14,"6118397,89423861"
2009-04-15,"5613297,37625056"
2009-04-16,"6084504,02432507"
2009-04-17,"5599761,79122964"
2009-04-18,"6259292,13370654"
2009-04-19,"5881485,71028769"
2009-04-20,"5919701,50481243"
2009-04-21,"6124002,79847909"
2009-04-22,"6012020,11540686"
2009-04-23,"3724304,52758637"
2009-04-24,"5708290,34913957"
2009-04-25,"5861266,62111557"
2009-04-26,"5552832,62131619"
2009-04-27,"5167834,40294329"
2009-04-28,"5859983,59978077"
2009-04-29,"6377381,72112663"
2009-04-30,"6459487,22519316"
2009-05-01,"5982606,08534887"
2009-05-02,"6335353,30479981"
2009-05-03,"5242771,32300747"
2009-05-04,"6269167,24316927"
2009-05-05,"6722245,75045795"
2009-05-06,"6618049,86714149"
2009-05-07,"6041647,08588823"
2009-05-08,"5625056,61846534"
2009-05-09,"3786336,14105201"
2009-05-10,"4091591,14777248"
2009-05-11,"5982542,95438189"
2009-05-12,"6385984,10760239"
2009-05-13,"5546987,29267214"
2009-05-14,"6829809,22474288"
2009-05-15,"6796466,91166341"
2009-05-16,"5889415,07235288"
2009-05-17,"6246974,74222365"
2009-05-18,"5864115,0237547"
2009-05-19,"4250143,11224642"
2009-05-20,"5944317,1655287"
2009-05-21,"4112752,30661077"
2009-05-22,"5215451,78675797"
2009-05-23,"1111794,73601954"
2009-05-24,"4920568,35689572"
2009-05-25,"5452878,55270576"
2009-05-26,"6098380,3260067"
2009-05-27,"5966137,58184598"
2009-05-28,"4671382,37014139"
2009-05-29,"5298540,94219243"
2009-05-30,"5338100,74417332"
2009-05-31,"5826811,85404596"
2009-06-01,"3502149,66770411"
2009-06-02,"4688137,29686993"
2009-06-03,"4723911,79365792"
2009-06-04,"2614799,89240746"
2009-06-05,"5276588,67603096"
2009-06-06,"826721,783851786"
2009-06-07,"772085,576495702"
2009-06-08,"4059234,6680805"
2009-06-09,"4501595,47511604"
2009-06-10,"4068613,45939327"
2009-06-11,"4473086,60999813"
2009-06-12,"4247845,84327346"
2009-06-13,"3910760,17753289"
2009-06-14,"3514583,35108596"
2009-06-15,"4161453,98078321"
2009-06-16,"3595131,84253899"
2009-06-17,"3878318,10879331"
2009-06-18,"3965073,20531758"
2009-06-19,"4312464,99881127"
2009-06-20,"3968436,22317515"
2009-06-21,"3978413,29951398"
2009-06-22,"3748952,14710172"
2009-06-23,"3772217,38196274"
2009-06-24,"4628775,0640393"
2009-06-25,"3374089,07367229"
2009-06-26,"4432726,58784675"
2009-06-27,"4170979,95148965"
2009-06-28,"2276895,45603946"
2009-06-29,"4098722,4408214"
2009-06-30,"4241573,37237133"
2009-07-01,"3772523,73829646"
2009-07-02,"4046291,02471028"
2009-07-03,"4113568,93888993"
2009-07-04,"4384731,11730024"
2009-07-05,"3925793,61538373"
2009-07-06,"4235071,28778701"
2009-07-07,"3350057,01232167"
2009-07-08,"3673457,92769302"
2009-07-09,"4267969,90497319"
2009-07-10,"4079460,95728139"
2009-07-11,"4022412,50189565"
2009-07-12,"3887762,08537001"
2009-07-13,"3792766,15668871"
2009-07-14,"3401349,08897255"
2009-07-15,"2244261,17720828"
2009-07-16,"3506539,23480981"
2009-07-17,"3329651,68264441"
2009-07-18,"168153,131939551"
2009-07-19,"3091556,74893057"
2009-07-20,"3472524,63900022"
2009-07-21,"4029003,90413325"
2009-07-22,"3335033,48984082"
2009-07-23,"3377734,58159316"
2009-07-24,"3691050,72292334"
2009-07-25,"2449019,12815396"
2009-07-26,"760716,174385358"
2009-07-27,"3671845,2356108"
2009-07-28,"2087357,56781489"
2009-07-29,"1032026,23715095"
2009-07-30,"673494,981444118"
2009-07-31,"858115,153102119"
2009-08-01,"1423841,58709937"
2009-08-02,"1114304,94645294"
2009-08-03,"610984,619192698"
2009-08-04,"3865943,07055307"
2009-08-05,"4296992,31536701"
2009-08-06,"4422937,62460524"
2009-08-07,"3977005,69100421"
2009-08-08,"4000947,65518928"
2009-08-09,"4919109,79073539"
2009-08-10,"3737787,73729404"
2009-08-11,"3448190,28237183"
2009-08-12,"3159649,9135654"
2009-08-13,"4147935,19321009"
2009-08-14,"3160609,49700389"
2009-08-15,"1299264,08637781"
2009-08-16,"1190470,59905468"
2009-08-17,"750698,567086838"
2009-08-18,"454503,512878579"
2009-08-19,"887685,424762605"
2009-08-20,"1148847,74535241"
2009-08-21,"686112,669663844"
2009-08-22,"337741,904040801"
2009-08-23,"748130,494925332"
2009-08-24,"736987,615997072"
2009-08-25,"2880054,24601684"
2009-08-26,"2112798,53865705"
2009-08-27,"1456925,8937666"
2009-08-28,"3643714,1247667"
2009-08-29,"3866035,60237265"
2009-08-30,"4743766,75485921"
2009-08-31,"4235570,80310988"
2009-09-01,"4074574,60061543"
2009-09-02,"3136573,62695436"
2009-09-03,"2991914,82014914"
2009-09-04,"3190911,80980683"
2009-09-05,"3748134,23773654"
2009-09-06,"3444158,77883912"
2009-09-07,"3774731,82070986"
2009-09-08,"3450013,89333985"
2009-09-09,"2667037,33839307"
2009-09-10,"3290410,02609342"
2009-09-11,"3301092,19510852"
2009-09-12,"3434102,49978562"
2009-09-13,"3742956,12646843"
2009-09-14,"3703075,68513772"
2009-09-15,"2305291,31726359"
2009-09-16,"3365302,48462292"
2009-09-17,"4137828,3388462"
2009-09-18,"3822758,59060877"
2009-09-19,"3624610,31298041"
2009-09-20,"3884189,37133184"
2009-09-21,"3438086,51605044"
2009-09-22,"1322391,00459377"
2009-09-23,"1687554,68229593"
2009-09-24,"4722633,39657205"
2009-09-25,"4509698,31580648"
2009-09-26,"4897340,1322691"
2009-09-27,"4197838,00963904"
2009-09-28,"4168395,201699"
2009-09-29,"4277516,97108387"
2009-09-30,"3518429,2613724"
2009-10-01,"3579757,86743645"
2009-10-02,"3597334,26371811"
2009-10-03,"2878331,79081644"
2009-10-04,"2655265,62409453"
2009-10-05,"2672147,70344562"
2009-10-06,"2205414,23828232"
2009-10-07,"2922011,49492017"
2009-10-08,"3390521,47463151"
2009-10-09,"3596324,3811038"
2009-10-10,"2974220,33574056"
2009-10-11,"3667523,42377106"
2009-10-12,"2880595,10127431"
2009-10-13,"2824821,27585531"
2009-10-14,"3411293,86725603"
2009-10-15,"3543084,78297141"
2009-10-16,"3035956,24231286"
2009-10-17,"2775375,9352447"
2009-10-18,"3691848,89944128"
2009-10-19,"5547005,73284133"
2009-10-20,"4700983,84837836"
2009-10-21,"4004724,86165179"
2009-10-22,"4371665,74275342"
2009-10-23,"4430880,83162165"
2009-10-24,"3158888,37637904"
2009-10-25,"3709205,63732642"
2009-10-26,"3510778,13486225"
2009-10-27,"3198151,31000942"
2009-10-28,"3426007,27019579"
2009-10-29,"2166748,87166327"
2009-10-30,"3049211,81072734"
