Date,addresses/min_10_count
2009-01-03,"1,0"
2009-01-04,"1,0"
2009-01-05,"1,0"
2009-01-06,"1,0"
2009-01-07,"1,0"
2009-01-08,"1,0"
2009-01-09,"15,0"
2009-01-10,"76,0"
2009-01-11,"169,0"
2009-01-12,"266,0"
2009-01-13,"389,0"
2009-01-14,"517,0"
2009-01-15,"641,0"
2009-01-16,"747,0"
2009-01-17,"856,0"
2009-01-18,"961,0"
2009-01-19,"1061,0"
2009-01-20,"1168,0"
2009-01-21,"1269,0"
2009-01-22,"1350,0"
2009-01-23,"1426,0"
2009-01-24,"1618,0"
2009-01-25,"1809,0"
2009-01-26,"1885,0"
2009-01-27,"1980,0"
2009-01-28,"2092,0"
2009-01-29,"2201,0"
2009-01-30,"2318,0"
2009-01-31,"2437,0"
2009-02-01,"2549,0"
2009-02-02,"2677,0"
2009-02-03,"2818,0"
2009-02-04,"2937,0"
2009-02-05,"3063,0"
2009-02-06,"3185,0"
2009-02-07,"3294,0"
2009-02-08,"3426,0"
2009-02-09,"3516,0"
2009-02-10,"3636,0"
2009-02-11,"3760,0"
2009-02-12,"3879,0"
2009-02-13,"4003,0"
2009-02-14,"4139,0"
2009-02-15,"4257,0"
2009-02-16,"4349,0"
2009-02-17,"4466,0"
2009-02-18,"4584,0"
2009-02-19,"4692,0"
2009-02-20,"4814,0"
2009-02-21,"4928,0"
2009-02-22,"5042,0"
2009-02-23,"5150,0"
2009-02-24,"5256,0"
2009-02-25,"5361,0"
2009-02-26,"5468,0"
2009-02-27,"5547,0"
2009-02-28,"5639,0"
2009-03-01,"5744,0"
2009-03-02,"5852,0"
2009-03-03,"5949,0"
2009-03-04,"6029,0"
2009-03-05,"6133,0"
2009-03-06,"6250,0"
2009-03-07,"6359,0"
2009-03-08,"6450,0"
2009-03-09,"6558,0"
2009-03-10,"6665,0"
2009-03-11,"6779,0"
2009-03-12,"6895,0"
2009-03-13,"6995,0"
2009-03-14,"7105,0"
2009-03-15,"7228,0"
2009-03-16,"7301,0"
2009-03-17,"7415,0"
2009-03-18,"7515,0"
2009-03-19,"7637,0"
2009-03-20,"7743,0"
2009-03-21,"7793,0"
2009-03-22,"7901,0"
2009-03-23,"8031,0"
2009-03-24,"8136,0"
2009-03-25,"8253,0"
2009-03-26,"8342,0"
2009-03-27,"8448,0"
2009-03-28,"8547,0"
2009-03-29,"8663,0"
2009-03-30,"8783,0"
2009-03-31,"8861,0"
2009-04-01,"8975,0"
2009-04-02,"9090,0"
2009-04-03,"9206,0"
2009-04-04,"9319,0"
2009-04-05,"9432,0"
2009-04-06,"9541,0"
2009-04-07,"9641,0"
2009-04-08,"9746,0"
2009-04-09,"9845,0"
2009-04-10,"9953,0"
2009-04-11,"10067,0"
2009-04-12,"10178,0"
2009-04-13,"10294,0"
2009-04-14,"10418,0"
2009-04-15,"10531,0"
2009-04-16,"10654,0"
2009-04-17,"10766,0"
