Date,addresses/min_point_zero_1_count
2009-01-03,"1,0"
2009-01-04,"1,0"
2009-01-05,"1,0"
2009-01-06,"1,0"
2009-01-07,"1,0"
2009-01-08,"1,0"
2009-01-09,"15,0"
2009-01-10,"76,0"
2009-01-11,"169,0"
2009-01-12,"268,0"
2009-01-13,"391,0"
2009-01-14,"518,0"
2009-01-15,"643,0"
2009-01-16,"749,0"
2009-01-17,"858,0"
2009-01-18,"963,0"
2009-01-19,"1063,0"
2009-01-20,"1170,0"
2009-01-21,"1271,0"
2009-01-22,"1352,0"
2009-01-23,"1428,0"
2009-01-24,"1620,0"
2009-01-25,"1811,0"
2009-01-26,"1887,0"
2009-01-27,"1982,0"
2009-01-28,"2094,0"
2009-01-29,"2203,0"
2009-01-30,"2320,0"
2009-01-31,"2439,0"
2009-02-01,"2551,0"
2009-02-02,"2679,0"
2009-02-03,"2827,0"
2009-02-04,"2946,0"
2009-02-05,"3072,0"
2009-02-06,"3194,0"
2009-02-07,"3304,0"
2009-02-08,"3436,0"
2009-02-09,"3526,0"
2009-02-10,"3646,0"
2009-02-11,"3767,0"
2009-02-12,"3886,0"
2009-02-13,"4010,0"
2009-02-14,"4146,0"
2009-02-15,"4264,0"
2009-02-16,"4356,0"
2009-02-17,"4473,0"
2009-02-18,"4591,0"
2009-02-19,"4699,0"
2009-02-20,"4821,0"
2009-02-21,"4935,0"
2009-02-22,"5049,0"
2009-02-23,"5157,0"
2009-02-24,"5263,0"
2009-02-25,"5368,0"
2009-02-26,"5475,0"
2009-02-27,"5554,0"
2009-02-28,"5646,0"
2009-03-01,"5751,0"
2009-03-02,"5859,0"
2009-03-03,"5956,0"
2009-03-04,"6036,0"
2009-03-05,"6140,0"
2009-03-06,"6257,0"
2009-03-07,"6366,0"
2009-03-08,"6457,0"
2009-03-09,"6565,0"
2009-03-10,"6672,0"
2009-03-11,"6786,0"
2009-03-12,"6902,0"
2009-03-13,"7002,0"
2009-03-14,"7112,0"
2009-03-15,"7235,0"
2009-03-16,"7308,0"
2009-03-17,"7422,0"
2009-03-18,"7522,0"
2009-03-19,"7644,0"
2009-03-20,"7750,0"
2009-03-21,"7800,0"
2009-03-22,"7908,0"
2009-03-23,"8038,0"
2009-03-24,"8143,0"
2009-03-25,"8260,0"
2009-03-26,"8349,0"
2009-03-27,"8455,0"
2009-03-28,"8554,0"
2009-03-29,"8670,0"
2009-03-30,"8790,0"
2009-03-31,"8868,0"
2009-04-01,"8982,0"
2009-04-02,"9097,0"
2009-04-03,"9213,0"
2009-04-04,"9326,0"
2009-04-05,"9439,0"
2009-04-06,"9548,0"
2009-04-07,"9648,0"
2009-04-08,"9753,0"
2009-04-09,"9852,0"
2009-04-10,"9960,0"
2009-04-11,"10074,0"
2009-04-12,"10185,0"
2009-04-13,"10301,0"
2009-04-14,"10425,0"
2009-04-15,"10538,0"
2009-04-16,"10661,0"
2009-04-17,"10773,0"
